year,trois_DET oeufs_NOUN,trois_DET noeuds_NOUN
1800,1.0690159513160324e-07,1.2576657937302116e-08
1801,6.429193177837078e-08,1.904946067554647e-08
1802,5.594600338554301e-08,1.7902721083373763e-08
1803,3.70564464446943e-07,5.655983770225248e-08
1804,4.943701981119375e-08,2.4718509905596875e-08
1805,1.1371510844071508e-08,3.1271653710973624e-08
1806,1.729001475325731e-08,2.881669125542885e-08
1807,1.1387820464392462e-08,2.2775640928784924e-08
1808,1.8128591960930862e-08,1.3596443970698147e-08
1809,9.036122072814123e-09,4.518061036407062e-09
1810,2.8081521108447305e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.8540831092650478e-08,9.270415546325239e-09
1817,4.826307531402563e-08,3.113746815941454e-09
1818,4.768470773797162e-08,4.768470951432846e-09
1819,8.280840013696888e-09,1.035105001712111e-09
1820,1.6613073583471305e-08,1.1866481131050932e-09
1821,9.86148829262845e-10,2.9584463767662328e-09
1822,4.010246357211145e-09,1.0025615893027862e-08
1823,1.087095569118901e-08,9.882686891060644e-10
1824,1.6842225392110777e-08,4.210556348027694e-09
1825,2.641632912414593e-09,2.641632912414593e-09
1826,2.1139161532346407e-08,6.1655889282974385e-09
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,1.834460228167245e-08,3.668920500743411e-09
1829,8.573175946935407e-09,8.57317605795771e-10
1830,6.262101504006523e-09,1.878630406793036e-08
1831,1.4032085715598441e-08,1.5591206103948707e-09
1832,0.0,6.764984572527055e-09
1833,6.950176989484191e-09,2.3167257001688313e-09
1834,5.600718555598405e-09,9.334530925997342e-10
1835,2.4201881387853064e-08,3.781543966852041e-09
1836,4.032449929525228e-09,1.3441500135158435e-09
1837,3.478945576063097e-09,1.3915781860163179e-09
1838,2.5248647617104325e-09,7.574594285131298e-09
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.3376346252869098e-08,1.2739377330817092e-09
1841,3.852329122366882e-09,1.2841097074556274e-09
1842,5.366612043644636e-09,1.341653010911159e-09
1843,2.3627644285539873e-09,0.0
1844,5.488561161115513e-09,3.841992946007622e-09
1845,5.580227946389016e-10,1.1160455892778032e-09
1846,3.5127007969038004e-09,1.7563503984519002e-09
1847,9.168480197274675e-09,1.0786447290911383e-09
1848,8.84974404868899e-09,0.0
1849,7.54147322368226e-09,1.6758829879393033e-09
1850,3.394498016007219e-09,3.394498016007219e-09
1851,6.449438760824933e-09,6.449438760824933e-10
1852,2.6042181744401205e-09,0.0
1853,6.569124799682413e-09,5.971931837933653e-10
1854,6.754363734984281e-09,0.0
1855,3.1841622671890946e-09,1.5920811335945473e-09
1856,6.730345947225658e-09,2.0708756931497874e-09
1857,1.9526036343364694e-09,0.0
1858,1.468102750479261e-09,9.787352039936081e-10
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,1.8308735638683515e-09,4.577183909670879e-10
1861,2.8295783494058924e-09,4.715963730639317e-10
1862,1.9879140111811466e-08,4.517986262886353e-10
1863,4.495158911765884e-09,2.9967726078439227e-09
1864,1.4384183844029508e-09,9.589455896019672e-10
1865,4.706844358715045e-10,2.3534221238463715e-09
1866,9.731225825149181e-10,0.0
1867,3.396968040192405e-09,4.85281148598915e-10
1868,3.951899252285784e-09,1.975949626142892e-09
1869,1.953407657850903e-09,9.767038289254515e-10
1870,1.7202146374017957e-09,4.587239033071455e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,1.8142017887967654e-09,6.047339295989218e-10
1873,4.788803575905831e-09,1.1972008939764578e-09
1874,4.182226565063729e-09,3.5847653734322193e-09
1875,5.721527251978387e-09,2.2886108563824337e-09
1876,6.650616057868319e-09,1.813804439976252e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,1.221865053580018e-09
1880,4.492492600149944e-09,1.2835692508872398e-09
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,5.324307883469714e-09,6.655385131892899e-10
1883,1.2638677882037541e-09,1.2638677882037541e-09
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,6.445635691854079e-10,2.5782542767416317e-09
1886,3.2267319927115068e-09,1.2906927748801422e-09
1887,6.528924623161458e-10,1.9586774424595887e-09
1888,1.9021844099853524e-09,1.9021844099853524e-09
1889,1.2530273707511697e-08,1.2530273485467092e-09
1890,7.865263995654459e-09,1.3108772956016423e-09
1891,3.824531802365527e-09,1.2748440081367107e-09
1892,3.761107425503951e-09,1.2537024751679837e-09
1893,7.3900996988562895e-09,2.463366621796581e-09
1894,2.520615716150587e-09,3.780923574225881e-09
1895,1.2037228991346183e-09,1.8055843487019274e-09
1896,2.94851448812139e-09,1.7691086373616827e-09
1897,1.1653427112179315e-09,6.992056267307589e-09
1898,3.395012826423738e-09,5.6583548957434e-10
1899,1.6582735185011188e-09,1.1055156790007459e-09
1900,4.15284251431558e-09,2.595526460424935e-09
1901,7.824234649067563e-09,2.235495566438317e-09
1902,3.928227076954727e-09,1.9641135384773634e-09
1903,1.6200660812870638e-09,5.400220270956879e-10
1904,3.2247751136083025e-09,4.299700151477737e-09
1905,3.6125312741219773e-09,2.0643036169332163e-09
1906,3.600929110447737e-09,5.144184522798412e-10
1907,6.685696440911215e-09,1.5428529565042481e-09
1908,3.929111258571538e-09,7.367083831866239e-09
1909,1.0451868703853506e-08,3.850688656825696e-09
1910,8.01622590529405e-09,2.137660271017694e-09
1911,1.0108711090417444e-08,1.0640748282497725e-09
1912,5.2094213387476884e-09,1.0418842455450772e-09
