year,devrez_VERB être_VERB
1800,2.2009151834367913e-08
1801,1.6668277424969347e-08
1802,0.0
1803,0.0
1804,1.9774807569206132e-08
1805,0.0
1806,6.051504897186533e-08
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,2.3401266702194334e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,3.113746815941454e-09
1818,9.536941902865692e-09
1819,0.0
1820,2.4919611263385377e-08
1821,1.1833785507064931e-08
1822,1.604098542884458e-08
1823,0.0
1824,5.052667617633233e-09
1825,2.8177417732422327e-08
1826,4.932471142637951e-08
1827,3.6869092223668076e-09
1828,3.668920500743411e-09
1829,0.0
1830,2.1917355041978226e-08
1831,6.236482441579483e-09
1832,0.0
1833,6.950177322551099e-09
1834,4.667265685043276e-09
1835,1.739510224751939e-08
1836,2.2850549896702432e-08
1837,1.0436836284100082e-08
1838,8.837027110075724e-09
1839,1.7478688718597368e-08
1840,3.821813088222825e-09
1841,1.6051371787284552e-08
1842,1.609983613093391e-08
1843,9.451057714215949e-09
1844,9.330554107123135e-09
1845,3.9061593959388574e-09
1846,2.9272506640865004e-09
1847,3.775256551818984e-09
1848,2.172209789819135e-08
1849,1.4245005175439474e-08
1850,1.0862393651223101e-08
1851,1.3543821175687754e-08
1852,6.510545436100301e-09
1853,1.1943863675867306e-08
1854,1.1430461910322265e-08
1855,6.368324534378189e-09
1856,7.248064815001953e-09
1857,6.345961978126979e-09
1858,1.4191660291373864e-08
1859,4.582956236731661e-09
1860,4.57718396518203e-09
1861,9.431927239234028e-09
1862,4.9697850279528666e-09
1863,2.447364266799923e-08
1864,2.3973640850272204e-09
1865,5.6482134525026595e-09
1866,9.244664589402873e-09
1867,2.91168689159349e-09
1868,2.4699371437009177e-09
1869,6.348574999037737e-09
1870,7.454262984651905e-09
1871,3.18635318130589e-09
1872,3.0236697590169115e-09
1873,6.584604861359367e-09
1874,9.559374625212058e-09
1875,5.149374260327022e-09
1876,1.0278225381910033e-08
1877,2.4739263970730008e-09
1878,3.6234530931267273e-09
1879,9.774920428640144e-09
1880,5.776061406947974e-09
1881,9.761510710859511e-09
1882,1.0648616211028639e-08
1883,7.58320695126713e-09
1884,9.902545450302114e-09
1885,8.379326565943757e-09
1886,9.034849313138693e-09
1887,7.834709769838355e-09
1888,3.1703073499755874e-09
1889,7.51816386923565e-09
1890,9.176140736144589e-09
1891,1.784781566982474e-08
1892,8.775916882086676e-09
1893,8.621783287310336e-09
1894,2.457600345451283e-08
1895,9.629783193076946e-09
1896,5.307326134129653e-09
1897,8.740070001067579e-09
1898,7.355861253444118e-09
1899,1.713549302451156e-08
1900,1.6092265298084385e-08
1901,3.912117296778206e-09
1902,1.2275709337927765e-08
1903,9.1803746826713e-09
1904,1.0749250378694342e-08
1905,2.580379465655369e-09
1906,1.0288369045596824e-09
1907,6.1714118260169926e-09
1908,8.840499887696751e-09
1909,5.5009836685826485e-09
1910,4.275320542035388e-09
1911,9.576673676292558e-09
1912,6.251305251225858e-09
1913,9.015082902408267e-09
1914,8.036092680185902e-09
1915,9.424609537234119e-09
1916,1.8678685265172135e-08
1917,2.1932848870420685e-09
1918,1.4932290071101306e-08
1919,1.1970202606903513e-08
1920,7.572231730534895e-09
1921,7.572747429129834e-10
1922,2.951174193910333e-09
1923,1.4862327368803108e-08
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,3.3447675740205796e-09
1928,3.4278122562625413e-09
1929,7.798284684668033e-09
1930,2.100720708497761e-09
1931,1.710803587684495e-08
1932,1.3151444377967891e-08
1933,4.588264879146209e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,2.424942913137329e-09
1937,1.1332006444320086e-08
1938,6.482607339819424e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,1.927911696952833e-08
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,8.344609447874518e-09
1948,1.6307831529616124e-08
1949,6.8719057111366055e-09
1950,8.508289184305795e-09
1951,5.330700769690111e-09
1952,6.326882129314981e-09
1953,7.54167928107563e-09
1954,2.9317608341017376e-09
1955,4.6928039232341234e-09
1956,3.488456634670456e-09
1957,7.068030161150318e-09
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,3.460416619915918e-09
1961,5.55852741612739e-09
1962,5.7077609305622445e-09
1963,1.2932106496776896e-09
1964,8.517555549758526e-09
1965,1.3132904541635071e-08
1966,7.200797291773142e-09
1967,8.381570104631919e-09
1968,6.737123747768692e-09
1969,1.1354394757745467e-08
1970,5.058597540852361e-09
1971,4.1107179882260425e-09
1972,7.182205497002769e-09
1973,8.269805285010534e-09
1974,5.06301445213353e-09
1975,6.282628195464213e-09
1976,1.1427053969725876e-08
1977,4.7014254711541525e-09
1978,7.72276909088987e-09
1979,9.363157360553487e-09
1980,1.193881615790815e-08
1981,1.2018544381930951e-08
1982,1.1173503899897241e-08
1983,2.2103606056589342e-08
1984,1.275781880138993e-08
1985,7.820225356169885e-09
1986,1.1389522214244607e-08
1987,1.2221633483022742e-08
1988,1.2592763276586538e-08
1989,1.3720305780395847e-08
1990,1.1442167213715493e-08
1991,1.2309077312977479e-08
1992,1.7080827419135858e-08
1993,7.754890063438324e-09
1994,7.912389854425328e-09
1995,9.21816667442954e-09
1996,1.2811421257197253e-08
1997,2.205651483677684e-08
1998,2.0026142522056034e-08
1999,1.5081663917726473e-08
2000,1.8555732950176207e-08
2001,1.4019877703219663e-08
2002,2.1467984723244626e-08
2003,1.8334461060476315e-08
2004,1.805964444656638e-08
2005,1.6213498099659773e-08
2006,2.4707340173790726e-08
2007,3.395307501818934e-08
2008,4.6831836186811415e-08
2009,5.912558620480013e-08
2010,7.510831068202606e-08
2011,1.1471915684069245e-07
2012,1.0076588097263084e-07
2013,1.071024016141564e-07
2014,1.0848880549474416e-07
2015,9.708600146041135e-08
2016,1.0770968117412849e-07
2017,1.0867440636275205e-07
2018,1.3036407153776963e-07
2019,1.0841697672958617e-07
