year,certains_DET nombres_NOUN
1800,1.0061326349841693e-07
1801,5.2386017301842e-08
1802,8.503792514602537e-08
1803,2.145373123596528e-08
1804,1.0628959046243835e-07
1805,3.4114531644036106e-08
1806,3.7461699520235925e-08
1807,7.117387923472052e-08
1808,9.517511045942229e-08
1809,8.132509776714869e-08
1810,6.084329529087995e-08
1811,8.774768645025688e-08
1812,9.868670503010435e-08
1813,9.202373263406116e-08
1814,2.2026739543434815e-08
1815,2.157778822287071e-08
1816,4.4034472068688046e-08
1817,1.2454987263765815e-08
1818,5.6029534789558966e-08
1819,8.487860725381324e-08
1820,4.034603762193001e-08
1821,2.1695274909916407e-08
1822,3.60922172149003e-08
1823,4.5460359920923565e-08
1824,4.8000341479337294e-08
1825,5.723537910284904e-08
1826,6.16558897270636e-08
1827,5.991227425283796e-08
1828,3.852366364798243e-08
1829,2.2290258527846163e-08
1830,4.905312778191728e-08
1831,7.171954763407484e-08
1832,4.464889968858188e-08
1833,4.8651238260255525e-08
1834,3.360431222176885e-08
1835,7.714349692378164e-08
1836,5.981467515736583e-08
1837,4.6617870452791976e-08
1838,4.102905393210676e-08
1839,3.8453112694014635e-08
1840,4.0766007458614695e-08
1841,6.163726595787011e-08
1842,5.0982812638267205e-08
1843,6.97015494210973e-08
1844,4.171306500211358e-08
1845,9.653794175168429e-08
1846,4.859236213405893e-08
1847,7.92803893645555e-08
1848,7.321151684891447e-08
1849,3.77073661184113e-08
1850,2.647708541303473e-08
1851,3.805168802273329e-08
1852,5.2735416478100205e-08
1853,4.419229693297666e-08
1854,6.962190468584595e-08
1855,6.156047049898916e-08
1856,4.6076984006049315e-08
1857,5.467290198346575e-08
1858,3.572383633354548e-08
1859,7.129042955966725e-08
1860,4.0279219154504275e-08
1861,5.659156454562719e-08
1862,3.4336697041226216e-08
1863,5.1444594362237694e-08
1864,3.9796240969280916e-08
1865,2.8241066374334878e-08
1866,2.530118803356629e-08
1867,3.299911810472622e-08
1868,7.014620972967123e-08
1869,8.106641757876787e-08
1870,5.734048658112556e-08
1871,6.160282595146782e-08
1872,6.349706183073067e-08
1873,5.147963866303229e-08
1874,4.062734149101743e-08
1875,5.149374260327022e-08
1876,4.413590914964516e-08
1877,5.1333974515621605e-08
1878,3.804625947623208e-08
1879,4.459807456669296e-08
1880,4.4283138267431355e-08
1881,4.392679869846816e-08
1882,2.9949232205339626e-08
1883,6.066565411133595e-08
1884,8.648223293050705e-08
1885,5.156508486869882e-08
1886,5.3563748492191365e-08
1887,5.027272109714431e-08
1888,2.599652004775521e-08
1889,5.70127436372303e-08
1890,7.144280955717619e-08
1891,5.0993760991602244e-08
1892,6.70730813112641e-08
1893,7.020594972040328e-08
1894,3.780923507612499e-08
1895,5.1158223657310486e-08
1896,6.309820954619738e-08
1897,4.9527064116539066e-08
1898,5.714938478007525e-08
1899,4.477338677588705e-08
1900,6.229263416202002e-08
1901,5.7005136611110174e-08
1902,4.910283823988948e-08
1903,6.534266638880126e-08
1904,3.547252447333449e-08
1905,5.470404540464102e-08
1906,8.745114032926438e-08
1907,6.119983519958794e-08
1908,8.594931211192147e-08
1909,6.491160853272504e-08
1910,6.519863737786125e-08
1911,1.1066378569069002e-07
1912,5.730363272782313e-08
1913,7.95448480417349e-08
1914,7.299450288655862e-08
1915,8.482148672328549e-08
1916,9.009718926478172e-08
1917,8.663475414838473e-08
1918,5.398597036077035e-08
1919,5.064316571656846e-08
1920,5.830618610147553e-08
1921,5.603833092004962e-08
1922,5.60723083520287e-08
1923,7.112685107557581e-08
1924,1.0442215936379284e-07
1925,3.5194167802288234e-08
1926,6.01891472218341e-08
1927,4.6826742927663645e-08
1928,8.45527042825367e-08
1929,3.787738322991174e-08
1930,7.037414206934045e-08
1931,4.334035530462188e-08
1932,4.274219400635104e-08
1933,4.473558190554172e-08
1934,5.152079474157745e-08
1935,7.659702205842223e-08
1936,5.2136273520630994e-08
1937,3.777335555454897e-08
1938,5.7046944390570786e-08
1939,5.352917753498332e-08
1940,9.635975373178951e-08
1941,4.132103725851266e-08
1942,5.765002231150618e-08
1943,4.064529335323641e-08
1944,8.032965581605822e-08
1945,7.406913615781718e-08
1946,8.631084380539278e-08
1947,7.986983785457369e-08
1948,7.610321350881577e-08
1949,5.988374907062166e-08
1950,5.9558024734229775e-08
1951,8.52912132032202e-08
1952,7.486810771339947e-08
1953,6.679773179030235e-08
1954,7.91575462955052e-08
1955,6.663781526583534e-08
1956,4.971050771018781e-08
1957,6.97967983964709e-08
1958,5.376958167602197e-08
1959,5.658045898471187e-08
1960,7.612916519406099e-08
1961,5.697490568223884e-08
1962,5.771180289215749e-08
1963,8.405869378336206e-08
1964,5.293052529609099e-08
1965,6.402290608775729e-08
1966,5.982200557141937e-08
1967,5.17685252443556e-08
1968,5.8837549277157564e-08
1969,6.44929618598411e-08
1970,4.644712206514079e-08
1971,4.1107179438171215e-08
1972,5.0788452887751134e-08
1973,6.726108470189729e-08
1974,4.387945762296397e-08
1975,5.026102511962449e-08
1976,4.285145210891628e-08
1977,5.5241749841172805e-08
1978,4.811879017463383e-08
1979,4.3304604124827506e-08
1980,5.344041564825375e-08
1981,4.680906529053175e-08
1982,4.034876432967849e-08
1983,5.6837845985313606e-08
1984,4.117296126260328e-08
1985,4.331201863827516e-08
1986,3.2969671548421786e-08
1987,2.9331920892161634e-08
1988,3.4780011537449695e-08
1989,4.390497743145261e-08
1990,4.032001643672345e-08
1991,3.575493734420121e-08
1992,4.9589497175261954e-08
1993,4.7083262622038546e-08
1994,6.06616548104455e-08
1995,3.849940100053573e-08
1996,4.3772357294358244e-08
1997,3.116681446257985e-08
1998,4.00522863763797e-08
1999,3.6104589540286725e-08
2000,4.5947527116396714e-08
2001,5.827011539949467e-08
2002,4.950780319035175e-08
2003,5.0419766139953026e-08
2004,4.0083599550655435e-08
2005,6.845699718205367e-08
2006,4.4473209448447903e-08
2007,3.8347003128436086e-08
2008,2.7673358271584902e-08
2009,4.196009317780636e-08
2010,3.164941242417285e-08
2011,2.944458343812073e-08
2012,3.199997511416086e-08
2013,3.040146379085229e-08
2014,3.789529090525434e-08
2015,3.812509663525532e-08
2016,3.459137953853997e-08
2017,4.754505456006086e-08
2018,4.362678618363702e-08
2019,3.7244422657067844e-08
