year,mêmes_ADJ os_NOUN,mêmes_ADJ noces_NOUN
1800,4.4018303668735825e-08,0.0
1801,7.619784270218588e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,0.0
1803,7.80135707145746e-08,0.0
1804,4.943701981119375e-08,2.4718509461507665e-09
1805,1.1371511021707192e-07,0.0
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,1.195721210933698e-07,1.1387820464392462e-08
1808,3.3991110370834576e-08,0.0
1809,8.584316191218022e-08,0.0
1810,3.510190182964834e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,1.0028307073639553e-08
1812,9.868670503010435e-08,0.0
1813,1.4091133948568313e-07,0.0
1814,5.034683425719777e-08,0.0
1815,1.6453063267363177e-07,0.0
1816,6.489290882427667e-08,0.0
1817,9.029865566390072e-08,0.0
1818,1.4782260393531033e-07,0.0
1819,5.4860564091541164e-08,9.315945348475907e-09
1820,6.40789963313182e-08,1.1866481131050932e-09
1821,1.1340711836282935e-07,9.86148829262845e-10
1822,1.0326384369818697e-07,0.0
1823,7.510841726343642e-08,0.0
1824,5.3895121254754486e-08,0.0
1825,1.3120110509134975e-07,0.0
1826,5.549030035467695e-08,8.807984341885344e-10
1827,5.530363722527909e-08,1.8434546111834038e-09
1828,1.8252879385727283e-07,0.0
1829,1.3116959962644614e-07,0.0
1830,5.9489963177838945e-08,0.0
1831,5.14509785887185e-08,1.5591206103948707e-09
1832,6.764985016616265e-08,8.117981842303834e-09
1833,3.243415847009601e-08,0.0
1834,9.614566920390644e-08,0.0
1835,1.1269001021219083e-07,0.0
1836,8.064900214321824e-08,0.0
1837,1.1410941169742728e-07,2.0873671680021744e-09
1838,6.122797202579022e-08,1.8936485712828244e-09
1839,6.362242288560083e-08,2.7965900706306e-09
1840,4.522479102320176e-08,0.0
1841,7.833069304297169e-08,6.420548537278137e-10
1842,6.842430622100437e-08,4.024959032733477e-09
1843,7.383638944702398e-08,5.906910960362666e-09
1844,7.025358428336403e-08,2.195424508855126e-09
1845,6.696273402440056e-08,0.0
1846,3.219975752699611e-08,0.0
1847,4.638172157456211e-08,0.0
1848,1.850401076808339e-08,0.0
1849,4.357295679824347e-08,0.0
1850,5.0238568860550004e-08,6.788996032014438e-10
1851,6.126966667352463e-08,6.449438760824933e-10
1852,5.989701890030119e-08,0.0
1853,6.210809289086683e-08,1.7915795513800958e-09
1854,5.507404310378661e-08,0.0
1855,7.90733594158155e-08,0.0
1856,4.4523826403519706e-08,3.6240324075009767e-09
1857,3.612316845647001e-08,4.881509085841174e-10
1858,3.3766365703513657e-08,0.0
1859,3.666364989385329e-08,0.0
1860,5.904567146330919e-08,2.288591982591015e-09
1861,3.5369726703038395e-08,0.0
1862,4.653525920161883e-08,3.6143890103090826e-09
1863,3.296449690992631e-08,4.994620828036034e-10
1864,5.513937040291239e-08,0.0
1865,6.542513375507042e-08,4.706844358715045e-10
1866,2.7247432754506917e-08,0.0
1867,4.949867715708933e-08,2.426405742994575e-09
1868,6.718228462432307e-08,4.93987406535723e-10
1869,6.446245492952585e-08,9.767038289254515e-10
1870,1.0206606759766146e-07,0.0
1871,1.2745412902859243e-07,0.0
1872,4.475031190054324e-08,6.047339295989218e-10
1873,3.95076291681562e-08,0.0
1874,1.0515311998915422e-07,0.0
1875,4.691652222277298e-08,0.0
1876,5.2600327649088285e-08,0.0
1877,5.3807898581226254e-08,0.0
1878,4.1065803202400275e-08,3.6234530931267273e-09
