year,dus_VERB être_VERB
1800,4.087413785214267e-08
1801,4.524246932646747e-08
1802,2.6854081625060644e-08
1803,4.095712213825209e-08
1804,5.438072037122765e-08
1805,2.55858996212055e-08
1806,2.5935023018064385e-08
1807,1.4234775136401367e-08
1808,4.985362878073829e-08
1809,2.0331274441787173e-08
1810,4.680253340438867e-08
1811,5.264861258069686e-08
1812,8.00162425207418e-09
1813,5.176335093892703e-08
1814,3.1466772298927026e-08
1815,5.1247248222807684e-08
1816,3.244645441213834e-08
1817,3.269434145636296e-08
1818,2.2650237241350624e-08
1819,2.173720581311045e-08
1820,3.20394981656591e-08
1821,2.2681422962023134e-08
1822,2.0051231786055723e-08
1823,4.15072847204101e-08
1824,1.7684335773537896e-08
1825,1.2327619813845558e-08
1826,4.932471142637951e-08
1827,2.1199728195142598e-08
1828,4.677873732816806e-08
1829,3.1720752247110795e-08
1830,5.4271545479878114e-08
1831,1.091384405071949e-08
1832,4.329590197471589e-08
1833,2.0850531967653296e-08
1834,2.333632664885954e-08
1835,4.386591001548368e-08
1836,1.68018754465038e-08
1837,1.948209416013924e-08
1838,3.471689069556305e-08
1839,1.957613093850341e-08
1840,2.5478755105723394e-08
1841,2.5682194149112547e-08
1842,1.609983613093391e-08
1843,2.9534556134080958e-08
1844,1.975882035765153e-08
1845,1.2276501593078137e-08
1846,1.0538101946622191e-08
1847,2.534815024546333e-08
1848,1.367687652020777e-08
1849,3.77073661184113e-08
1850,1.4935791270431764e-08
1851,4.514607354622058e-09
1852,1.1718981340891332e-08
1853,1.0152284346531815e-08
1854,1.3508727469968562e-08
1855,7.429711956774554e-09
1856,1.4496129630003907e-08
1857,1.2691923956253959e-08
1858,1.6149130033227266e-08
1859,1.5276519604867644e-08
1860,1.6020143434047895e-08
1861,1.131831339762357e-08
1862,1.9879140111811466e-08
1863,1.2486552236623538e-08
1864,7.671564716815737e-09
1865,2.4946274379544775e-08
1866,1.702964524952222e-08
1867,1.9896527092555516e-08
1868,1.5807597009143137e-08
1869,8.30198221279943e-09
1870,1.3761717099214366e-08
1871,2.549082545044712e-08
1872,6.047339518033823e-09
1873,2.2746817762708815e-08
1874,7.766991494406739e-09
1875,1.94531928343622e-08
1876,7.859819461941697e-09
1877,1.2369632429454214e-08
1878,1.69094480639842e-08
1879,1.9549840857280287e-08
1880,2.1820676820993867e-08
1881,1.045876096839038e-08
1882,1.8635077481121698e-08
1883,9.479008689083912e-09
1884,1.1222884843675729e-08
1885,1.0313017106966527e-08
1886,1.1616235084943582e-08
1887,9.140494583448344e-09
1888,1.3949351895803375e-08
1889,6.265136853755848e-09
1890,6.554386366985909e-09
1891,7.649063604731055e-09
1892,3.761107425503951e-09
1893,3.079208221734575e-09
1894,4.411077725308132e-09
1895,1.5648398132839247e-08
1896,3.2433661090180976e-08
1897,1.6897470089816125e-08
1898,1.584339415217073e-08
1899,1.2160672469008205e-08
1900,8.30568502863116e-09
1901,5.029864968975062e-09
1902,2.455141867585553e-09
1903,1.296052865029651e-08
1904,5.912087708281888e-09
1905,1.5998352864698973e-08
1906,1.4403716441790948e-08
1907,5.142843484406967e-09
1908,1.5716445034286153e-08
1909,7.701377313651392e-09
1910,2.51175080734356e-08
1911,1.0108711201439746e-08
1912,1.5628263128064646e-08
1913,1.2727175757731857e-08
1914,5.357394972094198e-09
1915,2.8273827723523937e-08
1916,5.493730803607377e-09
1917,1.315970976634162e-08
1918,1.1486376294556067e-08
1919,1.3811772170413406e-08
1920,6.815008557481406e-09
1921,1.6660044011018726e-08
1922,1.0329110011753073e-08
1923,2.0170300985000722e-08
1924,2.3204924204378585e-08
1925,1.6497267552040284e-08
1926,1.0031524944054127e-08
1927,1.7838759802657478e-08
1928,1.1426041446327417e-08
1929,1.4482528065684619e-08
1930,2.4158287814657342e-08
1931,1.1405356659111021e-08
1932,1.6439305028370654e-08
1933,4.588264879146209e-09
1934,1.9170528275935794e-08
1935,1.795242710045386e-08
1936,4.849885826274658e-09
1937,1.0072894518486919e-08
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,2.3841742802233057e-08
1948,2.174377655705939e-08
1949,9.817008539414473e-09
1950,7.444753258312176e-09
1951,1.3859822622919182e-08
1952,1.1599284199803606e-08
1953,1.1851209791302608e-08
1954,6.840775057526116e-09
1955,1.407841132561316e-08
1956,7.849027205963921e-09
1957,7.068030161150318e-09
1958,1.3235589513271862e-08
1959,9.300897829689347e-09
1960,7.612916519406099e-09
1961,1.528595028332802e-08
1962,1.2683912586908264e-08
1963,7.759263453976928e-09
1964,1.4601523545820783e-08
1965,1.0396882466068291e-08
1966,1.163205709531212e-08
1967,1.2818872185960117e-08
1968,1.4821671889819754e-08
1969,1.2262746373892242e-08
1970,8.7375777724219e-09
1971,1.798439086542203e-08
1972,1.0773308467548759e-08
1973,1.6539610570021068e-08
1974,9.00091468025721e-09
1975,1.4849848462006321e-08
1976,1.0284348483935446e-08
1977,1.1165885105413054e-08
1978,1.6633656230169436e-08
1979,1.6385525825057812e-08
1980,1.3644362084619388e-08
1981,1.3283654176632353e-08
1982,1.6760255405756652e-08
1983,5.68378455412244e-09
1984,7.538710988796993e-09
1985,1.0226449020933615e-08
1986,1.7384007122700496e-08
1987,9.166225112267057e-09
1988,9.594486094499644e-09
1989,1.6464365870660913e-08
1990,1.6345952147389653e-08
1991,1.1136783939491579e-08
1992,1.597883780846132e-08
1993,9.970573700002205e-09
1994,8.439882570598911e-09
1995,2.114755837112625e-08
1996,1.4946657245218375e-08
1997,1.3905194329311144e-08
1998,1.0013071261028017e-08
1999,1.5081663917726473e-08
2000,1.2812291672048559e-08
2001,1.7086726700199506e-08
2002,1.445803121669087e-08
2003,1.6667691227212345e-08
2004,1.761916479381398e-08
2005,9.457874483587148e-09
2006,1.1530091548195287e-08
2007,1.1983438241713884e-08
2008,1.830699147831183e-08
2009,1.1443662017995848e-08
2010,1.9367551118421034e-08
2011,1.644307978665438e-08
2012,1.6340413466764403e-08
2013,2.4265387921218462e-08
2014,2.03551842048455e-08
2015,1.8175917659846164e-08
2016,2.568461709984149e-08
2017,2.1634257052483008e-08
2018,1.9619147195726327e-08
2019,2.5764975930542278e-08
