year,plusieurs_DET os_NOUN,plusieurs_DET noces_NOUN
1800,1.0690159513160324e-07,1.2576657937302116e-08
1801,1.166779455274991e-07,0.0
1802,7.161088433349505e-08,8.951360541686881e-09
1803,3.569120767821232e-07,5.851017448321727e-09
1804,1.5572661382634578e-07,4.943701892301533e-09
1805,2.64387618464923e-07,3.1271653710973624e-08
1806,2.132435161783519e-07,0.0
1807,1.9074599677537663e-07,8.540865792383556e-09
1808,7.704651494577774e-08,0.0
1809,1.106924951699284e-07,0.0
1810,5.8503168531842675e-08,7.020380277111826e-09
1811,3.7606150637969904e-08,4.011322829455821e-08
1812,2.7205524855133945e-07,0.0
1813,2.2143210998137874e-07,2.8757416448144113e-09
1814,9.125363931161701e-08,0.0
1815,1.1598061178119679e-07,0.0
1816,1.9931393069327896e-07,3.244645441213834e-08
1817,1.0431051578052575e-07,6.227493631882908e-09
1818,1.3828565670337412e-07,1.3113295338484932e-08
1819,1.6665190827325205e-07,1.035105001712111e-09
1820,9.018525659598708e-08,0.0
1821,6.804426611051184e-08,0.0
1822,1.5840473110984021e-07,0.0
1823,1.452754903041864e-07,9.882686891060644e-10
1824,1.052639104770492e-07,1.6842225392110777e-09
1825,2.0956954926987237e-07,8.805443041381977e-10
1826,1.109806011534431e-07,0.0
1827,9.217273300166084e-08,1.8434546111834038e-09
1828,1.797770985412228e-07,9.172301251858528e-10
1829,1.6117570567075745e-07,0.0
1830,1.4194096564779102e-07,0.0
1831,6.860130952190957e-08,0.0
1832,1.867135736022263e-07,0.0
1833,2.2124731025030542e-07,0.0
1834,2.3803054460813655e-07,0.0
1835,2.38993578705049e-07,0.0
1836,1.9086929592404545e-07,0.0
1837,2.4491777494972666e-07,1.3915781860163179e-09
1838,1.3255540132206534e-07,0.0
1839,1.0137639083751537e-07,0.0
1840,1.1019561296787828e-07,0.0
1841,1.7913331129548737e-07,0.0
1842,7.64742233982929e-08,6.708265054555795e-10
1843,1.0750578316454096e-07,0.0
1844,6.970472932188443e-08,5.488561272137815e-10
1845,1.4117976654404174e-07,2.2320911785556063e-09
1846,1.0538102657164927e-07,3.5127007969038004e-09
1847,8.25163226636505e-08,3.235934187273415e-09
1848,8.608387552788699e-08,0.0
1849,1.6423653459440857e-07,0.0
1850,9.91193420674108e-08,0.0
1851,1.4059777075914326e-07,0.0
1852,1.1979403313766568e-07,6.510545436100301e-10
1853,8.420423647237385e-08,0.0
1854,5.819144277552368e-08,1.558699391779328e-09
1855,1.2895857182115833e-07,1.5920811335945473e-09
1856,5.953767584498948e-08,0.0
1857,6.687667597482516e-08,0.0
1858,5.13835968773968e-08,2.4468380654951716e-09
1859,5.0412516827691434e-08,5.092173349652285e-10
1860,9.65785771356309e-08,0.0
1861,1.1082515039007035e-07,4.715963730639317e-10
1862,7.725756756560287e-08,7.680577063240435e-09
1863,7.941446994452761e-08,2.4973103585068657e-09
1864,1.903507005351912e-07,0.0
1865,1.289675384263944e-07,0.0
1866,7.930949408319066e-08,1.0217787504984699e-08
1867,1.0870297373344329e-07,1.455843445796745e-09
1868,1.299186855874268e-07,9.87974857480367e-09
1869,1.416220563044135e-07,9.767038289254515e-10
1870,1.0206606715357225e-07,0.0
1871,1.6675248293296363e-07,0.0
1872,1.1187577753091205e-07,1.2094678591978436e-09
1873,1.2331169330082048e-07,0.0
1874,9.917850940510675e-08,0.0
1875,7.724061656944059e-08,0.0
1876,8.948101903882844e-08,0.0
1877,9.400920486513087e-08,6.184815992682502e-10
1878,1.3104823048948333e-07,0.0
1879,1.0813505557649705e-07,3.665595160740054e-09
1880,7.95812948872765e-08,6.417846254436199e-10
