year,pouvez_VERB être_VERB,pouvez_VERB etre_VERB,pouvez_VERB naître_VERB
1800,6.131120926511358e-07,0.0,0.0
1801,8.072208856901852e-07,2.3811825844433088e-09,0.0
1802,8.794711447990267e-07,2.2378401354217203e-09,0.0
1803,7.216254971353919e-07,0.0,0.0
1804,8.997537292998459e-07,0.0,0.0
1805,8.613919249000901e-07,0.0,0.0
1806,9.192524430545745e-07,0.0,0.0
1807,7.743718128949695e-07,0.0,0.0
1808,5.279952688397316e-07,0.0,0.0
1809,6.686730102956062e-07,0.0,0.0
1810,1.1092200793427764e-06,4.680253518074551e-09,0.0
1811,5.415286068455316e-07,0.0,0.0
1812,6.588004453078611e-07,0.0,0.0
1813,6.326631591946352e-07,5.751483289628823e-09,0.0
1814,5.443751547318243e-07,0.0,0.0
1815,5.124724680172221e-07,2.697223555614414e-09,0.0
1816,6.813755248913367e-07,0.0,0.0
1817,9.154415465673083e-07,0.0,0.0
1818,7.581868999295693e-07,0.0,0.0
1819,8.363648476006347e-07,0.0,0.0
1820,9.754247685123119e-07,0.0,0.0
1821,1.0965975434373831e-06,9.86148829262845e-10,0.0
1822,1.029630766424816e-06,1.0025615893027862e-09,0.0
1823,7.668965054108412e-07,0.0,0.0
1824,8.993748110697197e-07,0.0,0.0
1825,8.558890840504318e-07,0.0,0.0
1826,7.293011208275857e-07,0.0,0.0
1827,8.839364795676374e-07,1.8434546111834038e-09,0.0
1828,8.15417593003076e-07,1.8344602503717056e-09,0.0
1829,7.484382535949408e-07,8.57317605795771e-10,0.0
1830,7.879810937083676e-07,2.0873671680021744e-09,0.0
1831,9.354723715659929e-07,1.5591206103948707e-09,0.0
1832,8.659180252834631e-07,1.3529969367098715e-09,0.0
1833,9.359571890854568e-07,2.3167257001688313e-09,0.0
1834,9.203847639582818e-07,1.8669061851994684e-09,0.0
1835,9.58243276727444e-07,3.025235173481633e-09,0.0
1836,7.923764542283607e-07,0.0,0.0
