year,des_DET oies_NOUN,des_DET noix_NOUN
1800,3.772997354545282e-07,1.081592616358762e-06
1801,4.643306181772999e-07,9.57235454679406e-07
1802,4.1400042505301826e-07,7.966710882101324e-07
1803,4.5442904728076883e-07,1.3320816794060164e-06
1804,3.3617172467970136e-07,9.318878282371656e-07
1805,4.0368864784312564e-07,8.841349732335857e-07
1806,1.9595349609602408e-07,5.90742152972723e-07
1807,2.9893028363758845e-07,5.921666570429807e-07
1808,2.809931678449118e-07,8.928331549640234e-07
1809,5.195770000909761e-07,1.064003364525945e-06
1810,3.9314129374190543e-07,5.358890451390153e-07
1811,3.183987451471637e-07,7.095027036996271e-07
1812,1.520308643421231e-07,5.70782563436012e-07
1813,2.0705340375570813e-07,7.822017380476609e-07
1814,3.27254436438551e-07,3.996280018014886e-07
1815,2.751168040049379e-07,4.423446702261913e-07
1816,2.2248996955909206e-07,6.419762712539523e-07
1817,1.9149542329621738e-07,6.040669093820838e-07
1818,3.31408723130977e-07,5.924825092762376e-07
1819,2.1944226169523517e-07,4.1404201045480704e-07
1820,2.385162769513727e-07,4.295666187204006e-07
1821,2.790801291174816e-07,4.4278082889093184e-07
1822,2.1254305693219067e-07,4.5416041416501685e-07
1823,2.15442573114899e-07,4.812868539261217e-07
1824,1.5158002586446173e-07,3.7389740903392976e-07
1825,2.4391076713925486e-07,5.08074060157071e-07
1826,2.3164998708136153e-07,4.721079669423034e-07
1827,2.2582319425534791e-07,4.0002964263319285e-07
1828,2.1830077412410276e-07,4.604495176252499e-07
1829,2.3490502504275312e-07,4.406612442164892e-07
1830,2.536151120224872e-07,5.322786109651645e-07
1831,3.3053355763534853e-07,5.238645337524162e-07
1832,2.1783250325757564e-07,5.601407164768091e-07
1833,3.475088590221276e-07,1.3784517562953624e-06
1834,2.623003139134994e-07,5.852750701862419e-07
1835,2.6243915129953166e-07,7.147117884187537e-07
1836,2.473235943822871e-07,4.12654050485628e-07
1837,2.9710193816256947e-07,6.269059840136038e-07
1838,2.1650715620324945e-07,3.7999215862782876e-07
1839,2.481973737644694e-07,5.075811149168885e-07
1840,1.9427551034567614e-07,3.038341587213722e-07
1841,2.2471919214339664e-07,5.15570059533843e-07
1842,2.508891068231378e-07,3.407798514487581e-07
1843,1.8665839540688012e-07,3.4614499799801024e-07
1844,2.3820356265247256e-07,3.863947015680935e-07
1845,2.985421990731041e-07,3.4709018947864934e-07
