year,sans_ADP ôter_VERB,sans_ADP oter_VERB,sans_ADP noter_VERB
1800,3.7101141892037504e-07,9.432493897065797e-09,0.0
1801,2.1430642682673806e-07,2.3811825844433088e-09,0.0
1802,3.0434625841735397e-07,0.0,0.0
1803,2.9255087241608635e-07,0.0,0.0
1804,2.2246658204494452e-07,2.4718509461507665e-09,2.4718509461507665e-09
1805,2.956592766167887e-07,0.0,0.0
1806,2.1036184705280903e-07,0.0,5.76333825108577e-09
1807,2.3345032218458073e-07,2.8469551160981155e-09,8.540865792383556e-09
1808,2.900574713748938e-07,0.0,1.1330369531492579e-08
1809,2.597885213617701e-07,0.0,5.421673421324158e-08
1810,2.527336784297063e-07,4.680253518074551e-09,1.6380887757350138e-08
1811,3.008492228673276e-07,2.5070767684098882e-09,0.0
1812,1.3869483250772419e-07,0.0,3.467370746079723e-08
1813,2.9620139696540093e-07,1.1502966579257645e-08,1.1502966579257645e-08
1814,2.0453401994302567e-07,0.0,3.1466772298927026e-08
1815,2.2386954867670283e-07,0.0,4.5852800667489646e-08
1816,2.2944278832426335e-07,2.3176038865813098e-09,0.0
1817,3.1293154290068514e-07,1.556873407970727e-09,4.670620334934483e-09
1818,2.515368415778596e-07,1.1921177378582115e-09,3.5763532135746345e-09
1819,2.3910924973336023e-07,0.0,0.0
1820,2.4207622040250953e-07,3.5599443393152796e-09,1.0679833017945839e-08
1821,2.672463218500454e-07,0.0,1.577838126820552e-08
1822,1.7845596289589594e-07,1.0025615893027862e-09,7.017931125119503e-09
1823,1.927124007039538e-07,9.882686891060644e-10,1.3835761869529506e-08
1824,2.0800148181621125e-07,0.0,5.052667617633233e-09
1825,2.3070260191104808e-07,8.805443041381977e-10,3.610231757988913e-08
1826,2.730475148204903e-07,2.642395191543301e-09,7.927186018719112e-09
1827,2.7283129477861934e-07,3.6869092223668076e-09,5.530363722527909e-09
1828,2.980997870771773e-07,9.172301251858528e-10,1.1006761724274838e-08
1829,2.1432939867338519e-07,1.714635211591542e-09,4.286587973467704e-09
1830,2.765761366596564e-07,3.1310507520032616e-09,1.5655253093882493e-08
1831,2.5881401821692407e-07,0.0,1.5591206103948707e-09
1832,2.043025332243431e-07,0.0,4.058990810129615e-09
1833,2.8264054563464924e-07,0.0,4.6334514003376626e-09
1834,2.034927808480802e-07,9.334530925997342e-10,8.401078055442213e-09
1835,2.631954671983294e-07,3.781543966852041e-09,1.4369867074037757e-08
1836,2.896643311878222e-07,5.3765999430410716e-09,2.1506400216253496e-08
1837,2.275230350790025e-07,1.3915781860163179e-09,2.7135774516295896e-08
1838,2.1650714998600051e-07,1.2624323808552163e-09,1.3255539776935166e-08
1839,2.2162976343054197e-07,2.7965900706306e-09,2.027527834513876e-08
1840,2.038300379592073e-07,5.095750932326837e-09,1.46502836528839e-08
1841,1.900482384797897e-07,2.5682194149112547e-09,2.5040138851295524e-08
1842,2.133228296230527e-07,6.708265054555795e-10,5.366612043644636e-09
1843,2.1146741435718042e-07,1.1813822142769936e-09,2.658109998776581e-08
1844,1.3940945420287676e-07,0.0,1.701453911095996e-08
1845,1.9809809792548094e-07,2.790113973194508e-09,2.4553003186156275e-08
1846,1.8792949774137924e-07,5.854501328173001e-10,1.2879903366069811e-08
1847,2.0440317527459229e-07,3.775256551818984e-09,4.853901280910122e-09
1848,1.753858365205474e-07,6.436177313329239e-09,1.6090443422100975e-09
1849,2.404892036622641e-07,1.6758829879393033e-09,2.6814127807028854e-08
1850,1.8466069739986324e-07,6.788996032014438e-10,1.0862393651223101e-08
1851,1.4898203026803003e-07,1.2898877521649865e-09,2.192809134271556e-08
1852,1.7773789484643032e-07,4.557381805270211e-09,1.1718982229069752e-08
1853,1.9289339725503396e-07,4.777545470346922e-09,1.0749477752369785e-08
1854,1.8756348474369133e-07,3.117398617025202e-09,2.649788816144749e-08
1855,1.3851105507001193e-07,5.306937111981824e-10,2.2289135870323662e-08
1856,1.9155600838871578e-07,3.1063135952358323e-09,2.692138423299184e-08
1857,2.2601387783538485e-07,3.417056471111124e-09,1.8061584228235006e-08
1858,1.8400222323577964e-07,2.9362056119808244e-09,1.761723389392955e-08
1859,1.6142189229739756e-07,1.5276520048956854e-09,2.7497735644033128e-08
1860,1.5013163690014153e-07,9.154367819341758e-10,2.288591893773173e-08
1861,1.8297939874400981e-07,4.715963730639317e-10,1.650587277968185e-08
1862,1.5767772520991485e-07,9.035972525772706e-10,1.445755604123633e-08
1863,1.7081603798096978e-07,2.497310414018017e-09,2.0477944673302773e-08
1864,1.0979927189680438e-07,1.9178911792039344e-09,2.349416661218129e-08
1865,1.3085027106285452e-07,3.294791106611683e-09,1.8827376990770972e-08
1866,1.0607036315946061e-07,2.4328064562872953e-09,1.3623716377253459e-08
1867,1.358787216076962e-07,9.7056229719783e-10,2.426405742994575e-09
1868,1.1608704042487261e-07,1.975949626142892e-09,3.013323202072371e-08
1869,1.5187745106004513e-07,0.0,2.8324411260882698e-08
1870,1.5653952978311736e-07,0.0,3.2110673231500186e-08
1871,1.2532989845936982e-07,1.0621177271019633e-09,4.460894587055009e-08
1872,1.5904502115304808e-07,1.8142017887967654e-09,2.660829245826335e-08
1873,1.5623472293668783e-07,1.1972008939764578e-09,1.9155214303623325e-08
1874,9.97759723730951e-08,2.3898436563030145e-09,5.078417864012863e-08
1875,1.4818755778023274e-07,1.1443054281912168e-09,3.89063856687244e-08
1876,1.3422152278508293e-07,1.813804439976252e-09,3.990369701334373e-08
1877,1.354474665760108e-07,2.4739263970730008e-09,4.0201303619369355e-08
1878,1.382951375639152e-07,1.8117265465633636e-09,3.925407554561389e-08
1879,1.1057878968045998e-07,1.832797580370027e-09,4.3987142817059066e-08
1880,1.1487944728827415e-07,1.2835692508872398e-09,2.4387815544812952e-08
1881,1.2759689127506135e-07,5.5780060570498335e-09,4.3926796200466356e-08
1882,1.2445570329866484e-07,3.9932310791357395e-09,2.7952617998039386e-08
1883,1.301783831841874e-07,5.055470986281563e-09,2.5277356208164292e-08
1884,1.19490716876669e-07,1.9805090900604227e-09,3.4328824227713994e-08
1885,1.0248560777803561e-07,1.2891271383708158e-09,3.545099686030895e-08
1886,1.206797719532915e-07,2.5813855497602844e-09,3.6784744139595205e-08
1887,1.0315700649243809e-07,2.6115698492645834e-09,1.697520346510828e-08
1888,1.1286294032686328e-07,6.340614699951175e-10,4.12139939953704e-08
