year,plus_ADV ôté_VERB,plus_ADV noté_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,3.5717739876872656e-08
1802,0.0,2.2378401354217203e-08
1803,0.0,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,1.1371510844071508e-08
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,2.0056614147279106e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,1.3486118000116676e-08
1816,4.6352077731626196e-09,0.0
1817,9.341240669868967e-09,0.0
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,1.449147024601416e-08
1820,9.493184904840746e-09,1.898636980968149e-08
1821,3.94459531705138e-09,1.7750679148775816e-08
1822,3.0076847679083585e-09,3.0076847679083585e-09
1823,3.9530747564242574e-09,3.9530747564242574e-09
1824,8.421112696055388e-09,1.3473780313688621e-08
1825,6.163809906922779e-09,1.7610886970942374e-08
1826,1.3211976401805714e-08,4.403992281964975e-09
1827,0.0,2.7651818612639545e-09
1828,5.503380862137419e-09,1.8344602503717056e-09
1829,3.429270423183084e-09,4.6295149047637096e-08
1830,9.39315203396518e-09,1.2524203008013046e-08
1831,1.5591206103948707e-09,2.182768810143898e-08
1832,1.3529969367098715e-09,1.7588959622116818e-08
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,7.563087933704082e-09,1.3613558280667348e-08
1836,6.720750067579218e-10,4.032449929525228e-09
1837,3.478945576063097e-09,2.922314124020886e-08
1838,1.7042836475411605e-08,4.418513555037862e-09
1839,1.3982949909063791e-08,1.11863602825224e-08
1840,2.5478754661634184e-09,1.9746034141121527e-08
1841,6.420548537278137e-10,5.1364388298225094e-09
1842,5.366612043644636e-09,1.2745703159566801e-08
1843,5.906911071384968e-10,5.31621990873532e-09
1844,9.879410178825765e-09,2.7442805805577564e-09
1845,7.812318791877715e-09,5.580227946389016e-10
1846,9.952652035849496e-09,0.0
1847,2.6966118227278457e-09,2.6966118227278457e-09
1848,0.0,0.0
1849,0.0,1.3407063903514427e-08
1850,4.752297222410107e-09,3.2587180953669304e-08
1851,1.2898877521649865e-09,3.8696632564949596e-09
1852,6.510545436100301e-09,1.3021090872200602e-09
1853,2.388772735173461e-09,5.3747388761848924e-09
1854,2.5978321716024766e-09,1.1430461910322265e-08
1855,7.429711956774554e-09,1.0613874223963649e-09
1856,2.5885946719483854e-09,1.346069211649592e-08
1857,9.763018171682347e-10,2.0502337605421417e-08
1858,3.9149408159744326e-09,1.468102750479261e-09
1859,6.110608019582742e-09,1.018434669930457e-09
