year,quels_DET airs_NOUN,quels_DET nerfs_NOUN
1800,9.432493897065797e-09,0.0
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,2.3404069793286908e-08
1804,1.730295684509997e-08,0.0
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,2.562259604488304e-08,2.2775641816963343e-08
1808,1.1330369975581789e-08,0.0
1809,2.259030518203531e-09,9.036122072814123e-09
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,3.259199843341776e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,2.8757416448144113e-09,4.888760685162197e-08
1814,3.1466771410748606e-09,3.1466772298927026e-08
1815,5.1247248222807684e-08,2.697223555614414e-09
1816,1.1588019432906549e-08,6.952811659743929e-09
1817,2.1796227045456362e-08,1.8682481339737933e-08
1818,2.384235475716423e-09,1.1921176934492905e-08
1819,1.9666995143552413e-08,1.0351049795076506e-08
1820,4.746592452420373e-09,0.0
1821,8.875339130298698e-09,4.930744257336528e-09
1822,4.010246357211145e-09,7.017931125119503e-09
1823,8.894418535021487e-09,0.0
1824,1.0947446504872005e-08,5.052667617633233e-09
1825,7.924898959288385e-09,2.641632912414593e-09
1826,3.5231937367541377e-09,8.807984341885344e-10
1827,2.7651818612639545e-09,5.530363722527909e-09
1828,5.503380862137419e-09,2.2013523448549677e-08
1829,5.143905579263475e-09,6.858540846366168e-09
1830,1.0436835617966267e-08,1.461157062010443e-08
1831,7.795603274018958e-09,9.354723662369224e-09
1832,2.1647950543268735e-08,1.488296597074168e-08
1833,1.1583628833911064e-08,2.548398292390175e-08
1834,4.667265685043276e-09,1.213489042584115e-08
1835,1.2100940693926532e-08,1.3613558280667348e-08
1836,1.0081124712790768e-08,1.0753200108126748e-08
1837,2.7831562610103333e-09,2.1569462660409044e-08
1838,1.8936485712828244e-09,1.9567702125300457e-08
1839,1.5381245721535208e-08,2.027527834513876e-08
1840,3.821813199245128e-09,7.64362617644565e-09
1841,1.219904222082846e-08,9.630822361827995e-09
1842,1.2074876654111222e-08,8.049918065466954e-09
1843,1.00417489878879e-08,7.088293507706567e-09
1844,1.2074834687680891e-08,1.0428266250528395e-08
1845,1.50666157328061e-08,2.2320912340667576e-09
1846,8.196301859442201e-09,5.854501328173001e-10
1847,9.168480197274675e-09,4.314578916364553e-09
1848,1.769948809737798e-08,5.63165514222419e-09
1849,2.011059585527164e-08,1.75967720394965e-08
1850,2.7155984128057753e-09,9.504594444820214e-09
1851,1.289887774369447e-08,6.449438760824933e-10
1852,9.114763388495817e-09,0.0
1853,1.3138249599364826e-08,1.0749477752369785e-08
1854,1.558699391779328e-08,8.313063348808214e-09
1855,1.6982198758341838e-08,1.5920811335945473e-09
1856,6.730345836203355e-09,1.4496129630003907e-08
1857,1.0739320099872884e-08,8.298565390418844e-09
1858,1.6149130477316476e-08,1.5170396494568195e-08
1859,2.34239969643113e-08,1.6804172275897145e-08
1860,1.9681890783829203e-08,7.781212563173767e-09
1861,2.0750241080946807e-08,6.6023493339173456e-09
1862,9.487771568394976e-09,4.9697850279528666e-09
1863,1.548332440037825e-08,1.897955925755923e-08
1864,1.9178911903061646e-08,2.8768367688059016e-09
1865,2.2592852699787613e-08,9.88437331983505e-09
1866,1.3137154475373336e-08,1.0217787060895489e-08
1867,1.261730986357179e-08,9.7056229719783e-09
1868,6.9158236915001225e-09,1.3831647827089455e-08
1869,1.2697149998075474e-08,5.860223195597314e-09
1870,8.601073187008978e-09,1.2614907340946502e-08
1871,0.0,4.248470908407853e-09
1872,1.0280476914203973e-08,5.442605366390296e-09
1873,1.9753814750611554e-08,3.5916026819293734e-09
1874,1.3741600746186577e-08,2.3898436563030145e-09
1875,9.15444320348513e-09,8.010137886316215e-09
1876,1.0278225159865428e-08,2.3579458385825092e-08
1877,1.855444820009211e-08,7.421779191219002e-09
1878,1.6909448730118015e-08,6.6429974854287366e-09
1879,1.832797580370027e-09,1.221865053580018e-09
1880,1.6686400261534118e-08,8.343200130767059e-09
1881,9.761510488814906e-09,2.7890030285249168e-09
1882,2.1962770269112752e-08,2.5290463057103807e-08
1883,1.8958016156922497e-08,5.687405213450347e-09
1884,1.3203393933736152e-08,1.386356363042296e-08
1885,1.6758653131887513e-08,1.3535834897382415e-08
1886,1.5488313298561707e-08,3.2267319927115068e-09
1887,1.3057849246322917e-08,3.264462256069578e-09
1888,6.340614699951175e-09,8.876860135842435e-09
1889,5.6386229019267375e-09,3.1325683158556217e-09
1890,3.277193239004106e-09,1.3108772956016423e-09
1891,5.099376032546843e-09,1.9122659011827636e-09
1892,5.641661138255927e-09,3.1342561879199593e-09
1893,1.23168328869383e-08,4.310891643655168e-09
1894,7.561846926407156e-09,5.671385361338821e-09
1895,1.1435367985868083e-08,6.018614717717696e-09
1896,1.2973464080801023e-08,1.179405795248556e-09
1897,1.2818770045441852e-08,7.574727622916555e-09
1898,9.053368055234046e-09,1.6975064687230201e-09
1899,4.4220627160029835e-09,1.2713430308508578e-08
1900,1.349673794948103e-08,1.5573159428683425e-09
1901,1.1177477832191585e-08,2.794369458047896e-09
1902,1.1293653123800595e-08,7.365425824801264e-09
1903,1.1880484596105134e-08,2.1600881083827517e-09
1904,8.061937784020756e-09,6.987012746151322e-09
1905,4.1286072338664326e-09,3.6125313851442797e-09
1906,1.4403716441790948e-08,5.144184522798412e-10
1907,9.257117961070094e-09,5.6571278217454335e-09
1908,1.1296194646348567e-08,5.893666887857307e-09
1909,7.701377036095636e-09,0.0
1910,1.603245269876652e-08,7.481811059584231e-09
1911,5.852411555373749e-09,1.5961122423746588e-09
1912,1.5107321948981678e-08,2.0837684910901544e-09
1913,1.1666577037772186e-08,3.1817937728995105e-09
1914,3.348371857558874e-09,1.473283595121444e-08
1915,9.424609537234119e-09,1.1780761921542648e-09
1916,3.2962386153911893e-09,0.0
1917,4.386569774084137e-09,1.315970976634162e-08
1918,9.189101035644853e-09,1.8378202071289707e-08
1919,1.9336481749121504e-08,1.1049418047193171e-08
