year,tels_ADJ nombres_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,4.8988376022407465e-08
1807,6.263301344233696e-08
1808,1.1330369531492579e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,1.2454987263765815e-08
1818,2.384235475716423e-09
1819,8.280840013696888e-09
1820,9.493184904840746e-09
1821,2.9584463767662328e-09
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,2.4421225930382207e-08
1825,1.6730341556581152e-08
1826,5.284790383086602e-09
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,0.0
1830,2.400472176589119e-08
1831,3.1182412207897414e-09
1832,0.0
1833,1.6217079235048004e-08
1834,9.334531370086552e-09
1835,6.050470346963266e-09
1836,1.8818100855355624e-08
1837,1.530736071231331e-08
1838,1.5149188570262595e-08
1839,1.3982949909063791e-08
1840,6.3696887764308485e-09
1841,9.630822361827995e-09
1842,6.708265054555795e-09
1843,3.721353891705803e-08
1844,5.488561272137815e-10
1845,5.022205318283568e-09
1846,8.196302303531411e-09
1847,5.393223645455691e-10
1848,6.43617736884039e-09
1849,8.379414939696517e-10
1850,2.7155984128057753e-09
1851,7.094382858952031e-09
1852,7.161600201754936e-09
1853,1.4929829816878737e-08
1854,1.4028294081924741e-08
1855,5.306937111981824e-09
1856,3.6240324075009767e-09
1857,2.4407544874094356e-09
1858,4.893676019968041e-10
1859,1.4258085379026397e-08
1860,6.408057640072684e-09
1861,1.0375120318428799e-08
1862,6.325180823552046e-09
1863,9.989241656072068e-10
1864,7.671564716815737e-09
1865,1.0355057256106193e-08
1866,9.731225825149181e-10
1867,1.6014277903764196e-08
1868,8.89177353968762e-09
1869,1.4162205630441349e-08
1870,1.2614907340946502e-08
1871,1.1683295220166201e-08
1872,6.652073114565837e-09
1873,1.0176207432266438e-08
1874,7.766991494406739e-09
1875,6.293679799540541e-09
1876,6.650616057868319e-09
1877,4.9478527941460015e-09
1878,1.0870359723469392e-08
1879,7.331190321480108e-09
1880,1.2193908105473383e-08
1881,7.669758161910067e-09
1882,1.9966155395678697e-09
1883,2.1485751844352308e-08
1884,2.772712726084592e-08
1885,1.0957580620640783e-08
1886,9.680196200179125e-09
1887,1.3057849246322917e-09
1888,3.1703073499755874e-09
1889,8.14467782106476e-09
1890,3.2771931834929546e-09
1891,3.824531802365527e-09
1892,5.014809900671935e-09
1893,8.005941687372342e-09
1894,2.520615716150587e-08
1895,2.046328972937772e-08
1896,1.9460195233023114e-08
1897,4.078699600285063e-09
1898,2.093591255913907e-08
1899,1.0502398950507086e-08
1900,1.1939421895590385e-08
1901,2.0678333711998675e-08
1902,8.838511256215043e-09
1903,1.8900770726304472e-08
1904,2.4723275870996986e-08
1905,1.2385822145688508e-08
1906,2.7264178470431943e-08
1907,3.0857059130084963e-09
1908,1.4243028090277221e-08
1909,1.6502950117569526e-08
1910,1.7635697346918278e-08
1911,1.8621308939259507e-08
1912,1.6670147928721235e-08
1913,1.0075680734189518e-08
1914,1.7411533548283842e-08
1915,3.180805663305364e-08
1916,6.592477230782379e-09
1917,9.869782324756216e-09
1918,1.722956355365568e-08
1919,6.4454939163738345e-09
1920,9.086678076641874e-09
1921,6.058197943303867e-09
1922,1.3280283539529592e-08
1923,1.2739137744688378e-08
1924,2.3204924204378585e-08
1925,1.5397448649423495e-08
1926,2.0063049888108253e-08
1927,2.0068604555945058e-08
1928,3.085031252680892e-08
1929,1.3368487650211591e-08
1930,2.10072066408884e-08
1931,2.737285598186645e-08
1932,1.53433514782364e-08
1933,2.867665571670841e-08
1934,2.875579241390369e-08
1935,1.9149254626427137e-08
1936,2.182448710641438e-08
1937,1.0072894518486919e-08
1938,9.075650453382877e-09
1939,3.976452944698394e-08
1940,1.7750480196809804e-08
1941,2.6563522936839945e-08
1942,2.4273694165799498e-08
1943,5.2258233296242906e-08
1944,4.4984606262232774e-08
1945,3.485606470121638e-08
1946,3.7586982415405146e-08
1947,1.1920871401116528e-08
1948,1.522064252412747e-08
1949,1.668891336237266e-08
