year,vos_DET airs_NOUN,vos_DET nerfs_NOUN
1800,2.2009151834367913e-08,4.087413785214267e-08
1801,3.5717737434382e-08,2.6193008650921e-08
1802,3.3567602031325805e-08,3.8043282302169246e-08
1803,5.265915836716317e-08,5.655983770225248e-08
1804,1.359518080334965e-07,2.7190360185613827e-08
1805,4.548604315424143e-08,2.842877755426798e-08
1806,1.0374009207225754e-07,4.034336775760039e-08
1807,1.7081730252499483e-08,8.540865792383556e-09
1808,4.75875534533543e-08,2.039466595604722e-08
1809,1.3554183553310395e-08,7.00299480627109e-08
1810,1.0530570193623134e-07,4.680253518074551e-09
1811,8.774768467390004e-08,3.760615285841595e-08
1812,6.134578844907423e-08,4.000812303672774e-08
1813,6.039057609541487e-08,2.013019195779009e-08
1814,9.125363398254649e-08,2.5173417128598885e-08
1815,1.8880564667256294e-08,8.091670444798638e-09
1816,3.0128852301913867e-08,2.7811246638975717e-08
1817,7.472992091805963e-08,2.023935474770866e-08
1818,5.0068943213688044e-08,4.053200441944682e-08
1819,5.175524897538253e-08,9.315945348475907e-09
1820,7.950542535439808e-08,2.7292905713238724e-08
1821,6.015507691969901e-08,1.7750679148775816e-08
1822,2.5064039732569654e-08,5.3135764233047666e-08
1823,5.731958552246397e-08,3.162459805139406e-08
1824,3.8737119290033206e-08,1.51580028528997e-08
1825,5.459374818883589e-08,1.9371974913084955e-08
1826,2.8185549894033102e-08,2.3781557056956615e-08
1827,2.0278000945062047e-08,1.2904182056239222e-08
1828,5.3199348259980184e-08,2.5682443394181576e-08
1829,3.0006116702452346e-08,6.858540846366168e-09
1830,6.575206312753323e-08,2.817945699007396e-08
1831,3.2741533706470705e-08,7.483778574624012e-08
1832,4.058990832334075e-08,8.794479811058409e-08
1833,4.749287596528262e-08,4.2859426230279496e-08
1834,2.893704542650255e-08,5.0406466556296436e-08
1835,5.218530674255817e-08,4.4622218808854086e-08
1836,2.822714967321005e-08,3.49478987970997e-08
1837,1.8090516529234435e-08,6.749154279894753e-08
1838,3.787297009338886e-08,1.830526885626682e-08
1839,2.6567605448946097e-08,3.635567225046543e-08
1840,3.375935120342177e-08,3.057450603805023e-08
1841,3.5955072252846776e-08,3.2102743574569104e-08
1842,6.439934541191406e-08,2.4820580701856443e-08
1843,3.7804230856863796e-08,8.269675610961258e-09
1844,3.56756482688958e-08,1.811225303072206e-08
1845,5.6918324276011845e-08,3.738752596404993e-08
1846,4.9763260845381296e-08,3.454155717008689e-08
1847,3.020205241455187e-08,1.4022381478184798e-08
1848,5.5512030749937935e-08,2.815827571112095e-08
1849,3.854530761238095e-08,4.1897074254393374e-08
1850,5.159636806695289e-08,1.2899092460827433e-08
1851,2.4507867735223954e-08,2.257303499675345e-08
1852,4.5573818718835923e-08,1.7578472011337e-08
1853,4.060913649794884e-08,5.2552998397459305e-08
1854,6.33871053423718e-08,4.000661490977109e-08
1855,8.278822249963014e-08,4.6701046585440054e-08
1856,3.572260576234498e-08,2.795682235712249e-08
1857,5.272029879321849e-08,4.979139256455767e-08
1858,5.1872966366772744e-08,4.404308384664546e-08
1859,4.786642771037464e-08,4.83756465996521e-08
1860,6.087654602637826e-08,4.5771838541597276e-08
1861,4.810282866474225e-08,4.2443672576553126e-08
1862,3.885468324860142e-08,3.6595690033891515e-08
1863,5.044567208400963e-08,3.8958042125614156e-08
1864,6.856460954551835e-08,4.6029388300894425e-08
1865,4.7068444919418084e-08,3.718406876851432e-08
1866,5.1575495207956124e-08,7.784980837755029e-08
1867,5.386620571812273e-08,5.192508290008391e-08
1868,5.236266353847441e-08,3.309715523869272e-08
1869,7.325278961189952e-08,6.202069202654314e-08
1870,2.8670243512607385e-08,4.3578772590535664e-08
1871,2.549082545044712e-08,3.0801414974135355e-08
1872,3.9307707089264454e-08,6.77301983387224e-08
1873,2.9930021461233025e-08,4.070482972906575e-08
1874,3.5847653734322193e-08,4.660195118688648e-08
1875,3.37570102426632e-08,3.318485752856759e-08
1876,5.6832537564943664e-08,2.7811667635546655e-08
1877,6.865146029433333e-08,2.968711676487601e-08
1878,3.442280499532657e-08,2.959153455606156e-08
1879,6.048231937505477e-08,3.5434084888485984e-08
1880,3.3372801855335865e-08,4.6208493031940634e-08
1881,1.8128519629900808e-08,6.344981740014077e-08
1882,5.923292589748996e-08,4.326000180299161e-08
1883,4.613117443597048e-08,4.1707636455612374e-08
1884,3.4328825115892414e-08,2.8387296069354306e-08
1885,1.4180398411056672e-08,5.1565084646654213e-08
1886,2.5813855941692054e-08,3.7430090027434915e-08
1887,2.7421483972389638e-08,2.546280519766242e-08
1888,3.4873380627686856e-08,5.32611650339021e-08
1889,2.7566601445982997e-08,2.756660116842724e-08
1890,1.8352282582512203e-08,3.867088071984881e-08
1891,4.971891465199718e-08,3.314594376746527e-08
1892,3.635737289009455e-08,3.510366997083736e-08
1893,2.2170299485146927e-08,4.0645549148621285e-08
1894,2.6466465019581165e-08,4.852185342407722e-08
1895,2.407445731655855e-08,3.731540831886093e-08
1896,3.715128332748563e-08,5.425266547121055e-08
1897,3.43776108691074e-08,1.9810826423771744e-08
1898,1.697506502029711e-08,4.979352463685416e-08
1899,2.65323762960179e-08,2.8743407654019393e-08
1900,3.426095018799202e-08,4.152842603133422e-08
1901,3.409130766574009e-08,5.02986488015722e-08
