year,trois_DET ombres_NOUN,trois_DET nombres_NOUN
1800,0.0,7.231578535993322e-08
1801,4.7623651688866175e-09,1.1191558257905854e-07
1802,2.2378401354217203e-09,2.0140561218795483e-07
1803,0.0,1.0921899473714802e-07
1804,2.4718509461507665e-09,1.9527622896475805e-07
1805,1.1371510844071508e-08,1.1655798726195599e-07
1806,0.0,9.797675026845809e-08
1807,0.0,3.416346032736328e-07
1808,0.0,1.0877155443012043e-07
1809,4.0662548883574345e-08,1.0165637576164954e-07
1810,1.1700633351097167e-08,1.0998595456612748e-07
1811,3.008492077682945e-08,8.524060746140094e-08
1812,1.8670456736202823e-08,1.0935553973467904e-07
1813,0.0,2.5881675469463516e-08
1814,0.0,3.1466772298927026e-08
1815,3.236668311146218e-08,6.47333635583891e-08
1816,0.0,1.0429217667251578e-07
1817,2.8023721676539992e-08,7.317304806520042e-08
1818,1.1921176934492905e-08,4.2916237674717195e-08
1819,2.070210003424222e-09,7.24573467891787e-08
1820,9.493184904840746e-09,6.526564533260171e-08
1821,2.070912508145284e-08,8.776724769177235e-08
1822,0.0,4.6117833107928163e-08
1823,2.9648061783404955e-09,6.423746479189418e-08
1824,1.51580028528997e-08,9.431646219582035e-08
1825,7.044354433105582e-09,5.2832657360113444e-08
1826,6.1655889282974385e-09,6.958307607884961e-08
1827,2.7651818612639545e-09,7.005127855563842e-08
1828,1.0089530988466322e-08,5.8702729177628754e-08
1829,0.0,4.9724420136953995e-08
1830,6.262101504006523e-09,9.080046936560393e-08
1831,3.1182412207897414e-09,3.1182413096075834e-08
1832,2.705993873419743e-09,9.606278283946779e-08
1833,8.108539617524002e-09,4.51761508202253e-08
1834,5.600718555598405e-09,6.72086244435377e-08
1835,2.2689263801112247e-09,1.0210168710500511e-07
1836,1.008112526790228e-08,1.223176482323396e-07
1837,6.957890930081589e-10,4.800944708449606e-08
1838,4.418513332993257e-09,5.7440673550956944e-08
1839,4.194885327990505e-09,1.1885507555930985e-07
1840,2.165694068523294e-08,5.6690229399691816e-08
1841,1.3483152372373297e-08,7.961480008589206e-08
1842,5.366612043644636e-09,1.6099835598026857e-07
1843,1.1813821920725331e-08,9.92361075535797e-08
1844,1.1525978393933656e-08,5.598332558642838e-08
1845,8.928364714222425e-09,7.868121487675239e-08
1846,1.9905304071698993e-08,2.0490755092694712e-08
1847,1.6179670936367074e-08,1.4184178809273362e-07
1848,4.02261068899179e-09,4.746680914990975e-08
1849,4.1897072478036534e-09,1.1396004140351579e-07
1850,1.4935791270431764e-08,7.12844583361516e-08
1851,6.449438760824933e-09,1.0383596404928142e-07
1852,1.0416872697760482e-08,9.505396292297519e-08
