year,avais_VERB ôté_VERB,avais_VERB noté_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,0.0,9.751696339321825e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,7.161617787687646e-08,0.0
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-08,0.0
1821,6.903041693817613e-09,0.0
1822,7.017931125119503e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,5.894778887238772e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,5.503380862137419e-09
1829,9.430493719264632e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,6.236482441579483e-09,0.0
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,4.6334514003376626e-09,1.0425265983826648e-08
1834,9.334531370086552e-09,1.6802156110884425e-08
1835,6.050470346963266e-09,0.0
1836,6.720750067579218e-10,4.704525213838906e-09
1837,1.2524203896191466e-08,2.7831563720326358e-09
1838,7.574594285131298e-09,1.2624323808552163e-09
1839,2.0974426639952526e-09,0.0
1840,2.5478754661634184e-09,6.369688665408546e-10
1841,8.988767952189392e-09,1.2841097074556274e-09
1842,5.366612043644636e-09,6.708265054555795e-10
1843,4.134837805480629e-09,9.451057714215949e-09
1844,6.037417232818143e-09,5.488561161115513e-09
1845,7.812318791877715e-09,1.674068439427856e-09
1846,0.0,5.269050973311096e-09
1847,0.0,5.393223645455691e-10
1848,0.0,2.413566457803995e-09
1849,4.1897072478036534e-09,1.6758829879393033e-09
1850,4.073397619208663e-09,2.0366988096043315e-09
1851,3.2247193804124663e-09,6.449438760824933e-10
1852,1.6927417689771573e-08,0.0
1853,7.166318205520383e-09,4.777545470346922e-09
1854,4.1565315633818045e-09,4.1565315633818045e-09
1855,4.776243400783642e-09,5.306937111981824e-09
1856,5.694908100650764e-09,3.6240324075009767e-09
1857,4.393358121745905e-09,9.763018171682347e-10
1858,3.9149408159744326e-09,1.468102750479261e-09
1859,0.0,2.5460866748261424e-09
1860,6.408057640072684e-09,9.154367819341758e-10
1861,4.715963730639317e-10,1.8863854922557266e-09
1862,3.162590411776023e-09,2.710791813242963e-09
1863,2.9967726078439227e-09,3.496234635136375e-09
1864,1.4384183844029508e-09,4.315255264231155e-09
1865,2.3534221238463715e-09,3.765475486972036e-09
1866,9.244664589402873e-09,0.0
1867,2.4749338578544666e-08,1.455843445796745e-09
1868,3.951899252285784e-09,4.939874287401835e-09
1869,1.70923168951731e-08,3.906815315701806e-09
1870,5.734048791339319e-09,7.454262984651905e-09
1871,1.3807530230280918e-08,1.0621177271019633e-09
1872,3.0236697590169115e-09,2.4189357183956872e-09
1873,5.986004469882289e-10,4.190203295451056e-09
1874,5.974609251779839e-09,1.1351757756017378e-08
1875,2.8607636259891933e-09,4.005069165202713e-09
1876,4.232210137899983e-09,9.673623679873344e-09
1877,4.329371083855449e-09,9.27722432209066e-09
1878,9.662541877730746e-09,1.8117265465633636e-09
1879,9.774920428640144e-09,1.832797580370027e-09
1880,6.417846254436199e-09,7.059631101924424e-09
1881,9.761510710859511e-09,1.3945015142624584e-09
1882,3.9932310791357395e-09,3.3276925659464496e-09
1883,1.0110942305630033e-08,2.5277355764075082e-09
1884,0.0,3.9610181801208455e-09
1885,1.933690763067375e-09,7.090199094506033e-09
1886,3.872078213618124e-09,2.5813855497602844e-09
1887,1.3057849246322917e-09,3.264462256069578e-09
1888,3.1703073499755874e-09,9.510921827882157e-09
