year,devons_VERB être_VERB,devons_VERB etre_VERB,devons_VERB naître_VERB
1800,7.640319950041885e-07,0.0,0.0
1801,8.548445293854456e-07,2.3811825844433088e-09,0.0
1802,6.489736392722989e-07,0.0,0.0
1803,7.040724767648499e-07,5.851017448321727e-09,0.0
1804,7.390834184661799e-07,2.4718509461507665e-09,0.0
1805,7.192480779849575e-07,1.1371510844071508e-08,0.0
1806,6.829556014054106e-07,0.0,0.0
1807,4.98217161748471e-07,2.8469551160981155e-09,1.4234775136401367e-08
1808,5.665185085490521e-07,0.0,0.0
1809,5.57980513349321e-07,2.259030518203531e-09,0.0
1810,1.055397206073394e-06,0.0,0.0
1811,3.860898232233012e-07,0.0,0.0
1812,6.801381005061558e-07,0.0,0.0
1813,4.6299439304675616e-07,0.0,0.0
1814,6.576555051651667e-07,3.1466771410748606e-09,0.0
1815,7.255531500049983e-07,0.0,0.0
1816,1.0429217809360125e-06,2.3176038865813098e-09,0.0
1817,7.7220920502441e-07,3.113746815941454e-09,0.0
1818,7.975267521942442e-07,1.1921177378582115e-09,0.0
1819,7.473458367712738e-07,1.035105001712111e-09,0.0
1820,6.574030635420058e-07,1.1866481131050932e-09,3.5599443393152796e-09
1821,1.1025143749066046e-06,9.86148829262845e-10,0.0
1822,9.985512861021562e-07,0.0,0.0
1823,8.340987847077486e-07,9.882686891060644e-10,1.9765373782121287e-09
1824,6.863206749585515e-07,0.0,0.0
1825,7.150019882828929e-07,0.0,1.7610886082763955e-09
1826,6.447444320656359e-07,0.0,2.642395191543301e-09
1827,7.134169095479592e-07,9.217273055917019e-10,0.0
1828,7.51211473470903e-07,2.7516904310687096e-09,0.0
1829,6.60991872791783e-07,0.0,6.001223074036943e-09
1830,7.504085033360752e-07,2.0873671680021744e-09,2.0873671680021744e-09
1831,6.969269179535331e-07,0.0,0.0
1832,7.373833454948908e-07,0.0,0.0
1833,7.598860065627377e-07,1.1583628500844156e-09,0.0
1834,9.054494967131177e-07,0.0,0.0
1835,9.945460988092236e-07,3.025235173481633e-09,7.563087933704082e-10
1836,9.462816024097265e-07,0.0,0.0
1837,8.537332405467168e-07,2.7831563720326358e-09,1.0436836284100082e-08
1838,6.526775564452691e-07,6.312161904276081e-10,0.0
1839,6.138515118436771e-07,6.9914751765765e-10,0.0
1840,8.892085361367208e-07,1.2739377330817092e-09,0.0
1841,7.890853908065765e-07,1.926164561183441e-09,6.420548537278137e-10
1842,9.056157637132856e-07,6.708265054555795e-10,2.95163662400455e-08
1843,8.736321319702256e-07,5.906911071384968e-10,0.0
1844,9.429348324374587e-07,5.488561272137815e-10,2.195424508855126e-09
1845,1.1099073162768036e-06,2.2320911785556063e-09,1.674068439427856e-09
1846,8.811024372334941e-07,1.7563503984519002e-09,7.610851504580296e-09
1847,6.245352892619849e-07,1.0786447290911383e-09,5.393223645455691e-10
1848,8.077402640083164e-07,8.045221711050488e-10,0.0
1849,7.281711305040517e-07,0.0,0.0
1850,6.626059985137545e-07,1.3577992064028876e-09,2.0366988096043315e-09
1851,6.417191684704449e-07,1.2898877521649865e-09,0.0
1852,7.70197516430926e-07,6.510545436100301e-10,2.6042181744401205e-09
1853,8.557778414797212e-07,0.0,1.1346670270029335e-08
1854,1.0401720373920398e-06,2.5978321716024766e-09,4.676098175337984e-09
1855,7.769356216158485e-07,3.714855978387277e-09,0.0
1856,1.0281897857566946e-06,1.5531567143511893e-09,5.177189232874468e-10
1857,7.141647984099109e-07,3.4170564155999728e-09,4.881509085841174e-10
1858,7.379663315987273e-07,4.893676130990343e-09,4.893676019968041e-10
1859,7.398928119073389e-07,0.0,3.5645213447565993e-09
1860,7.794944281158678e-07,1.8308735638683515e-09,2.288591982591015e-09
1861,7.984126568771899e-07,1.8863854922557266e-09,3.772770984511453e-09
1862,8.430562274952536e-07,9.035972525772706e-10,5.421583626485926e-09
1863,6.652834940723551e-07,4.994620828036034e-10,9.989241656072068e-10
1864,7.546901770183467e-07,1.4384183844029508e-09,9.589455896019672e-10
1865,8.302873197862937e-07,2.8241067262513297e-09,0.0
1866,8.738640531191777e-07,1.9462451650298362e-09,9.731225825149181e-10
1867,7.575238782919769e-07,0.0,9.7056229719783e-10
1868,6.807146633036609e-07,3.457911734727759e-09,4.93987406535723e-10
1869,7.613406296513858e-07,2.441759683335931e-09,0.0
1870,8.228360002249246e-07,2.2936195165357276e-09,1.1468097582678638e-09
1871,8.773092190494935e-07,2.1242354542039266e-09,1.805600113868877e-08
1872,9.113340411204263e-07,3.0236697590169115e-09,6.047339295989218e-10
1873,7.524407692471868e-07,4.190203295451056e-09,1.1972008939764578e-09
1874,6.297237860053428e-07,5.974609140757536e-10,1.1949218281515073e-09
1875,6.139198376331478e-07,5.721527140956084e-10,5.721527140956084e-10
1876,6.523649744849536e-07,6.04601479992084e-10,0.0
1877,6.691971066175029e-07,1.2369631985365004e-09,0.0
1878,5.139264658282627e-07,1.8117265465633636e-09,6.039088673581716e-10
1879,6.5919618918997e-07,1.221865053580018e-09,6.10932526790009e-10
1880,6.610381433347357e-07,0.0,3.8507077526617195e-09
1881,5.619841090265254e-07,0.0,6.972507571312292e-10
1882,6.768526645828388e-07,3.3276925659464496e-09,1.3310770263785798e-09
1883,6.10448125826224e-07,0.0,0.0
1884,5.769883273387677e-07,3.9610181801208455e-09,0.0
1885,5.169399628357496e-07,1.933690763067375e-09,6.445635691854079e-10
1886,5.717769226976088e-07,8.38950331427668e-09,1.936039106809062e-09
