year,les_DET oeufs_NOUN,les_DET noeuds_NOUN
1800,1.050150927994764e-06,7.954736389592654e-07
1801,1.750169179359773e-06,4.024198538843393e-07
1802,1.635861167414987e-06,5.460329930428998e-07
1803,5.74569926703461e-06,8.757022840200079e-07
1804,1.4015394937949566e-06,4.770672248355368e-07
1805,1.4356532724857374e-06,4.434889255833241e-07
1806,3.0257525018839715e-07,3.2562860940998917e-07
1807,3.387876525984268e-07,3.387876468252671e-07
1808,3.172503699744311e-07,2.9458961314787757e-07
1809,3.004510509274638e-07,2.6656558826942955e-07
1810,4.937667354987241e-07,4.5398458858869617e-07
1811,1.6797414126301646e-07,2.0558029056871874e-07
1812,2.0270783229747735e-07,2.1604387390183888e-07
1813,3.911008619184031e-07,2.4156229905258897e-07
1814,5.349350913341766e-07,5.538151901518518e-07
1815,2.2656678222432447e-07,2.1847510822681215e-07
1816,3.963102610526903e-07,1.877259201421566e-07
1817,6.196355881726845e-07,1.5724421909002473e-07
1818,4.828076922702706e-07,1.2994083409267887e-07
1819,5.775886062764357e-07,1.273179215388609e-07
1820,2.7174242323013686e-07,1.4714437135410208e-07
1821,1.2425475581778755e-07,1.577838073529847e-07
1822,1.9349438673543773e-07,3.278376397020111e-07
1823,1.8678277735606486e-07,1.1958051127081148e-07
1824,2.147383737494124e-07,1.8021180814287163e-07
1825,1.9107811288776588e-07,8.893497338569034e-08
1826,1.6030530847199742e-07,8.191425227010996e-08
1827,6.756261352047765e-07,8.84858177840897e-08
1828,3.1460993210608024e-07,7.979902250099258e-08
1829,1.7746473929269868e-07,1.2259641879452943e-07
1830,2.0143092882562996e-07,9.706257397823492e-08
1831,1.7773974980705987e-07,1.138158063351824e-07
1832,1.9483155533350782e-07,1.0012177675822187e-07
1833,1.8997151052246863e-07,6.023486887052343e-08
1834,2.240287466648283e-07,1.2321580911134333e-07
1835,1.8680827196249083e-07,7.638718813041123e-08
1836,2.083432480426417e-07,5.645430034562082e-08
1837,2.866651082067406e-07,8.766942771742947e-08
1838,2.9793404321409866e-07,3.02983775846144e-08
1839,2.0415107082616402e-07,5.103776867798615e-08
1840,1.1911317832069557e-07,4.586175839094153e-08
1841,1.5280905474313045e-07,2.632424855875115e-08
1842,2.8912622784815767e-07,4.092041683279035e-08
1843,1.7720733613835193e-07,6.08411832025979e-08
1844,2.2064016780287687e-07,3.402907822191992e-08
1845,1.8414752256390443e-07,4.352577642752209e-08
1846,1.7504959481939864e-07,3.7468808944396415e-08
1847,3.1658221377739437e-07,3.5055953695461994e-08
1848,2.051531546864993e-07,2.735375431717202e-08
1849,2.0864742733550656e-07,3.267971848686102e-08
1850,1.7379830286046172e-07,6.177986566768823e-08
1851,2.3024495665602274e-07,4.837079048414239e-08
1852,1.9401425377374437e-07,3.05995628835376e-08
1853,1.9229620096261613e-07,5.792773771773341e-08
1854,1.1430461621664278e-07,4.41631466951975e-08
1855,1.719447624282111e-07,3.449509122788186e-08
1856,1.1234500962853389e-07,2.692138467708105e-08
1857,1.571845890113721e-07,2.5871997988424766e-08
1858,8.514996041597556e-08,3.327699527044814e-08
1859,1.4461772246399107e-07,8.096555292880225e-08
1860,5.60705014196472e-07,5.904567323966603e-08
1861,1.763770467455572e-07,3.39549397487815e-08
1862,1.0888347223847461e-07,1.716834857612426e-08
1863,9.439833159596844e-08,1.4484400623349103e-08
1864,1.486365611702567e-07,2.589153169640923e-08
1865,1.2237795188330125e-07,2.212216787533805e-08
1866,1.3429091927363856e-07,2.5787747603978062e-08
1867,1.0918825665839904e-07,8.638004445060687e-08
1868,1.0966520536115354e-07,2.5193358510477992e-08
1869,8.790334371511221e-08,3.4672987148098855e-08
1870,1.5481931425753714e-07,4.3578770814178824e-08
1871,9.452847815616394e-08,2.4428708167434365e-08
1872,1.1006157296655772e-07,2.721302638786227e-08
1873,1.5862911295627669e-07,3.7711829659059504e-08
1874,1.332337859483168e-07,2.7483201492373155e-08
1875,2.0940789680068406e-07,2.1169650921137873e-08
1876,1.0278224960025284e-07,3.506688606158548e-08
1877,1.6822699777652161e-07,2.9687116986920614e-08
1878,2.143876439708592e-07,2.174071833671576e-08
1879,1.2035370577923032e-07,4.5819940730496e-08
1880,1.5852080514910938e-07,2.952209299245112e-08
1881,1.2480788336155513e-07,7.390858192124483e-08
1882,2.642187848511668e-07,5.058092877874287e-08
1883,2.799467148095758e-07,3.286056138307458e-08
1884,1.1618986661687813e-07,3.102797485610154e-08
1885,1.2440076779807185e-07,2.3204288379652382e-08
1886,1.35522741750993e-07,3.7430091470724847e-08
1887,1.93909063028741e-07,2.8074376157150027e-08
1888,1.4076164656096068e-07,2.789870423569596e-08
1889,2.506054730400109e-07,3.132568282548931e-08
1890,1.3502035778323318e-07,3.670456349968987e-08
1891,2.9958834346643926e-07,3.059625686141487e-08
1892,3.3787280573349676e-07,4.952124665891233e-08
1893,1.1269902422950118e-06,3.695049966001562e-08
1894,2.1047141474106468e-07,4.348061954928539e-08
1895,1.1014064926762046e-07,3.310238061438042e-08
1896,1.4152869398653678e-07,1.946019501097851e-08
1897,2.0684832635620154e-07,2.5054867736074016e-08
1898,1.8163319970287972e-07,3.451596386483402e-08
1899,1.260287909587987e-07,4.477338499953021e-08
1900,1.6092264853995175e-07,4.464305680684788e-08
