year,devrions_VERB être_VERB,devrions_VERB etre_VERB
1800,7.860410988769218e-08,0.0
1801,1.5477687043130572e-07,0.0
1802,1.1189200677108602e-07,0.0
1803,4.6808139586573816e-08,1.950339223455444e-09
1804,7.909923027682453e-08,0.0
1805,9.665784261869703e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.366538526781369e-07,0.0
1808,7.931259204951857e-08,0.0
1809,6.551188391767937e-08,0.0
1810,2.4103306373035593e-07,0.0
1811,3.259199843341776e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,7.476928232108548e-08,0.0
1814,5.664018942752591e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,1.4600904307826568e-07,0.0
1817,1.0742426326260102e-07,3.113746815941454e-09
1818,1.3947777688372298e-07,0.0
1819,9.315944993204539e-08,0.0
1820,1.2222476186707354e-07,0.0
1821,8.875339574387908e-08,0.0
1822,1.3935606091308728e-07,0.0
1823,1.4132241688002978e-07,0.0
1824,1.288430269141827e-07,0.0
1825,1.0566531472022689e-07,0.0
1826,9.953022583886195e-08,0.0
1827,1.3918082686359412e-07,0.0
1828,1.5684635457091645e-07,9.172301251858528e-10
1829,9.516225674133238e-08,0.0
1830,9.601888706356476e-08,0.0
1831,8.107426907599802e-08,0.0
1832,5.0060886991332154e-08,1.3529969367098715e-09
1833,1.3784517705062171e-07,0.0
1834,1.2881652367013885e-07,0.0
1835,1.958839845883631e-07,0.0
1836,9.879502727017098e-08,0.0
1837,1.0645572956491378e-07,1.3915781860163179e-09
1838,8.710783561127755e-08,6.312161904276081e-10
1839,6.50207212515852e-08,0.0
1840,1.1019561441116821e-07,0.0
1841,9.887644836226173e-08,0.0
1842,1.2812786565064016e-07,0.0
1843,1.1754752904380439e-07,0.0
1844,1.0538037997775973e-07,0.0
1845,1.2611315014510183e-07,5.580227946389016e-10
1846,9.777016884982004e-08,0.0
1847,1.310553301436812e-07,0.0
1848,1.1021953838508125e-07,0.0
1849,1.3323270309228974e-07,0.0
1850,1.1201843364005981e-07,0.0
1851,8.061798695280231e-08,0.0
1852,7.0313888045348e-08,0.0
1853,1.1645266795312637e-07,0.0
1854,1.5742863013201713e-07,0.0
1855,9.234070574848374e-08,0.0
1856,1.2062851340033376e-07,0.0
1857,1.0592874843950995e-07,0.0
1858,1.2380999692140904e-07,0.0
1859,1.0337112144043203e-07,0.0
1860,1.0069804545764782e-07,9.154367819341758e-10
1861,9.47908702642053e-08,0.0
1862,1.1656404552695676e-07,0.0
1863,8.440909482487768e-08,0.0
1864,1.2706028940101532e-07,4.794727948009836e-10
1865,1.2237795488090342e-07,0.0
1866,1.1482846673516178e-07,0.0
1867,8.540948215340904e-08,0.0
1868,7.95319721191845e-08,0.0
1869,1.1720445769469734e-07,9.767038289254515e-10
1870,1.0206606759766146e-07,0.0
1871,8.921789174110017e-08,0.0
1872,1.0280476914203973e-07,0.0
1873,9.278306833948591e-08,5.986004469882289e-10
1874,8.66318359271645e-08,0.0
1875,9.383304444554597e-08,0.0
1876,7.497058618355368e-08,0.0
1877,9.586464955191332e-08,0.0
1878,6.099479321619583e-08,6.039088673581716e-10
1879,9.225081498698273e-08,6.10932526790009e-10
1880,7.059630746653056e-08,0.0
1881,9.412885049187025e-08,0.0
1882,8.319231170617059e-08,0.0
1883,7.899173937175874e-08,0.0
1884,1.095881714263669e-07,0.0
1885,6.381179673553561e-08,0.0
1886,7.227879450510954e-08,0.0
1887,8.291734587828614e-08,6.528924623161458e-10
1888,6.213802095089704e-08,0.0
1889,5.951880055476977e-08,0.0
1890,7.668631951673888e-08,0.0
1891,8.031517495510343e-08,0.0
1892,6.958048714977849e-08,0.0
1893,6.096832549928877e-08,0.0
1894,1.1342770989131168e-07,0.0
1895,1.1856670312226925e-07,0.0
1896,9.612157469973681e-08,0.0
1897,9.147940005505006e-08,5.826713556089658e-10
1898,1.1825962076272845e-07,0.0
1899,1.0226020208392583e-07,0.0
1900,9.655359178850631e-08,0.0
1901,9.780293197536594e-08,0.0
1902,1.1981092029600404e-07,0.0
1903,1.0152414375852459e-07,0.0
1904,8.545654139879844e-08,0.0
1905,1.0321517862621477e-07,0.0
1906,1.1728740645366997e-07,0.0
1907,1.1571397351417545e-07,0.0
1908,1.2131131654768978e-07,0.0
1909,9.571711245826009e-08,0.0
1910,9.40570501484217e-08,0.0
1911,1.0002303696410308e-07,0.0
1912,7.970414372948653e-08,0.0
1913,9.8105310541996e-08,0.0
1914,1.0312985665450469e-07,0.0
1915,1.060268601804637e-07,0.0
1916,1.1426960355720439e-07,0.0
1917,1.710762234097274e-07,0.0
1918,1.297960494639483e-07,1.1486376294556067e-09
1919,1.3351380800941115e-07,0.0
1920,1.6280297643334052e-07,0.0
1921,9.238751630391562e-08,0.0
1922,1.3501622220246645e-07,0.0
1923,1.0191310195750702e-07,0.0
1924,1.1344629768927916e-07,0.0
1925,1.198801413693218e-07,2.1996355847875293e-09
1926,1.6161901328359818e-07,0.0
1927,1.0591763555112266e-07,0.0
1928,9.940655587570291e-08,1.1426041224282812e-09
1929,8.132496986945625e-08,0.0
1930,8.087774716614149e-08,0.0
1931,7.755642172924126e-08,0.0
1932,1.1069131744534388e-07,0.0
1933,9.75006315684368e-08,0.0
1934,1.0903237779302799e-07,0.0
1935,1.1489552775856282e-07,0.0
1936,6.789839801513153e-08,1.2124714565686645e-09
1937,8.310137644684801e-08,0.0
1938,9.07565009811151e-08,0.0
1939,1.1164657109929976e-07,0.0
1940,9.128818589942966e-08,0.0
1941,9.739958528598436e-08,0.0
