year,aux_ADP oies_NOUN,aux_ADP noix_NOUN
1800,1.2576657582030748e-07,2.2009151834367913e-08
1801,6.429192911383552e-08,6.667310969987739e-08
1802,7.608656460433849e-08,9.175144555229053e-08
1803,1.09218993626925e-07,3.9006784247064274e-08
1804,5.9324420931261557e-08,5.6852570651244605e-08
1805,1.2224374756897305e-07,5.685755488649136e-08
1806,5.4751713385314815e-08,2.881669125542885e-08
1807,3.131650672116848e-08,1.1672515931593352e-07
1808,1.3369836260324064e-07,6.798221985349073e-09
1809,8.132509776714869e-08,4.51806094758922e-08
1810,3.042164786748458e-08,1.8721014072298203e-08
1811,4.011322829455821e-08,7.521230127593981e-08
1812,3.7340914360584065e-08,1.3336041604361526e-08
1813,5.751483289628823e-09,3.163315875909234e-08
1814,5.349351184236184e-08,3.776012702516596e-08
1815,2.1038344355517324e-07,5.1247248222807684e-08
1816,1.274682119856152e-07,3.244645441213834e-08
1817,9.496928132790572e-08,3.736496234640896e-08
1818,7.152706604784953e-08,1.7881766511962383e-08
1819,4.554461963124368e-08,4.9685039416047516e-08
1820,2.3732961373923445e-08,4.9839220750413915e-08
1821,5.029359129160582e-08,5.0293588738092865e-08
1822,5.6143449000956025e-08,2.105379337535851e-08
1823,1.1068609673259289e-07,4.0519015698237126e-08
1824,3.115811697540494e-08,3.621078281668133e-08
1825,6.163809995740621e-08,1.584979703039835e-08
1826,2.554315425840059e-08,6.077508885038441e-08
1827,5.7147094167930845e-08,5.069500080834288e-08
1828,6.970948840390179e-08,5.870272856700609e-08
1829,9.85915242779356e-08,2.4862210068476998e-08
1830,4.0703659109908585e-08,4.905312778191728e-08
1831,5.456921980950824e-08,6.704218691311326e-08
1832,3.51779220197912e-08,5.411987613612723e-08
1833,6.486831871654886e-08,3.938433668082553e-08
1834,4.947301501800894e-08,4.480574933296566e-08
1835,4.689114518896531e-08,2.117664621437143e-08
1836,4.0324502126320994e-08,2.4866774861465046e-08
1837,6.818733133684418e-08,3.896419009663532e-08
