year,tes_DET os_NOUN,tes_DET noces_NOUN
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,5.000483582762172e-08,1.1905912700171939e-08
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,5.851017448321727e-09,1.755305234496518e-08
1804,3.213406252200457e-08,1.1370514130248921e-07
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,2.881669125542885e-09,1.729001475325731e-08
1807,1.1387820464392462e-08,1.4234775136401367e-08
1808,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,1.3554183553310395e-08
1810,1.8721014072298203e-08,1.8721014072298203e-08
1811,5.0141535368197765e-09,1.504246105454854e-08
1812,1.0668832928217853e-08,1.600324850414836e-08
1813,5.751483289628823e-09,3.738464116054274e-08
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,2.3176038865813098e-08,0.0
1817,3.113746815941454e-09,2.0239355080775567e-08
1818,3.5763532135746345e-09,1.3113295338484932e-08
1819,3.0018044272495104e-08,0.0
1820,8.306536791735653e-09,1.3053129244156025e-08
1821,3.35290586406245e-08,4.6348996196599046e-08
1822,2.606660132187244e-08,1.604098542884458e-08
1823,7.906149512848515e-09,4.941343334508019e-09
1824,3.3684450784221553e-09,2.947389532437228e-08
1825,1.4969252504215547e-08,2.6416328680056722e-08
1826,1.2331177856594877e-08,8.80798456392995e-09
1827,6.452091305675367e-09,7.373818444733615e-09
1828,1.5592912405715253e-08,2.2930752408001354e-08
1829,1.628903412154159e-08,2.3147574523818548e-08
1830,1.461157062010443e-08,1.3567886592014133e-08
1831,4.365537620287796e-08,6.236482441579483e-09
1832,2.570694235259907e-08,2.029495349553656e-08
1833,4.749287541017111e-08,9.266902800675325e-09
1834,1.4001795944906803e-08,3.827157857294594e-08
1835,1.9664028627630614e-08,1.5882484660778573e-08
1836,3.8980350947070974e-08,1.2097349955109138e-08
1837,5.496733812559995e-08,3.339787468803479e-08
1838,2.4617431648721322e-08,2.1461350030449466e-08
1839,2.3771015378315496e-08,1.677954131196202e-08
1840,2.675269317187201e-08,8.280595209519959e-09
1841,1.9903699577383804e-08,3.14606891649305e-08
1842,2.4820581145945653e-08,3.3541326160957396e-08
1843,4.134837727765017e-08,2.4218335781256428e-08
1844,1.811225303072206e-08,6.586273748609983e-09
1845,1.7298706467272496e-08,2.2320911341466854e-08
1846,9.952652035849496e-09,9.952652035849496e-09
1847,2.1033571329098777e-08,1.5640348571821505e-08
1848,9.65426583121598e-09,1.126331028444838e-08
1849,1.1731181359664333e-08,1.256912263158938e-08
1850,1.0862393651223101e-08,6.788996032014438e-09
1851,1.805842941848823e-08,8.384270167027807e-09
1852,1.7578472011337e-08,1.1067927019325907e-08
1853,1.134667093616315e-08,2.20961471342207e-08
1854,2.7017455384026334e-08,2.805658799731603e-08
1855,3.874064091746732e-08,1.326734277995456e-08
1856,3.7793480345271746e-08,1.1907535402144731e-08
1857,2.8312752586856504e-08,1.7573432598005923e-08
1858,2.5447114415655392e-08,1.2234190327475858e-08
1859,3.360834455179429e-08,2.4442432078330967e-08
1860,4.5314121427386667e-08,4.165237221798179e-08
1861,3.3954937750380054e-08,1.6977469652346144e-08
1862,1.8975543136789952e-08,1.671654992208005e-08
1863,2.4973104917336286e-08,6.99246927027275e-09
1864,2.9727313499705588e-08,1.1507347075223606e-08
