year,vos_DET ombres_NOUN,vos_DET nombres_NOUN
1800,6.917161954334006e-08,0.0
1801,6.667310969987739e-08,0.0
1802,2.6854081625060644e-08,4.475680270843441e-09
1803,9.361627917314763e-08,0.0
1804,5.438072037122765e-08,0.0
1805,4.264316544322355e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.359644414833383e-07,0.0
1809,3.840352036377226e-08,0.0
1810,4.212228077449254e-08,0.0
1811,3.259199843341776e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,5.034683381310856e-08,0.0
1815,8.091670444798638e-09,0.0
1816,9.270415546325239e-09,0.0
1817,4.3592454090912724e-08,0.0
1818,6.199012148044858e-08,0.0
1819,2.4842519708023758e-08,0.0
1820,9.730514705097448e-08,0.0
1821,4.339054981983281e-08,1.97229765852569e-09
1822,3.5089655625597516e-08,0.0
1823,8.004976204123437e-08,0.0
1824,5.4737231636181605e-08,1.6842225392110777e-09
1825,3.9624492131906663e-08,1.7610886082763955e-09
1826,2.025836343122478e-08,0.0
1827,2.7651818612639545e-08,0.0
1828,1.1923991571904935e-08,9.172301251858528e-10
1829,3.600733933240008e-08,0.0
1830,3.548524252217078e-08,1.0436835840010872e-09
1831,1.5591206103948707e-08,0.0
1832,2.841293600397421e-08,0.0
1833,5.444305273272221e-08,0.0
1834,3.547121885105753e-08,0.0
1835,3.781543966852041e-08,1.2100940693926532e-08
1836,1.9490174807401672e-08,0.0
1837,3.687682137432091e-08,0.0
1838,2.0830134062066463e-08,0.0
1839,9.088918062616358e-09,1.3982949909063791e-08
1840,3.121147429396842e-08,0.0
1841,1.4767261191650505e-08,1.926164561183441e-09
1842,3.219967181777861e-08,0.0
1843,2.0674189471492355e-08,5.906911071384968e-10
1844,4.610391468595765e-08,1.097712254427563e-09
1845,1.9530798311961917e-08,1.674068439427856e-09
1846,1.8148954339380907e-08,0.0
1847,2.9123407685460734e-08,1.833696039454935e-08
1848,4.263967617879061e-08,1.769948809737798e-08
1849,1.005529792763582e-08,0.0
1850,3.1229381747266416e-08,0.0
1851,2.3862924081186065e-08,0.0
1852,1.7578472677470813e-08,1.6276363368206148e-08
1853,2.5679307347203917e-08,6.569124799682413e-09
