year,pourrions_VERB être_VERB,pourrions_VERB etre_VERB,pourrions_VERB naître_VERB
1800,9.432493186523061e-08,0.0,0.0
1801,4.7623650800687756e-08,2.3811825844433088e-09,0.0
1802,8.503792514602537e-08,0.0,0.0
1803,5.655983770225248e-08,0.0,0.0
1804,1.0628959046243835e-07,0.0,0.0
1805,1.194008660831969e-07,0.0,0.0
1806,1.3543845511776453e-07,0.0,0.0
1807,6.547996633798903e-08,0.0,0.0
1808,9.970725756147658e-08,0.0,0.0
1809,1.2650571079575457e-07,0.0,0.0
1810,1.2402671245581587e-07,0.0,0.0
1811,6.267691787797958e-08,0.0,0.0
1812,8.801787032552966e-08,0.0,0.0
1813,7.189353823378042e-08,0.0,0.0
1814,8.810695817373926e-08,0.0,0.0
1815,5.1247248222807684e-08,0.0,0.0
1816,1.6454987417091615e-07,0.0,0.0
1817,6.85024303948012e-08,1.556873407970727e-09,0.0
1818,6.795070817133819e-08,0.0,0.0
1819,1.397391713453544e-07,0.0,0.0
1820,1.38837833674188e-07,0.0,0.0
1821,9.171183990019927e-08,0.0,0.0
1822,1.162971443591232e-07,0.0,0.0
1823,8.400284201570685e-08,0.0,0.0
1824,8.168479581627253e-08,0.0,0.0
1825,8.012953145453139e-08,0.0,0.0
1826,1.788020824733394e-07,0.0,0.0
1827,1.1245072784049626e-07,9.217273055917019e-10,0.0
1828,1.6968756710866728e-07,9.172301251858528e-10,0.0
1829,1.0287811136322489e-07,0.0,0.0
1830,1.3463518655498774e-07,0.0,0.0
1831,1.7462150481151184e-07,0.0,0.0
1832,6.629684889958298e-08,1.3529969367098715e-09,0.0
1833,9.151066393542351e-08,0.0,0.0
1834,1.6708810335330782e-07,0.0,0.0
1835,6.806779140333674e-08,0.0,0.0
1836,1.1022029866580851e-07,0.0,0.0
1837,1.0784730619661786e-07,6.957890930081589e-10,0.0
1838,7.763959075646198e-08,0.0,0.0
1839,1.132618976384947e-07,0.0,0.0
1840,1.1083258044664035e-07,0.0,0.0
1841,1.155698754473633e-07,6.420548537278137e-10,0.0
1842,1.0733224087289273e-07,0.0,0.0
1843,1.1282200063078562e-07,1.1813822142769936e-09,0.0
1844,1.245903433755302e-07,5.488561272137815e-10,0.0
1845,1.1216258144486346e-07,3.9061593959388574e-09,0.0
1846,1.0479557488451974e-07,0.0,0.0
1847,8.521293182184309e-08,5.393223645455691e-10,0.0
1848,1.198738033281188e-07,0.0,0.0
1849,9.049767868418712e-08,0.0,0.0
1850,8.350465208195601e-08,0.0,0.0
1851,9.738652551050109e-08,0.0,0.0
1852,6.836072685700856e-08,0.0,0.0
1853,9.196774897191062e-08,5.971931837933653e-10,5.971931837933653e-10
1854,9.196325834182062e-08,0.0,0.0
1855,1.0507735481724012e-07,5.306937111981824e-10,5.306937111981824e-10
1856,9.008309120872582e-08,0.0,1.5531567143511893e-09
1857,9.421312796575876e-08,0.0,0.0
1858,1.1500138441533636e-07,0.0,0.0
1859,1.5582050139073544e-07,0.0,0.0
1860,1.1534503130405938e-07,9.154367819341758e-10,0.0
1861,1.1601270699657107e-07,0.0,0.0
1862,1.3282880217957427e-07,9.035972525772706e-10,0.0
1863,1.0738434497170601e-07,0.0,0.0
1864,1.1842978153708827e-07,0.0,4.794727948009836e-10
1865,1.1014015655064213e-07,4.706844358715045e-10,0.0
1866,1.109359715201208e-07,0.0,9.731225825149181e-10
1867,1.2714366448562942e-07,0.0,0.0
1868,8.644779825317528e-08,0.0,0.0
1869,1.2843655383676378e-07,9.767038289254515e-10,0.0
1870,9.747883211730368e-08,0.0,0.0
1871,1.7312518707512936e-07,0.0,4.248470908407853e-09
1872,1.656971022612197e-07,6.047339295989218e-10,0.0
1873,1.1074108385855652e-07,5.986004469882289e-10,0.0
1874,1.236744111565713e-07,5.974609140757536e-10,0.0
1875,1.321672726817269e-07,0.0,0.0
1876,1.0520065529817657e-07,0.0,0.0
1877,1.4781710433453554e-07,6.184815992682502e-10,0.0
1878,1.038723240753825e-07,0.0,0.0
1879,1.1241158404118323e-07,1.221865053580018e-09,0.0
1880,1.1680479872211436e-07,0.0,0.0
1881,9.203709794292081e-08,0.0,0.0
1882,1.0715169906916344e-07,0.0,6.655385131892899e-10
1883,1.5103219652701227e-07,6.319338941018771e-10,0.0
1884,1.0826782670392276e-07,0.0,0.0
1885,1.0957580798276467e-07,6.445635691854079e-10,0.0
1886,1.1099957930582605e-07,5.808117542471791e-09,0.0
1887,1.2209089561565634e-07,0.0,0.0
1888,1.0398608196737769e-07,0.0,0.0
1889,7.643466659601472e-08,0.0,3.759081934617825e-09
1890,1.402638645231491e-07,0.0,0.0
1891,1.0071267553257712e-07,6.374220040683554e-10,0.0
1892,1.1596748095143994e-07,6.268512375839919e-10,0.0
1893,1.0407723749494835e-07,6.158416554491453e-10,0.0
1894,7.813908808884662e-08,0.0,0.0
1895,1.0652947679545832e-07,6.018614495673091e-10,0.0
1896,1.1911998853975092e-07,4.717623180994224e-09,0.0
1897,1.2003029326024262e-07,0.0,0.0
1898,1.3014216904139175e-07,0.0,0.0
1899,1.210539721796522e-07,0.0,0.0
1900,1.0641659287102812e-07,5.191053142894475e-10,0.0
1901,1.1959900803049095e-07,0.0,0.0
1902,1.4239823542538943e-07,4.910283846193408e-10,0.0
1903,9.666394618079721e-08,5.400220270956879e-10,0.0
1904,1.300659278058447e-07,5.374625189347171e-10,0.0
1905,1.3934050002717413e-07,5.160759042333041e-10,0.0
1906,9.053764671307363e-08,0.0,0.0
1907,1.198282575387566e-07,0.0,0.0
1908,1.4537711479079007e-07,4.911389073214423e-10,0.0
1909,1.4137528125957033e-07,1.1001967115120692e-09,0.0
1910,1.2077779842911696e-07,0.0,0.0
1911,1.3034916435117339e-07,0.0,0.0
1912,1.2710987107311666e-07,0.0,0.0
1913,1.2780205338458472e-07,0.0,0.0
1914,1.2121105896767403e-07,6.696743715117748e-10,0.0
1915,1.4136914217033336e-07,0.0,0.0
1916,1.2965205087311915e-07,0.0,0.0
1917,1.941057092835763e-07,0.0,0.0
1918,1.4702561657031765e-07,0.0,0.0
1919,1.3167223755772284e-07,0.0,0.0
1920,1.3175683477584244e-07,0.0,0.0
1921,1.2722215103622148e-07,0.0,0.0
1922,1.4386974100943917e-07,7.377935484775833e-10,0.0
1923,1.242065934548009e-07,0.0,0.0
1924,1.4309702578430006e-07,0.0,0.0
1925,1.3967685674742825e-07,2.1996355847875293e-09,0.0
1926,1.6496285581979464e-07,0.0,0.0
