year,deux_DET oies_NOUN,deux_DET noix_NOUN
1800,3.458580932758082e-08,8.803660733747165e-08
1801,5.23860170797974e-08,1.3096504147824817e-07
1802,1.1860552717735118e-07,2.842056971985585e-07
1803,9.751696339321825e-09,1.1897069418509432e-07
1804,7.4155528384522995e-09,5.6852570651244605e-08
1805,5.970043304159844e-08,1.0802935435094696e-07
1806,5.76333825108577e-09,6.339672076194347e-08
1807,0.0,2.562259560079383e-08
1808,2.039466551195801e-08,9.064295980465431e-08
1809,4.518061036407062e-09,1.0391540428145163e-07
1810,2.3401266702194334e-08,4.680253340438867e-08
1811,0.0,3.008491944456182e-08
1812,7.468182872116813e-08,1.8670457180292033e-08
1813,2.8757416448144113e-09,2.0130191291656274e-08
1814,9.440031423224582e-09,2.5173417128598885e-08
1815,2.697223555614414e-09,3.236668177919455e-08
1816,1.622322720606917e-08,7.416332437060191e-08
1817,7.784366928831332e-09,9.49692804397273e-08
1818,9.536941902865692e-09,5.96058882251782e-08
1819,1.6561680027393777e-08,1.6561680027393777e-08
1820,3.322614805512103e-08,4.153268307049984e-08
1821,1.577838126820552e-08,2.9584464655840748e-08
1822,1.604098542884458e-08,1.5038423839541792e-08
1823,3.95307486744656e-09,1.581229946978624e-08
1824,1.2631669044083083e-08,2.189489300974401e-08
1825,1.1447076175841175e-08,5.5474292492974087e-08
1826,1.8496766784892316e-08,2.466235649034587e-08
1827,9.217273166939322e-09,5.991227425283796e-08
1828,0.0,1.7427371545863934e-08
1829,2.914879759785549e-08,5.744027831156018e-08
1830,1.982998831806526e-08,1.7742621594152297e-08
1831,6.236482441579483e-09,2.3386808933878456e-08
1832,2.1647950210201827e-08,2.4353944638733083e-08
1833,2.548398292390175e-08,3.01174338801502e-08
1834,1.7735608537350345e-08,3.080395316601425e-08
1835,2.2689263801112247e-09,1.9664028627630614e-08
1836,4.099657546774438e-08,8.736974865808378e-09
1837,1.5307360268224102e-08,3.061472142462662e-08
1838,2.651107999795954e-08,1.6411620729073206e-08
1839,1.2584655206815398e-08,2.6567605893035307e-08
1840,1.2102408297742784e-08,6.369688498875092e-09
1841,3.980740226339208e-08,1.1556987367100646e-08
1842,2.4149754196400863e-08,1.475818312002275e-08
1843,6.497602011990011e-09,1.0041748765843295e-08
1844,3.293136902060567e-08,2.0856532612079093e-08
1845,2.678509469777879e-08,1.4508592549589139e-08
1846,8.781752214304106e-09,2.1076204337333593e-08
1847,2.8044763844548015e-08,2.0494249852731627e-08
1848,8.84974404868899e-09,1.287235473768078e-08
1849,1.5920887941334172e-08,3.016589289472904e-08
1850,5.431196825611551e-09,1.5614690873633208e-08
1851,1.3543821175687754e-08,1.2898877521649865e-08
1852,1.5625309490729933e-08,2.40890174474373e-08
1853,9.555090940693844e-09,1.6124215740376258e-08
1854,2.4419623212423858e-08,2.3380489766466894e-08
1855,2.1227748447927297e-08,1.5920811335945473e-08
1856,8.28350277259915e-09,1.1389816201301528e-08
1857,1.757343248698362e-08,1.8549735136819123e-08
1858,1.4681027893370668e-08,1.8106600663259087e-08
1859,2.7497735644033128e-08,1.2221216039165483e-08
1860,3.4328881071132855e-08,2.1970482488864462e-08
1861,1.6034276573151374e-08,1.6977470096435354e-08
1862,3.388489855371546e-08,6.776979422085105e-09
1863,2.7969877358646755e-08,1.748117295363727e-08
1864,2.1096803748399395e-08,1.2945765681671162e-08
1865,3.9066808454890634e-08,1.270848010159753e-08
1866,2.6274310116480848e-08,4.379051787850585e-09
1867,2.2808213984149006e-08,1.552899675516528e-08
1868,2.321740799615668e-08,2.0253484223076157e-08
1869,1.0743742229202269e-08,6.348574776993132e-09
1870,4.013834153937523e-09,1.490852596930381e-08
1871,2.6552942955504477e-08,8.496942038860311e-09
1872,1.2699412743621963e-08,4.8378714367913744e-09
1873,2.514121905106137e-08,3.23244258026989e-08
1874,1.732636678575261e-08,1.0754296564385868e-08
1875,1.2015207495608138e-08,1.1443054503956773e-08
1876,3.023007311142578e-08,1.8742645435665395e-08
1877,1.0514187187560253e-08,1.5462040536817767e-08
1878,2.1136809524868738e-08,1.6305540029293297e-08
1879,3.299035578052667e-08,1.1607718342077078e-08
1880,1.7969970178555172e-08,2.1820676820993867e-08
1881,2.6495528548942104e-08,1.8825770720098944e-08
1882,2.5956002014382307e-08,2.0631693686823382e-08
1883,5.2450515042323786e-08,5.0554711528150165e-09
1884,1.3203393933736152e-08,1.1222884843675729e-08
1885,2.2559724921489277e-08,2.127059817169652e-08
1886,1.097088819790315e-08,3.291266548188787e-08
1887,1.566941915109865e-08,2.807437621266118e-08
1888,2.4094334971636044e-08,1.8387782851903012e-08
1889,2.380751940034287e-08,3.3205225236088154e-08
1890,6.554386366985909e-09,3.4738247167709346e-08
1891,2.7409145841872373e-08,1.0836174402228949e-08
1892,2.4447198931909497e-08,5.641661138255927e-09
