year,des_DET os_NOUN,des_DET noces_NOUN
1800,3.93649384022865e-06,1.0690159157888957e-07
1801,3.559867906233194e-06,2.0954407387030471e-07
1802,2.31840249398374e-06,1.656001700212073e-07
1803,3.7368498482237555e-06,3.003522337508002e-07
1804,2.481738448523174e-06,3.1639692243956574e-07
1805,4.201773322165536e-06,2.1890157908543983e-07
1806,3.279339523487579e-06,2.1900686064668662e-07
1807,3.21705925898641e-06,4.868293270732238e-07
1808,1.7969966705777551e-06,2.5833242922601585e-07
1809,2.5323731023263463e-06,1.8524049494317296e-07
1810,1.6006467333795626e-06,4.6568523526246963e-07
1811,1.6747272439943117e-06,3.961181178624429e-07
1812,5.0810316949423395e-06,2.2137828281643124e-07
1813,2.464510671984499e-06,2.559410017255459e-07
1814,2.1303004942296866e-06,2.1397404115219842e-07
1815,2.4409872310116043e-06,3.2096961466443474e-07
1816,2.9479920300445883e-06,2.3639559998400728e-07
1817,2.234113367194368e-06,1.992797944438962e-07
1818,3.6574172099790303e-06,2.9922155597716937e-07
1819,2.151983224507603e-06,2.6602199487690825e-07
1820,2.0315414701599366e-06,4.224467282654132e-07
1821,2.2839206188507433e-06,3.1458148441743106e-07
1822,2.9535464136642986e-06,3.398683787736445e-07
1823,2.7454104127855317e-06,3.093281057964248e-07
1824,2.128015211155798e-06,2.4252804919910886e-07
1825,3.5406687572958617e-06,2.791325579565296e-07
1826,1.8065175808601452e-06,2.131532195193131e-07
1827,2.3771347024137413e-06,2.0831037605972824e-07
1828,2.5719133844859243e-06,1.843632482234625e-07
1829,2.8891602710245934e-06,2.169013533226405e-07
1830,2.6812231226358563e-06,1.784698921980521e-07
1831,2.5928175411138454e-06,3.242970956218727e-07
1832,2.4462185308493645e-06,2.692463976217141e-07
1833,3.178547729021375e-06,1.9344660118214563e-07
1834,3.236281926888296e-06,1.8669061496723316e-07
1835,3.4404486939365597e-06,2.631954529874747e-07
1836,2.440304299966556e-06,2.4396323183850654e-07
1837,3.0259868211146568e-06,2.998851114099921e-07
1838,2.0224166021876044e-06,2.057764714180621e-07
1839,2.4903635136297453e-06,1.7968091192699376e-07
1840,1.8784211501809978e-06,3.1784745235796663e-07
1841,2.3691823614058194e-06,2.747994880536453e-07
1842,1.6529165023371206e-06,2.8040548771812723e-07
1843,2.049107418855556e-06,2.3627644507584478e-07
1844,1.7129799338988505e-06,3.227273968064992e-07
1845,2.0373412326080143e-06,2.6617686632590676e-07
1846,1.6439440280180406e-06,2.821869680147415e-07
1847,1.374732754300112e-06,1.742011264127541e-07
1848,1.7216774281791913e-06,1.6573157368693359e-07
1849,1.7345388663159156e-06,1.70102127938776e-07
1850,1.6307168309026565e-06,1.8194509543434378e-07
1851,2.0238339200062683e-06,2.2121574749789374e-07
1852,1.6523764863052293e-06,2.083374606165478e-07
1853,2.192296204128752e-06,2.4305762025278455e-07
1854,1.6636517656820615e-06,2.7017455472844176e-07
1855,2.0134520255510324e-06,3.1098650410399387e-07
1856,1.4154435064028803e-06,2.811213839493121e-07
1857,1.6938836999713658e-06,2.884972003514008e-07
1858,1.4994223072051227e-06,2.985142373290728e-07
1859,1.6503733490935701e-06,2.3118466963012452e-07
1860,1.9919903806453476e-06,2.522028319518199e-07
1861,1.7614124008247245e-06,2.2825264656134436e-07
1862,1.589427558457146e-06,2.5842880813087277e-07
1863,1.7685952578005981e-06,2.4024125533372853e-07
1864,2.6088115347988605e-06,2.2535220889352559e-07
1865,2.1303176929166057e-06,2.2922331455177414e-07
1866,2.041611121939013e-06,2.807458781006744e-07
1867,2.9383772819358e-06,2.363319140386011e-07
1868,2.442767708998872e-06,2.5292155925171755e-07
1869,2.029102212475209e-06,2.82267410778303e-07
1870,2.690415598749496e-06,2.672066834463749e-07
1871,2.4131315186082247e-06,1.1364659657786547e-07
1872,2.296174749005786e-06,2.2919415920696906e-07
1873,2.4189444083333456e-06,2.2327796767029895e-07
1874,2.4687085264929465e-06,1.6011952225225556e-07
1875,1.91728370424471e-06,2.2485602002575433e-07
1876,1.9407707334551105e-06,2.2007493249986965e-07
1877,1.940795218757785e-06,2.2079793726703656e-07
1878,1.96753505932179e-06,2.5666127534407224e-07
1879,1.9916400972874726e-06,2.5109326762251527e-07
1880,1.531298092771749e-06,2.2398283050506507e-07
1881,1.805182193947985e-06,1.5827591592909585e-07
1882,1.7317311602482732e-06,2.2428648205341517e-07
1883,1.7504568532444864e-06,1.4850447027647817e-07
1884,1.6774912303674228e-06,2.700094015040122e-07
1885,2.178624825432962e-06,1.3084640759775112e-07
1886,1.499784996639164e-06,1.8585975536389299e-07
1887,1.2672642952793467e-06,1.9195038647445983e-07
1888,1.3416740998195564e-06,1.9021844610556116e-07
1889,1.6364537387403288e-06,1.9171318577093643e-07
1890,1.262374800248267e-06,1.861445794171246e-07
1891,1.2340490496143275e-06,2.0652473065041477e-07
1892,1.2875524717514963e-06,1.7426464427039434e-07
1893,1.5519209473069395e-06,1.829049720569742e-07
1894,1.2628285190885435e-06,1.7959386600097105e-07
1895,1.2127508295378675e-06,1.3842813428865952e-07
1896,1.1929689396339427e-06,1.603991837129115e-07
1897,1.3174199295917788e-06,1.5091188254601207e-07
1898,1.191649563025976e-06,1.5447309298366463e-07
1899,1.2829509064005151e-06,1.4979737983367158e-07
1900,1.2193783653913215e-06,1.6299907068528796e-07
1901,1.1227776521849364e-06,1.2742324717596176e-07
1902,1.000715890597803e-06,1.6694964499741616e-07
1903,1.209109308675238e-06,1.4040572704487886e-07
1904,1.0233286111827056e-06,1.0964235119814703e-07
1905,1.1136917565934823e-06,1.579192224210324e-07
1906,1.1497252074832431e-06,1.2757577638744522e-07
1907,1.0820542897249652e-06,1.3834248679955863e-07
1908,1.161052409770491e-06,2.0136695599859422e-07
1909,9.813754520138218e-07,1.8813363639180736e-07
1910,1.0624171142836758e-06,1.9773358062025181e-07
1911,1.0747155982926415e-06,1.8195679740706794e-07
1912,1.0924156601532786e-06,1.9847894838775915e-07
1913,9.789318617947629e-07,1.8189254591405302e-07
1914,1.0848725011669558e-06,1.4264063735724974e-07
1915,1.3630341637593801e-06,1.1662954468860676e-07
1916,7.987885179971954e-07,1.3184954728018283e-07
1917,9.288561457765354e-07,1.491433692102362e-07
1918,8.810050680096992e-07,1.3898514961141473e-07
1919,8.351518463456387e-07,1.7126597584571357e-07
1920,8.435466405387615e-07,1.628029848710355e-07
1921,1.0238354395397664e-06,1.355521799251136e-07
1922,8.580538768399038e-07,1.438697418976176e-07
1923,1.0424860903412991e-06,1.942718572678359e-07
1924,7.348225876668835e-07,2.3076007504840845e-07
1925,9.557416422723009e-07,2.023664744665865e-07
1926,1.0789461768467845e-06,1.8948435887011783e-07
1927,9.40994571152487e-07,2.0960542734815846e-07
1928,9.929229634053627e-07,1.7824624753970397e-07
1929,9.001448297851766e-07,2.1278176731698295e-07
1930,7.384033580137839e-07,1.6385621037784404e-07
1931,8.850556980632973e-07,1.311615998034199e-07
