year,leurs_DET aînés_NOUN,leurs_DET nénés_NOUN
1800,8.489244152087849e-08,0.0
1801,1.5477687043130572e-07,0.0
1802,5.370816325012129e-08,0.0
1803,8.971560561121805e-08,0.0
1804,8.157108055684148e-08,0.0
1805,6.254330742194725e-08,0.0
1806,1.123850950079941e-07,0.0
1807,1.1387820331165699e-07,0.0
1808,1.7222161829977267e-07,0.0
1809,1.197286110254936e-07,0.0
1810,1.0764583180389309e-07,0.0
1811,8.524060746140094e-08,0.0
1812,7.734903562095496e-08,0.0
1813,5.463909147351842e-08,0.0
1814,8.496028414128887e-08,0.0
1815,9.440282155992463e-08,0.0
1816,1.321034233114915e-07,0.0
1817,8.718490818182545e-08,0.0
1818,2.2054177817310006e-07,0.0
1819,1.0868602373648173e-07,0.0
1820,9.137190204455692e-08,0.0
1821,1.4397772929442e-07,0.0
1822,1.6442010064565693e-07,0.0
1823,8.993244904331732e-08,0.0
1824,9.852701765566962e-08,0.0
1825,1.215151144151605e-07,0.0
1826,1.2771577928560873e-07,0.0
1827,2.037017310385636e-07,0.0
1828,1.2566052021156793e-07,0.0
1829,1.1745251526917855e-07,0.0
1830,1.3880992355552735e-07,0.0
1831,1.933309619062129e-07,0.0
1832,1.5694765087559404e-07,0.0
1833,1.9112987281744154e-07,0.0
1834,9.894602470694736e-08,0.0
1835,1.2630357559828553e-07,0.0
1836,1.290383977448073e-07,0.0
1837,1.593356984130878e-07,0.0
1838,1.4265485503983655e-07,0.0
1839,1.0906700964596894e-07,0.0
1840,1.7771431259916426e-07,0.0
1841,1.264848066284685e-07,0.0
1842,1.4355687483202928e-07,0.0
1843,1.4176586660141766e-07,0.0
1844,1.7179196731831325e-07,0.0
1845,1.9921414207146881e-07,0.0
1846,2.0080940132949365e-07,0.0
1847,1.8444825400365517e-07,0.0
1848,2.2687525813580578e-07,0.0
1849,2.052956631359848e-07,0.0
1850,1.520735057880529e-07,0.0
1851,1.5414158838211733e-07,0.0
1852,1.458362202111374e-07,0.0
1853,1.6960287041456468e-07,0.0
1854,1.5898733352059935e-07,0.0
1855,1.5496256366986927e-07,0.0
1856,1.4289042837845045e-07,0.0
1857,2.2552572431777662e-07,0.0
1858,2.0308755122044886e-07,0.0
1859,2.225279729373142e-07,0.0
1860,1.739329927863409e-07,0.0
1861,2.2259348908537646e-07,0.0
1862,1.7755685632891982e-07,0.0
1863,2.2875363525631798e-07,0.0
1864,2.3829798290186943e-07,0.0
1865,1.816841993518281e-07,0.0
