year,des_DET oeufs_NOUN,des_DET noeuds_NOUN
1800,6.75995366794524e-07,3.5529057740291137e-07
1801,7.643596244832906e-07,2.7383600320618484e-07
1802,7.272980724337685e-07,4.095247447821748e-07
1803,2.5042354536708444e-06,5.207405813223431e-07
1804,7.020056649320594e-07,2.3976953755777686e-07
1805,6.368045848414994e-07,2.04687196969644e-07
1806,1.930718314113733e-07,8.645007198992971e-08
1807,2.4483813554354583e-07,1.2811298688575334e-07
1808,1.8808413937421165e-07,1.8128592049748704e-07
1809,2.2816208944398397e-07,1.1069249383766078e-07
1810,2.854954681552613e-07,1.2402672355804611e-07
1811,1.4791753022436183e-07,1.3538214949093685e-07
1812,1.3069320115022265e-07,8.001624962616916e-08
1813,3.0770436332261397e-07,9.777521836618064e-08
1814,1.0195234145804477e-06,8.496028014448598e-08
1815,1.75319526007911e-07,1.2676950689183286e-07
1816,1.5064425440414198e-07,9.502176112619054e-08
1817,2.55327228915192e-07,7.7843672841027e-08
1818,2.8730037815449805e-07,7.987189087899083e-08
1819,2.2461777915427916e-07,6.93520334493769e-08
1820,8.781196214613374e-08,4.50926265216367e-08
1821,1.0650407566981102e-07,4.2404398992168524e-08
1822,1.1830226753772877e-07,9.724847416237026e-08
1823,9.685033042217128e-08,4.051901536517022e-08
1824,1.389483594849139e-07,5.5579342017608724e-08
1825,1.3384273800376434e-07,5.107157008410468e-08
1826,1.4268934023231594e-07,4.227832350878202e-08
1827,3.235262795442395e-07,2.4886637361998254e-08
1828,1.48591282056465e-07,6.053718709653211e-08
1829,1.4488668137468963e-07,4.115124563330852e-08
1830,1.5863989943909473e-07,5.2184179866188174e-08
1831,1.65266789364793e-07,6.392394680254654e-08
1832,1.4341767085035428e-07,4.058990932254147e-08
1833,1.3437008417049867e-07,3.938433579264711e-08
1834,1.3068343962530093e-07,5.2273371409228275e-08
1835,1.376482003934143e-07,3.7059130875150004e-08
1836,1.3508707175091672e-07,3.898035028093716e-08
1837,1.3498307982473534e-07,3.409366655660051e-08
1838,1.899960706541748e-07,2.1461350030449466e-08
