year,nos_DET ombres_NOUN,nos_DET nombres_NOUN
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,2.145373123596528e-08,0.0
1804,1.4831105232815389e-08,4.943701892301533e-09
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,8.06867319624871e-08
1807,2.8469551160981155e-09,1.195721210933698e-07
1808,6.798221985349073e-09,5.6651849433819734e-08
1809,0.0,4.518061036407062e-09
1810,2.106114038724627e-08,0.0
1811,3.008491944456182e-08,0.0
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,2.6466848268569265e-08,2.6466848268569265e-08
1818,2.98029441125891e-08,1.668964877410417e-08
1819,1.1386155129855524e-08,1.9666995143552413e-08
1820,1.6613074471649725e-08,9.493184904840746e-09
1821,1.0847637232913598e-08,1.0847637454958203e-08
1822,2.606660132187244e-08,1.0025615893027862e-09
1823,7.906149623870817e-09,0.0
1824,1.6000115010683658e-08,2.5263338088166165e-09
1825,5.6354835464844655e-08,7.044354433105582e-09
1826,2.2019960965735663e-08,8.807984341885344e-10
1827,1.7512819638909605e-08,6.452091305675367e-09
1828,3.118582370120748e-08,3.668920500743411e-09
1829,2.2290258527846163e-08,0.0
1830,2.400472176589119e-08,5.218417697960831e-09
1831,5.6128342862393765e-08,1.5591206103948707e-09
1832,5.547287429408243e-08,1.3529969367098715e-09
1833,3.0117434435261714e-08,4.6334514003376626e-09
1834,2.240287422239362e-08,1.8669061851994684e-09
1835,2.7227116561334697e-08,0.0
1836,1.8818100855355624e-08,0.0
1837,9.74104708006962e-09,6.262101948095733e-09
1838,2.7773513266993177e-08,5.049729523420865e-09
1839,2.1673573158409454e-08,1.4682098203877558e-08
1840,2.038300300766238e-08,6.369688665408546e-10
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,2.2137273791855705e-08,4.024959032733477e-09
1843,1.2995204246024628e-08,5.906911071384968e-10
1844,2.085653250105679e-08,1.6465684371524958e-09
1845,2.1204866307300563e-08,1.0602433153650281e-08
1846,1.5807154030156312e-08,1.5807152919933287e-08
1847,5.3932236454556914e-09,2.6966118227278457e-09
1848,1.528592136201823e-08,2.011305433313737e-08
1849,3.267971937503944e-08,2.1786478399121734e-08
1850,2.3761487000228954e-08,8.82569484161877e-09
1851,8.384270167027807e-09,1.2253933867611977e-08
1852,1.0416872697760482e-08,1.2370036550635177e-08
1853,3.1651238074914545e-08,2.20961471342207e-08
1854,1.506742641765868e-08,8.832629738719788e-09
1855,2.5473298137512757e-08,8.491099379170919e-09
1856,1.6567005323153694e-08,5.694908100650764e-09
1857,1.513267827712994e-08,3.905207268672939e-09
1858,2.3000277904472455e-08,2.1532175153993194e-08
1859,1.9350258062544867e-08,1.2221216039165483e-08
1860,1.0527523075509748e-08,4.119465657481669e-09
1861,2.546620425647461e-08,0.0
1862,3.1625905477783434e-08,2.5300724182386602e-08
1863,2.3974180862751382e-08,1.4983862484108101e-09
1864,2.3014694150447212e-08,1.5343129766698382e-08
1865,2.8711750976739836e-08,1.1767110619231858e-08
1866,1.848932973391726e-08,1.0217786894362035e-08
1867,1.455843445796745e-08,1.7955402498159856e-08
1868,9.87974857480367e-09,6.421836395986702e-09
1869,1.025539064780645e-08,3.027781847464439e-08
1870,2.752343464251794e-08,2.8670243956696595e-08
1871,1.6993883633631413e-08,2.1242354542039266e-09
1872,1.1489944773401817e-08,6.047339518033823e-09
1873,1.3767810447262718e-08,1.97538145840781e-08
1874,2.628828105200043e-08,9.559374625212058e-09
1875,3.604562104353448e-08,1.602027666081085e-08
1876,1.874264654588842e-08,1.9951848839738773e-08
1877,2.3502300106059693e-08,9.27722432209066e-09
1878,2.536417165188709e-08,4.2273621270183526e-09
1879,2.1993571408529533e-08,2.3215435795975736e-08
1880,2.6954953380453617e-08,1.2835692064783188e-08
1881,1.3247764441004506e-08,2.2312023451043217e-08
1882,2.2628309670480462e-08,1.1314154724217929e-08
1883,1.7694148923830255e-08,3.349249588779912e-08
1884,3.036780515941473e-08,4.621187876807653e-09
1885,1.6114089618213256e-08,1.8047779715146817e-08
1886,1.419762074572617e-08,5.679048031836942e-08
1887,2.089255801696055e-08,3.133883907935342e-08
1888,1.8387781741679987e-08,1.4583413587843097e-08
1889,2.506054685991188e-08,1.566284169030041e-08
1890,1.4419650640196124e-08,2.4906668727453507e-08
1891,1.9760082903275134e-08,1.529812720946211e-08
1892,1.4417578242387208e-08,9.402768785804483e-09
1893,4.3108915770417866e-08,5.542574843531156e-09
1894,2.7096619170663416e-08,1.8904617871129403e-09
1895,5.11582243234443e-08,1.685212125401847e-08
1896,4.2458609073037223e-08,5.897029087265082e-09
1897,3.26295968022805e-08,6.992056045262984e-09
1898,4.2437660052740966e-08,2.093591255913907e-08
1899,3.427098604902312e-08,1.4371703827009696e-08
1900,3.0108109116966375e-08,6.229263549428765e-09
1901,2.0119459875900247e-08,6.706486699314951e-09
1902,2.897067563623068e-08,4.8611810576915104e-08
1903,1.4040572260398676e-08,1.2420506845245427e-08
1904,1.9348649793471395e-08,1.9886113200584532e-08
1905,2.012696076469922e-08,6.192911072844254e-09
1906,3.2922780501820625e-08,6.687439713104482e-09
1907,4.319988411438658e-08,6.1714118260169926e-09
1908,4.4202502103019015e-08,1.276961114626829e-08
1909,2.860511361113538e-08,1.0451868703853506e-08
1910,3.6874639341988313e-08,1.068830135508847e-08
1911,3.458243025278307e-08,4.4691141454222816e-08
1912,3.021464267671803e-08,1.40654377034366e-08
1913,4.5075413179773705e-08,1.2727175313642647e-08
1914,5.424362470307642e-08,1.6741859454327823e-08
1915,4.00545903112004e-08,2.3561523843085297e-09
1916,5.603605801596245e-08,7.69122365795738e-09
1917,1.0856760468413995e-07,7.676496771580332e-09
1918,7.351280650880199e-08,5.743188147278033e-09
1919,4.788081220397089e-08,0.0
1920,7.875121221800896e-08,5.300562211374427e-09
1921,5.83101567031008e-08,2.3475516641724425e-08
1922,6.787700534971464e-08,7.377935506980293e-08
1923,7.537322854744843e-08,5.307974060286824e-09
1924,5.543398584606507e-08,6.445812328337297e-09
1925,7.258797696252373e-08,1.6497267552040284e-08
1926,5.3501463703753416e-08,5.573069339348535e-09
1927,4.5711823659644324e-08,6.689535148041159e-09
1928,3.656333102952658e-08,2.2852082448565625e-09
1929,4.79037471912136e-08,3.5649300400564243e-08
1930,3.466189113510154e-08,7.352522590764465e-09
1931,3.649714130915527e-08,1.596749932275543e-08
1932,3.397456205256333e-08,7.671675517073595e-09
1933,4.129438568867272e-08,1.1470662419910127e-08
1934,3.474658250013363e-08,3.474658250013363e-08
1935,6.582556189016486e-08,2.39365673948555e-08
1936,6.304851574157055e-08,1.091224310911798e-08
1937,2.6441348222050465e-08,8.813782592653752e-09
