year,voulions_VERB être_VERB
1800,4.4018303668735825e-08
1801,4.286128785224719e-08
1802,2.6854081625060644e-08
1803,1.3652374342143503e-08
1804,1.4831105232815389e-08
1805,1.1371510844071508e-08
1806,2.305335300434308e-08
1807,5.124519120158766e-08
1808,1.1330369531492579e-08
1809,3.6144488291256494e-08
1810,6.084329839950442e-08
1811,2.757784400841956e-08
1812,3.200649700829672e-08
1813,2.8757416448144113e-09
1814,2.8320094713762956e-08
1815,1.6183340889597275e-08
1816,1.622322720606917e-08
1817,2.6466848268569265e-08
1818,1.0729059418679299e-08
1819,3.726378139390363e-08
1820,6.763894333516873e-08
1821,8.776724769177235e-08
1822,5.514088741165324e-08
1823,2.8659792761231984e-08
1824,3.621078548121659e-08
1825,4.402721387464226e-08
1826,1.8496766784892316e-08
1827,1.7512819638909605e-08
1828,3.8523666034961934e-08
1829,3.429270378774163e-08
1830,4.174734158368665e-08
1831,3.897801548191637e-08
1832,4.19429042608499e-08
1833,2.7800709290204395e-08
1834,3.360431222176885e-08
1835,6.277362984974388e-08
1836,4.032450107160912e-08
1837,7.236206300831327e-08
1838,2.3354999711955315e-08
1839,4.4046291947097416e-08
1840,5.414235459966221e-08
1841,2.953452238330101e-08
1842,5.433694738599115e-08
1843,2.9534556134080958e-08
1844,4.281077892187568e-08
1845,3.5155437672074186e-08
1846,4.156695965207291e-08
1847,3.235934187273415e-08
1848,3.539897619475596e-08
1849,2.4300303991253713e-08
1850,4.616517301769818e-08
1851,2.7087642351375507e-08
1852,4.8829090104618444e-08
1853,3.642878354526147e-08
1854,3.533051895487915e-08
1855,6.633671034705912e-08
1856,2.692138423299184e-08
1857,5.662550606189143e-08
1858,4.600055447667728e-08
1859,4.4811123700583266e-08
1860,6.31651388971477e-08
1861,4.5744847909645614e-08
1862,5.421583537668084e-08
1863,2.1476870060155306e-08
1864,5.2262535632507934e-08
1865,4.753912818955541e-08
1866,1.9462451206209153e-08
1867,2.7661025470138156e-08
1868,4.297690381349639e-08
1869,4.737013625799591e-08
1870,4.472558146062511e-08
1871,5.523012092112367e-08
1872,4.051717183983783e-08
1873,2.454261860407314e-08
1874,5.377148326601855e-08
1875,5.549881265665135e-08
1876,4.53451107773617e-08
1877,3.958282235316801e-08
1878,2.4156355138416075e-08
1879,4.093248051617593e-08
1880,3.401458670282409e-08
1881,2.5101027034679646e-08
1882,4.991538915533056e-08
1883,2.7173157945981075e-08
1884,3.895001299270007e-08
1885,2.513797880965285e-08
1886,4.1947515683204983e-08
1887,3.1991731930247624e-08
1888,4.628648753168818e-08
1889,3.3205225236088154e-08
1890,3.080561583601593e-08
1891,3.505821055682645e-08
1892,3.322311670217459e-08
1893,2.278614097406262e-08
1894,4.222031435574536e-08
1895,2.768562623600701e-08
1896,3.066455178668548e-08
1897,2.680288169187861e-08
1898,1.6975064909274806e-08
1899,2.4874102777516782e-08
1900,2.6474371139784125e-08
1901,3.129693837422565e-08
1902,2.356936334990678e-08
1903,2.052083658554693e-08
1904,2.1498500757388683e-08
1905,2.6835946798087207e-08
1906,3.961022088105892e-08
1907,4.319988278211895e-08
1908,4.2237946473733246e-08
1909,4.400786934866119e-08
1910,2.4583092894658876e-08
1911,3.085817112946643e-08
1912,3.334029585744247e-08
1913,3.6590627416899224e-08
1914,4.018046340092951e-08
1915,3.887651445211304e-08
1916,4.394984642885902e-08
1917,5.04455535121906e-08
1918,4.135095466040184e-08
1919,4.603924352863942e-08
1920,2.7260034229925623e-08
1921,3.332008802203745e-08
1922,3.541408943874558e-08
1923,4.2463792482294593e-08
1924,3.0939897754933554e-08
1925,5.169143690864075e-08
1926,2.5636119005412183e-08
1927,6.13207333799437e-08
1928,3.884854038460617e-08
1929,3.119313873867213e-08
1930,3.7812974085227324e-08
1931,3.649714130915527e-08
1932,2.301502632917618e-08
1933,2.408838994938378e-08
1934,1.7972370258689807e-08
1935,3.231436807027421e-08
1936,2.0612015205756506e-08
1937,3.903246792447135e-08
1938,3.3709557811789637e-08
1939,3.364691281149135e-08
1940,2.7893612752905028e-08
1941,2.3612020783048138e-08
1942,1.8205270180260413e-08
1943,4.935499831049128e-08
1944,3.855823393905666e-08
1945,4.7927088075994106e-08
1946,3.6194869323935563e-08
1947,4.649139739854036e-08
1948,4.566192757238241e-08
1949,3.6322930441201606e-08
1950,2.2334258886758107e-08
1951,5.863770979885885e-08
1952,3.796129277588989e-08
1953,2.693456835345387e-08
1954,2.9317607896928166e-08
1955,3.191106756617046e-08
1956,3.226822542501395e-08
1957,3.6223653410161205e-08
1958,2.8125628048769613e-08
1959,2.6352543258667538e-08
1960,3.668041514970355e-08
1961,2.987708569435199e-08
1962,3.6783347923119436e-08
1963,4.008953169432061e-08
1964,3.832900219435942e-08
1965,4.870118530675427e-08
1966,2.4925835617750636e-08
1967,2.7116845657815247e-08
1968,2.9643343779639508e-08
1969,4.3146698658347304e-08
1970,3.54101814536989e-08
1971,3.5454942093338104e-08
1972,3.1806909106535386e-08
1973,2.4258095976392724e-08
1974,2.418995848074701e-08
1975,2.4559364319998167e-08
1976,3.428116102099921e-08
1977,3.702372453062708e-08
1978,3.089107636355948e-08
1979,4.213420723431227e-08
1980,4.4912688679232815e-08
1981,3.858585273519566e-08
1982,3.600351305976801e-08
1983,5.304865524635716e-08
1984,3.479405208395292e-08
1985,2.6468455871508922e-08
1986,4.2560845514572065e-08
1987,3.0554083707556856e-08
1988,4.61734650514245e-08
1989,4.884428861373635e-08
1990,4.304434142454738e-08
1991,5.5097771678447316e-08
1992,2.589673719910479e-08
1993,2.9357799746776436e-08
1994,3.006708126918056e-08
1995,3.524592884218691e-08
1996,3.896807143632941e-08
1997,3.6920688728514506e-08
1998,4.052909829965756e-08
1999,4.25028723327614e-08
2000,4.550572541006659e-08
2001,3.767842216007011e-08
