year,vingt - trois îles,vingt - trois villes
1800,0.0,1.3779073881892145e-08
1801,1.0459931587547544e-08,2.614982896886886e-09
1802,0.0,7.390513090399509e-09
1803,0.0,2.7857122830710068e-08
1804,1.9028838948997873e-08,2.4465649062221928e-08
1805,0.0,3.7466822533360755e-08
1806,0.0,3.1599316496766505e-09
1807,6.229897042686616e-09,3.114948521343308e-09
1808,7.470443819102002e-09,0.0
1809,0.0,9.88383686006955e-09
1810,0.0,0.0
1811,0.0,8.277909913090298e-09
1812,0.0,0.0
1813,9.441196269222019e-09,9.441196269222019e-09
1814,0.0,5.503006050844306e-08
1815,3.84334271075204e-08,5.9128351104220656e-09
1816,7.599422424675595e-09,3.7997111235199554e-08
1817,0.0,2.2179605707606243e-08
1818,0.0,5.213291576211532e-09
1819,0.0,9.044872406605009e-09
1820,7.769235921273321e-09,2.201283422209599e-08
1821,0.0,1.2960386541749358e-08
1822,0.0,7.675334146028945e-09
1823,0.0,6.4775234065450604e-09
1824,0.0,1.1025045765222785e-08
1825,2.8832114473686943e-09,4.805352116221684e-09
1826,0.0,1.2493768686283602e-08
1827,0.0,1.4084916344359044e-08
1828,0.0,9.020797442360617e-09
1829,1.217514178364354e-08,5.900261257352213e-08
1830,0.0,7.98974486571069e-09
1831,3.422896410754106e-09,2.5671722525544283e-08
1832,0.0,1.6308899120076603e-08
1833,2.534755960681423e-09,6.336890123748162e-09
1834,1.3297366763254104e-08,3.5800603370717e-08
1835,0.0,1.5769250794051004e-08
1836,5.140442738138518e-09,5.140442738138518e-09
1837,0.0,1.2904679103087346e-08
1838,0.0,1.3076261851097115e-08
1839,0.0,3.821289507044412e-09
1840,0.0,1.461293219762183e-08
1841,3.5098950412759677e-09,2.807916121838616e-09
1842,0.0,7.335207996561621e-09
1843,2.581671321166823e-09,9.681267343353284e-09
1844,0.0,3.171506002264124e-08
1845,4.270283238128059e-09,1.8911254784370612e-08
1846,1.2813209382400714e-09,2.7548400893806502e-08
1847,0.0,1.2959318951288878e-08
1848,0.0,1.8498933940236384e-08
1849,1.834842278114479e-09,1.4678738224915833e-08
1850,1.4860133124017239e-09,8.916080318499553e-09
1851,0.0,4.235141293218447e-09
1852,0.0,1.070029842509257e-08
1853,0.0,1.9611125168239596e-08
1854,3.978228857448585e-09,5.114865420097203e-09
1855,0.0,9.308460668933094e-09
1856,5.671140224094984e-10,4.139932485713871e-08
1857,0.0,9.629455455240077e-09
1858,0.0,6.43318553983363e-09
1859,0.0,1.393565079998993e-08
1860,0.0,1.1039560376957525e-08
1861,5.163843797006962e-10,1.4458763075708703e-08
1862,0.0,2.475542482116566e-08
1863,0.0,1.6447840422983973e-08
1864,5.249539691831728e-10,9.449171223252506e-09
