year,nos_DET oies_NOUN,nos_DET voies_NOUN
1800,1.8864987794131594e-08,1.9179402954705438e-07
1801,2.1430643926123594e-08,4.7623650800687756e-08
1802,8.951360541686881e-09,8.503792514602537e-08
1803,5.070882025393075e-08,9.361628516835196e-08
1804,1.4831105232815389e-08,6.179627121127851e-08
1805,3.41145314219915e-08,5.401467717547348e-08
1806,5.76333825108577e-09,8.933174200365102e-08
1807,8.540865792383556e-09,6.832692633906845e-08
1808,4.5321479902327155e-09,4.98536292248275e-08
1809,4.0662548883574345e-08,1.0165637576164954e-07
1810,0.0,1.8721013361755467e-07
1811,5.0141535368197765e-09,1.2033967777824728e-07
1812,8.00162425207418e-09,4.5342538612658245e-08
1813,0.0,2.0130190847567064e-08
1814,3.1466771410748606e-09,6.293354459785405e-08
1815,0.0,4.8550024445148665e-08
1816,9.270415546325239e-09,1.9004352225238108e-07
1817,2.8023721676539992e-08,7.472992535895173e-08
1818,4.172412104708201e-08,9.775365339415032e-08
1819,7.24573512300708e-09,9.212434548544479e-08
1820,1.6613073583471305e-08,7.594547835054755e-08
1821,8.875339574387908e-09,1.883544208380883e-07
1822,1.2030739071633434e-08,1.513867999847207e-07
1823,5.929612023614084e-09,9.487379770689586e-08
1824,1.1789557774477544e-08,1.2210612965191103e-07
1825,3.25801385869795e-08,1.0390422744421812e-07
1826,1.7615968683770689e-09,9.424542923852641e-08
1827,7.373818444733615e-09,1.1337245808817897e-07
1828,3.485474309172787e-08,8.438517085096464e-08
1829,2.5719527840806222e-08,1.097366539859479e-07
1830,6.262101504006523e-09,1.1376150865771706e-07
1831,1.5591206548037917e-08,1.403208518269139e-07
1832,1.352996914505411e-08,1.407116880791648e-07
1833,2.3167257445777523e-08,1.702793431812566e-07
1834,1.8669062296083894e-08,1.166816332442977e-07
1835,1.5882484660778573e-08,1.7621994885530512e-07
1836,2.8899224790990274e-08,1.8885307540017493e-07
1837,2.574419688539109e-08,1.5168201672466353e-07
1838,1.325553999897977e-08,1.382363419288879e-07
1839,8.389769878824893e-09,2.069476652266644e-07
1840,1.2102408852854296e-08,1.910906604063456e-07
1841,3.017657901338566e-08,2.6195837365960983e-07
1842,1.408735617047796e-08,3.0723854571590437e-07
1843,6.497602123012314e-09,2.3982058761085057e-07
