year,autres_ADJ iles_NOUN,autres_ADJ villes_NOUN
1800,7.54599476238127e-08,4.948914920532843e-06
1801,9.048493798680113e-08,5.19097784490441e-06
1802,5.147032311469957e-08,6.069022674637381e-06
1803,1.1702035251914822e-07,7.376183020824101e-06
1804,1.1617699291477379e-07,6.2513108787243254e-06
1805,3.4114532976303735e-08,6.0269007917668205e-06
1806,3.45800286183362e-08,5.806563422083855e-06
1807,6.832692100999793e-08,9.164348739432171e-06
1808,9.51751069067086e-08,8.275702384707984e-06
1809,6.325285539787728e-08,8.586574949731585e-06
1810,3.978215445954447e-08,5.635025445371866e-06
1811,1.42903374467096e-07,9.173393664241303e-06
1812,7.201462359773814e-08,7.617546543770004e-06
1813,5.176334849643638e-08,6.11382665738347e-06
1814,1.8880063290538374e-08,8.036613508011214e-06
1815,1.8880565111345504e-08,7.00199234415777e-06
1816,2.5493642752394408e-08,4.720959168480476e-06
1817,7.78436682891126e-08,6.1839009504183196e-06
1818,3.9339885127276375e-08,6.338490038615419e-06
1819,2.587762526484738e-08,8.660723324283026e-06
1820,3.44127952800477e-08,7.0391965891758446e-06
1821,4.7335143804616564e-08,6.624947673117276e-06
1822,4.3110148340019805e-08,6.738216598023428e-06
1823,4.941343512143703e-08,6.972235496505164e-06
1824,5.052667439997549e-08,6.601310360565549e-06
1825,3.25801385869795e-08,7.282982096512569e-06
1826,6.077509029367434e-08,9.561947990732733e-06
1827,9.770309250534126e-08,6.6392017288308125e-06
1828,6.420610765278667e-08,6.1656210164073855e-06
1829,1.0459274896179593e-07,6.71622592562926e-06
1830,4.905312778191728e-08,7.949737664603163e-06
1831,4.5214498811674275e-08,6.3206748563970905e-06
1832,8.929779504729396e-08,5.922067430219613e-06
1833,2.4904800355329826e-07,7.808524060237687e-06
1834,7.280933922437782e-08,7.224926775961649e-06
1835,8.848812882433776e-08,7.206866484921193e-06
1836,7.056787687531596e-08,8.666407666169107e-06
1837,1.0019362850499647e-07,8.592299309384543e-06
1838,9.846972859328673e-08,9.493491234024987e-06
1839,1.090670168624186e-07,7.600432581966743e-06
1840,8.344292251605268e-08,8.160208381013945e-06
1841,9.374000908835001e-08,6.2555404838349205e-06
1842,7.043678396101427e-08,6.804193162679439e-06
1843,9.923610377882142e-08,6.4379423747595865e-06
1844,7.629100068351491e-08,8.092334610410035e-06
1845,6.082448272826113e-08,6.566254342033062e-06
1846,9.367201991850038e-08,6.859719178464729e-06
1847,8.952751251456448e-08,6.793304692109814e-06
1848,6.275273001232762e-08,6.719369139318587e-06
1849,9.720121418865801e-08,5.210320068727015e-06
1850,9.640374543096186e-08,6.237050456547877e-06
1851,7.029888338117019e-08,6.515223049063934e-06
1852,7.096494414327026e-08,6.244915311981458e-06
1853,8.300984966069791e-08,6.108688921813155e-06
1854,6.546537323348645e-08,5.837848675582791e-06
1855,8.915654348129465e-08,5.356291694624815e-06
1856,6.83388988731437e-08,5.96567497268552e-06
1857,5.320844853606843e-08,5.160731234354898e-06
1858,4.159624533706108e-08,5.842070549988421e-06
