year,trois_DET ânes_NOUN,trois_DET vannes_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,5.685755422035754e-09,1.421438877713399e-08
1806,2.305335300434308e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,3.162642769893864e-08,0.0
1810,4.212228077449254e-08,1.6380887313260928e-08
1811,4.262030373070047e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,3.738464116054274e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.315557600165221e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,1.401186100480345e-08,0.0
1818,1.5497530370112145e-08,5.960588467246453e-09
1819,0.0,1.2421260464634543e-08
1820,1.542642635854463e-08,0.0
1821,1.4792232327920374e-08,2.9584463767662328e-09
1822,5.012807946513931e-09,6.015369535816717e-09
1823,1.087095569118901e-08,8.894418535021487e-09
1824,1.431589158329416e-08,1.6842225392110777e-09
1825,0.0,3.522177216552791e-09
1826,2.290075862276808e-08,1.7615968683770689e-09
1827,1.8434546111834038e-09,7.373818444733615e-09
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,6.858540846366168e-09,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,3.274153215215847e-08,3.4300654760954785e-08
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,5.09679658478035e-08,1.7375443306377747e-08
1834,4.667265462998671e-09,2.8003592777992026e-09
1835,1.3613558280667348e-08,1.5126175867408165e-09
1836,1.6129799718100912e-08,1.3441500135158435e-09
1837,9.74104708006962e-09,0.0
1838,1.7042836475411605e-08,5.680945491803868e-09
1839,2.307186797168015e-08,2.7965900706306e-09
1840,1.9746034141121527e-08,8.917564464638872e-09
1841,2.3756030032018316e-08,3.852329122366882e-09
1842,2.2808102073668124e-08,5.366612043644636e-09
1843,1.4767278067040479e-08,1.7720733769266417e-09
1844,7.683985892015244e-09,0.0
1845,1.3392547348889394e-08,1.1160455892778032e-09
1846,1.2879903366069811e-08,0.0
1847,1.1325769655456952e-08,1.0786447290911383e-09
1848,5.63165514222419e-09,8.04522137798358e-09
1849,4.1897072478036534e-09,0.0
1850,2.7155984128057753e-09,4.752297222410107e-09
1851,2.7732586005413395e-08,2.579775504329973e-09
1852,0.0,6.510545436100301e-10
1853,7.166318205520383e-09,8.957897534855874e-09
1854,5.195664343204953e-09,2.0782657816909023e-09
1855,1.0613874223963649e-08,0.0
1856,1.346069211649592e-08,1.5531567143511893e-09
1857,6.8341128311999455e-09,1.4644527812635033e-09
1858,2.2510910469009104e-08,1.957470352476065e-09
1859,1.3748867822016564e-08,2.5460866748261424e-09
1860,2.5632229755379043e-08,0.0
1861,1.9807048445841247e-08,1.4147891747029462e-09
1862,8.584174260306554e-09,4.517986262886353e-10
1863,4.994620717013731e-09,8.990317823531768e-09
1864,3.3083621397977936e-08,4.794727948009836e-10
1865,1.0825741691977697e-08,3.4830648587558244e-08
1866,2.0435575009969398e-08,9.731225825149181e-10
1867,2.038180824115443e-08,2.426405742994575e-09
1868,1.531360993567432e-08,4.5940829807022965e-08
1869,2.2952540090770412e-08,4.883519366671862e-09
1870,8.601073631098188e-09,6.880858549607183e-09
1871,2.1242354542039266e-09,2.0180236148803488e-08
1872,7.2568073772316666e-09,0.0
1873,1.3767810003173508e-08,7.781805422268917e-09
1874,9.559374625212058e-09,1.792382742227261e-09
1875,2.8607636259891933e-09,4.577221712764867e-09
1876,9.06902175579205e-09,2.176565394584884e-08
1877,2.10283740420536e-08,6.184816214727107e-09
1878,1.3285995414946683e-08,6.039088673581716e-10
1879,1.8327975137566455e-08,1.221865053580018e-09
1880,1.0268554007097919e-08,7.059631101924424e-09
1881,1.4642265677711208e-08,4.183504542787375e-09
1882,1.1314154280128719e-08,6.655385131892899e-10
1883,1.3902545781263598e-08,3.159669414998234e-09
1884,6.601696966868076e-09,1.3203393933736152e-09
1885,2.1915161241281567e-08,5.80107206715752e-09
1886,1.8069698626277386e-08,2.5813855497602844e-09
1887,1.9586773314372863e-08,4.57024718070187e-09
1888,3.1703073499755874e-09,3.1703073499755874e-09
1889,8.14467782106476e-09,7.518164035769104e-09
1890,1.5075089621063853e-08,6.554386366985909e-09
1891,4.589438407087698e-08,1.912266012205066e-09
1892,4.0745329332736446e-08,4.387958441043338e-09
1893,1.4164357797774585e-08,6.158416554491453e-09
1894,9.452309157609307e-09,0.0
1895,9.629782971032341e-09,1.8055843487019274e-09
1896,1.0614652268259306e-08,7.66613794667137e-09
1897,1.165342733422392e-08,4.661370844871726e-09
1898,1.9238406423482957e-08,1.4711722728932841e-08
1899,1.1055156790007459e-08,8.844125432005967e-09
