year,tels_ADJ yeux_NOUN
1800,0.0
1801,0.0
1802,3.8043282302169246e-08
1803,5.851017448321727e-09
1804,2.9662210465630778e-08
1805,0.0
1806,2.5935023018064385e-08
1807,1.7081731584767113e-08
1808,4.5321479902327155e-09
1809,2.0331274441787173e-08
1810,0.0
1811,3.760615285841595e-08
1812,0.0
1813,2.5881675469463516e-08
1814,1.8880061958270744e-08
1815,0.0
1816,9.270415546325239e-09
1817,2.9580593974287694e-08
1818,0.0
1819,0.0
1820,2.254631326081835e-08
1821,1.97229765852569e-09
1822,1.1028177482330648e-08
1823,0.0
1824,0.0
1825,4.0505039322624725e-08
1826,1.8496766784892316e-08
1827,0.0
1828,1.3758452155343548e-08
1829,8.57317605795771e-10
1830,0.0
1831,4.677361609140007e-09
1832,0.0
1833,0.0
1834,1.0267983796552471e-08
1835,1.9664028627630614e-08
1836,1.3441500135158435e-09
1837,4.174734336004349e-09
1838,8.2058102535143e-09
1839,9.788065469251706e-09
1840,6.3696887764308485e-09
1841,1.0914932957462042e-08
1842,6.708265054555795e-10
1843,3.5441467538532834e-09
1844,1.3172547497219966e-08
1845,5.580227835366713e-09
1846,1.2294452567118697e-08
1847,5.393223645455691e-10
1848,8.84974404868899e-09
1849,1.256912263158938e-08
1850,2.2403686017469226e-08
1851,2.257303499675345e-08
1852,1.3021090872200602e-09
1853,1.0152284346531815e-08
1854,6.754363734984281e-09
1855,6.8990182455763716e-09
1856,3.6240324075009767e-09
1857,2.9289054737091647e-08
1858,6.361778659424999e-09
1859,1.5276519604867644e-08
1860,1.4189270203246451e-08
1861,2.6409397335669382e-08
1862,9.939570055905733e-09
1863,9.489779628779615e-09
1864,7.671564716815737e-09
1865,1.2237795665726026e-08
1866,1.4110277390955162e-08
1867,7.279217228983725e-09
1868,4.939874287401835e-09
1869,1.2208797528501236e-08
1870,1.7202147262196377e-08
1871,3.18635318130589e-09
1872,1.5118347462816928e-08
1873,1.4366410283628284e-08
1874,1.1351757756017378e-08
1875,5.149374260327022e-09
1876,8.464420275799966e-09
1877,1.2369632429454214e-08
1878,6.6429977074733415e-09
1879,4.27652757650776e-09
1880,9.626769603698904e-09
1881,1.8128519130300447e-08
1882,1.6638463051776853e-08
1883,1.1374810426900694e-08
1884,5.281357573494461e-09
1885,7.090199094506033e-09
1886,1.4842966855610484e-08
1887,1.9586773092328258e-08
1888,3.804368819970705e-09
1889,1.0024218788373673e-08
1890,1.6385966361553983e-08
1891,8.286486163910922e-09
1892,7.522214851007902e-09
1893,1.3548516086814288e-08
1894,2.9617234886814003e-08
1895,7.824199066419624e-09
1896,3.2433661090180976e-08
1897,2.2724183423861177e-08
1898,1.3580051749784161e-08
1899,8.291367592505594e-09
1900,1.6092265298084385e-08
1901,1.2295225282343836e-08
1902,4.910283735171106e-09
1903,1.3500550899436803e-08
1904,1.0749250378694342e-08
1905,1.8062657147766004e-08
1906,1.2860461140462576e-08
