year,les_DET ivres_ADJ,les_DET vivres_NOUN
1800,3.144164484325529e-09,3.4428601622948918e-06
1801,0.0,2.9574288333833465e-06
1802,0.0,3.898317487482927e-06
1803,1.950339223455444e-09,2.8923530805968767e-06
1804,0.0,2.326011781406123e-06
1805,0.0,4.272845131936265e-06
1806,0.0,4.486758768962318e-06
1807,0.0,3.5757756222665193e-06
1808,0.0,3.2948715897873626e-06
1809,2.259030518203531e-09,4.723632855530013e-06
1810,0.0,2.7098668056169117e-06
1811,0.0,3.9862519543021335e-06
1812,2.6672082320544632e-09,2.387151283755884e-06
1813,0.0,3.985777851767125e-06
1814,0.0,5.11964361749051e-06
1815,0.0,2.6891318469779435e-06
1816,0.0,2.8715112989630143e-06
1817,0.0,3.535659487852172e-06
1818,0.0,4.794697332499709e-06
1819,0.0,4.357792221298951e-06
1820,2.3732962262101864e-09,4.6979396586266375e-06
1821,9.86148829262845e-10,5.021469618782248e-06
1822,2.0051231786055723e-09,5.4769939765719755e-06
1823,9.882686891060644e-10,7.851794720181715e-06
1824,0.0,4.956667083888533e-06
1825,0.0,5.056085399246513e-06
1826,0.0,6.561067579013979e-06
1827,1.8434546111834038e-09,4.686983231749764e-06
1828,1.8344602503717056e-09,4.244940868147751e-06
1829,0.0,3.99510003035175e-06
1830,2.0873671680021744e-09,3.874153463812036e-06
1831,0.0,3.5641497788674315e-06
1832,0.0,2.6775810084700424e-06
1833,1.1583628500844156e-09,3.305967680944377e-06
1834,9.334530925997342e-10,3.37629978730547e-06
1835,0.0,3.9872600439139205e-06
1836,1.3441500135158435e-09,5.6521507758589e-06
1837,0.0,4.704925714804631e-06
1838,0.0,6.8512202915371745e-06
1839,0.0,5.2485002868252195e-06
1840,6.369688665408546e-10,5.112311896482424e-06
1841,0.0,3.756662835030511e-06
1842,6.708265054555795e-10,3.698937462104368e-06
1843,1.1813822142769936e-09,3.191504148958302e-06
1844,5.488561272137815e-10,3.6043382465322793e-06
1845,1.674068439427856e-09,3.3509269883325032e-06
1846,0.0,3.339407498970104e-06
1847,5.393223645455691e-10,4.223433450079028e-06
1848,6.43617736884039e-09,3.3701433608257503e-06
1849,0.0,2.9981547413626686e-06
1850,0.0,3.984461727668531e-06
1851,3.2247193804124663e-09,3.502690219647775e-06
1852,6.510545436100301e-10,2.471403135473338e-06
1853,3.5831591027601917e-09,2.653926529205819e-06
1854,5.195664454227256e-10,3.558510684342764e-06
1855,2.653468555990912e-09,2.8301896008997574e-06
1856,0.0,3.0892287128381213e-06
1857,9.763018171682347e-10,3.5947432337479768e-06
1858,0.0,3.263103195649819e-06
1859,5.092173349652285e-10,3.52276543935659e-06
1860,4.577183909670879e-10,3.717588839435848e-06
1861,9.431927461278633e-10,3.167241175106028e-06
1862,4.517986262886353e-10,3.121024832353214e-06
1863,9.989241656072068e-10,3.1695863640379685e-06
1864,0.0,2.863411623366119e-06
1865,5.177528628053096e-09,2.9982598732658516e-06
1866,9.731225825149181e-10,3.1023148068243245e-06
1867,4.85281148598915e-09,3.0262131502922784e-06
1868,9.87974813071446e-10,2.768799333807692e-06
1869,9.767038289254515e-10,2.5741028508718955e-06
1870,5.734048791339319e-10,2.8538361505070498e-06
