year,des_DET yeux_NOUN,des_DET vieux_NOUN
1800,1.0602122330283237e-05,1.0375742576229641e-07
1801,1.1441582699944775e-05,8.572257326200372e-08
1802,1.090947046122892e-05,1.208433673127729e-07
1803,1.3311065231391694e-05,1.9698425646197393e-07
1804,1.0984905742361661e-05,9.887404028852131e-08
1805,1.0530019238785826e-05,1.7341554103822432e-07
1806,8.708404237722789e-06,1.1238509856070777e-07
1807,7.980015013231423e-06,8.825560726677395e-08
1808,1.0709465982472466e-05,7.931258672044805e-08
1809,7.599378562872516e-06,1.4683697724393596e-07
1810,1.1433859754106379e-05,7.722418615685456e-08
1811,7.714275000125781e-06,6.518399686683551e-08
1812,7.158786687000429e-06,6.401299534886107e-08
1813,9.10172251167296e-06,7.764502640839055e-08
1814,6.548235120362733e-06,9.440031067953214e-08
1815,6.613592255177991e-06,5.66416948899473e-08
1816,8.468524598015392e-06,3.314173646629115e-07
1817,1.1369846518505256e-05,1.55687345682054e-07
1818,9.409384986724945e-06,1.3828566292062305e-07
1819,9.650284226836447e-06,8.384350680401553e-08
1820,9.022085947663072e-06,2.0885006435378273e-07
1821,1.0320047039158453e-05,1.0255948135196036e-07
1822,9.027064294286902e-06,1.4336630727029842e-07
1823,8.342964719076917e-06,1.4725203723031655e-07
1824,8.29816411851425e-06,1.456852487535798e-07
1825,8.9005417152066e-06,1.1799293320180482e-07
1826,7.318554139601474e-06,9.424543190306167e-08
1827,6.5516374760932194e-06,9.401618861204497e-08
1828,7.668961146123365e-06,7.979902011401308e-08
1829,9.511081429991464e-06,1.1316592285481875e-07
1830,9.024731738804803e-06,8.453837008204346e-08
1831,8.941556956187924e-06,2.3074985477933296e-07
1832,1.0300365687498925e-05,8.11798166466815e-08
1833,9.116315631274574e-06,7.761030806907598e-08
1834,8.919143880348201e-06,1.2041545094376715e-07
1835,1.071008853159583e-05,1.784888823408437e-07
1836,8.775955805617741e-06,1.431519821570859e-07
1837,8.410002401149086e-06,1.0923888638103563e-07
1838,7.925550661980196e-06,1.1677499345275066e-07
1839,7.313082996063258e-06,1.1186360104886717e-07
1840,7.73216533644927e-06,9.618229768193487e-08
