year,mes_DET yeux_NOUN,mes_DET vieux_NOUN
1800,1.3975810929878207e-05,1.5720821977538435e-08
1801,1.8685139707486087e-05,4.7623651688866175e-09
1802,1.2914575222566782e-05,1.3427040812530322e-08
1803,1.3829855674885039e-05,1.5602713565598947e-08
1804,1.7260935237572994e-05,2.4718509461507665e-09
1805,1.553064100789925e-05,5.685755422035754e-09
1806,1.152955860561633e-05,5.76333825108577e-09
1807,1.1683903608172841e-05,8.540865792383556e-09
1808,1.2961943184564007e-05,9.064295980465431e-09
1809,1.1480393197871308e-05,0.0
1810,1.8075139678330743e-05,0.0
1811,1.3091954542687745e-05,0.0
1812,1.0132724298728135e-05,8.00162425207418e-09
1813,1.6345716119303688e-05,5.751483289628823e-09
1814,1.07679288134932e-05,1.8880061958270744e-08
1815,9.715398959997401e-06,3.506390555685357e-08
1816,1.0607673061713285e-05,1.1588019432906549e-08
1817,1.6314476170009584e-05,2.1796227045456362e-08
1818,1.4174280011047813e-05,1.1921177378582115e-09
1819,1.4032918215889367e-05,1.6561680027393777e-08
1820,1.7069932596314175e-05,1.1866481131050932e-09
1821,1.7330580476482282e-05,3.4515208913177275e-08
1822,1.5445463645846758e-05,2.606660132187244e-08
1823,1.5090863030309265e-05,2.075364236020505e-08
1824,1.5228740267048124e-05,1.0947446504872005e-08
1825,1.3639631163187005e-05,1.7610886970942374e-08
1826,1.167586361816575e-05,1.6735169694470642e-08
1827,1.020444301502721e-05,1.1060727445055818e-08
1828,1.2153298996508966e-05,1.1006761724274838e-08
1829,1.1007958050868183e-05,2.229025836131271e-08
1830,1.5031131056275626e-05,1.9829987651931447e-08
1831,1.3179246650452114e-05,9.354723218280014e-09
1832,1.5766473325129482e-05,6.764984572527055e-09
1833,1.5020490991446422e-05,2.3167256557599103e-08
1834,1.2445730021681811e-05,1.4935249481595747e-08
1835,1.3130276784067973e-05,5.596685070941021e-08
1836,1.222773312292702e-05,4.9061475770884044e-08
1837,1.1207075317543058e-05,1.87863058442872e-08
1838,1.1086681013239286e-05,1.704283669745621e-08
1839,1.094934947332149e-05,2.1673573158409454e-08
1840,1.0147551307682079e-05,2.7389661649834807e-08
1841,1.1194868307029537e-05,1.3483151928284087e-08
1842,1.1515407436490932e-05,1.408735705865638e-08
1843,1.0542654848677557e-05,2.0674189471492355e-08
1844,9.952957299219634e-06,5.488561216626664e-09
1845,9.688950143527109e-06,1.9530798145428463e-08
1846,9.883568736768211e-06,1.4050803409659807e-08
1847,8.564438758185133e-06,7.011190739092399e-09
1848,9.915735404320003e-06,1.045878850192139e-08
1849,1.1230091985225954e-05,4.189707469848258e-09
1850,1.0440797353794551e-05,2.104588769924476e-08
1851,8.94666169415359e-06,1.0319102017319892e-08
1852,1.0207884599822137e-05,1.4974254503030693e-08
