year,deux_DET idéaux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.0130190847567064e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,2.953455480181333e-09
1844,0.0
1845,2.7901139176833567e-09
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,4.577183909670879e-10
1861,0.0
1862,0.0
1863,0.0
1864,2.3973640850272204e-09
1865,1.882737743486018e-09
1866,0.0
1867,4.367530337390235e-09
1868,0.0
1869,9.767038289254515e-10
1870,0.0
1871,0.0
1872,8.4662747923403e-09
1873,0.0
1874,0.0
1875,0.0
1876,6.650616057868319e-09
1877,8.102109205765373e-08
1878,2.4156354694326865e-09
1879,0.0
1880,3.8507077526617195e-09
1881,0.0
1882,0.0
1883,1.2638677882037541e-09
1884,3.300848483434038e-09
1885,3.2228177904158883e-09
1886,1.2906927748801422e-09
1887,1.9586774424595887e-09
1888,0.0
1889,6.265136742733546e-10
1890,4.5880703680722945e-09
1891,6.3742202627281586e-09
1892,2.193979398157353e-08
1893,1.847525021858587e-09
1894,0.0
1895,0.0
1896,2.358811590497112e-09
1897,9.905413378419325e-09
1898,3.3950129374460403e-09
1899,0.0
1900,2.07642125715779e-09
1901,2.179608182828474e-08
1902,4.910283735171106e-09
1903,0.0
1904,1.9886113200584532e-08
1905,5.160759042333041e-10
1906,5.195626506804274e-08
1907,3.5485619775954547e-08
1908,1.1296194868393172e-08
1909,4.455796576152693e-08
1910,1.4963621897123858e-08
1911,8.246579952242428e-08
1912,1.6670147928721235e-08
1913,1.3257474729133634e-08
1914,1.2723813114234872e-08
1915,2.591767689352764e-08
1916,1.2086208478478966e-08
1917,1.6449636319748606e-08
1918,3.101321510712296e-08
1919,4.603924352863942e-09
1920,4.543339038320937e-09
1921,5.300923255902035e-09
1922,2.951174193910333e-09
1923,5.307974060286824e-09
1924,7.21930950575711e-08
1925,3.299453377181294e-09
1926,1.3375366592072169e-08
1927,6.689535148041159e-09
1928,6.8556245125250825e-09
1929,2.4508894025387917e-08
1930,5.2518016602221e-09
1931,1.3686427990933225e-08
1932,8.767629400274757e-09
1933,4.588264879146209e-09
1934,2.6359476379411717e-08
1935,2.0346083928757253e-08
1936,4.7286388138445545e-08
1937,1.6368453259474336e-08
1938,2.7226949583791793e-08
1939,2.2941076593951948e-08
1940,2.1046998543994277e-07
1941,5.9030051957620344e-09
1942,6.675265851185941e-08
1943,2.9032352077962287e-09
1944,2.2492303131116387e-08
1945,3.0499057057653545e-08
1946,5.150808402021312e-08
1947,8.821444463791295e-08
1948,3.805160786463091e-08
1949,3.337782827905755e-08
1950,8.295582087924913e-08
1951,2.7719645245838365e-08
1952,4.112473650508264e-08
1953,3.878578014315792e-08
1954,1.0847514797518443e-07
1955,2.440258128899586e-08
1956,3.052399555336649e-08
1957,4.329168423744534e-08
1958,2.2335056470978998e-08
1959,5.2705086961424286e-08
1960,5.329041519175348e-08
1961,1.4104763756961347e-07
1962,9.259256383842285e-08
1963,6.789355655456575e-08
1964,4.745495374436359e-08
1965,2.462419479432043e-08
1966,6.979234079551588e-08
1967,6.16291950805703e-08
1968,5.704098171577243e-08
1969,3.724241304237097e-08
1970,5.702418937048037e-08
1971,4.8814777997563397e-08
1972,4.565830868941134e-08
1973,5.3478077299828897e-08
1974,3.6003658943073447e-08
1975,4.911873130453159e-08
1976,6.570556165819141e-08
1977,2.938390863960194e-08
1978,2.851483871246785e-08
1979,4.9741773811007306e-08
1980,5.116635565238781e-08
1981,4.42788482546419e-08
1982,2.0484758112004897e-08
1983,4.483874382898989e-08
1984,3.015484351109876e-08
1985,7.399136325858535e-08
1986,3.476801646584704e-08
1987,3.055408481777988e-08
1988,2.638483720396323e-08
1989,1.6464366980883938e-08
1990,2.233946855279001e-08
1991,2.6376593631471934e-08
1992,3.085568828220531e-08
1993,3.212740296021366e-08
1994,3.850696450591329e-08
1995,3.4161441120339475e-08
1996,4.1103311643198026e-08
1997,4.17155816556658e-08
1998,3.528415759568304e-08
1999,3.747565005540743e-08
2000,4.1087693691821414e-08
2001,3.6364058209059635e-08
2002,4.118348218007384e-08
2003,5.2086535085038577e-08
2004,4.7131264946376206e-08
2005,4.954124399603188e-08
2006,6.259192586455242e-08
2007,6.151498510575948e-08
2008,4.598034730740608e-08
2009,4.482100868230532e-08
2010,4.534841346881535e-08
2011,3.212136420738254e-08
2012,2.4510618923390126e-08
2013,2.426538736610695e-08
2014,1.9705550483029022e-08
2015,2.70422189085906e-08
2016,2.029913237500125e-08
2017,2.440143020976393e-08
2018,1.7812120889360017e-08
2019,2.346908689609961e-08
