year,as_VERB ôté_VERB,as_VERB voté_VERB
1800,0.0,2.829747991484055e-08
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,1.421438877713399e-08,5.685755422035754e-09
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,1.3486118000116676e-08
1816,2.3176038865813098e-09,0.0
1817,7.784366928831332e-09,0.0
1818,1.3113295338484932e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,1.97229765852569e-09,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,8.421112696055388e-10,8.421112696055388e-09
1825,2.641632912414593e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,6.420610709767516e-09,1.559291185060374e-08
1829,1.714635211591542e-09,6.001223074036943e-09
1830,7.305785310052215e-09,0.0
1831,0.0,0.0
1832,8.117981842303834e-09,8.117981842303834e-09
1833,8.108539617524002e-09,6.950177322551099e-09
1834,8.401078055442213e-09,1.4935249481595747e-08
1835,8.31939672707449e-09,3.025235173481633e-09
1836,4.704525213838906e-09,1.1425274948351216e-08
1837,4.174734336004349e-09,4.174734336004349e-09
1838,1.2624323808552163e-09,3.787297142565649e-09
1839,1.3982950353153e-09,6.9914749545318955e-09
1840,6.3696887764308485e-09,2.165694112932215e-08
1841,4.494383976094696e-09,1.926164561183441e-09
1842,1.0062397137744483e-08,1.341653010911159e-09
1843,6.497602011990011e-09,1.1813822142769936e-09
1844,8.781698035420504e-09,3.841992946007622e-09
1845,1.674068439427856e-09,1.0044410636567136e-08
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,5.3932236454556914e-09,1.5101026207275936e-08
1848,8.045221711050488e-10,3.218088684420195e-09
1849,2.513824481908955e-09,0.0
1850,1.6972489191857676e-08,6.788996032014438e-10
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,1.9531636308300904e-09,0.0
1853,4.180352064508952e-09,1.7915795513800958e-09
1854,3.63696517347023e-09,2.5978321716024766e-09
1855,1.0083180512765466e-08,0.0
1856,3.6240324075009767e-09,0.0
1857,3.905207268672939e-09,1.9526036343364694e-09
1858,6.8511463169329545e-09,4.404308473482388e-09
1859,5.601390462572908e-09,7.638259802433822e-09
1860,2.288591982591015e-09,1.8308735638683515e-09
1861,4.715963619617014e-09,2.357981809808507e-09
1862,9.939570055905733e-09,4.066187830886747e-09
1863,3.995696662428827e-09,1.4983863039219614e-09
1864,9.589456340108882e-09,1.4384183844029508e-09
1865,6.118897832863013e-09,1.882737743486018e-09
1866,4.379051787850585e-09,6.811858188626729e-09
1867,6.79393608038481e-09,4.85281148598915e-10
1868,2.9639244392143382e-09,9.87974813071446e-10
1869,9.767038289254515e-10,0.0
1870,1.7202146374017957e-09,2.2936195165357276e-09
1871,1.0621177271019633e-09,2.549082545044712e-08
1872,5.442605477412599e-09,2.4189357183956872e-09
1873,1.7958012854535355e-09,0.0
1874,5.974609140757536e-10,1.1949218281515073e-09
1875,1.716458086775674e-09,0.0
1876,3.02300739996042e-09,1.209202959984168e-09
