year,leurs_DET oeufs_NOUN,leurs_DET voeux_NOUN
1800,6.697070347172485e-07,4.559038373486146e-07
1801,1.050101520405633e-06,2.0001933842550557e-07
1802,9.60033418095918e-07,2.5958945570891956e-07
1803,4.40191568773507e-06,3.4130937143217466e-07
1804,1.1741291841005363e-06,1.7797326345991848e-07
1805,3.7810272224270136e-07,2.3880173127821536e-07
1806,1.3832012424330742e-07,1.8730849760117962e-07
1807,3.046241943138739e-07,2.8754247161089097e-07
1808,1.3596443526608937e-07,2.2434132551651942e-07
1809,9.713831361501946e-08,2.8237882276904713e-07
1810,2.1529165650235882e-07,2.457133172484305e-07
1811,4.512738271955641e-08,1.8050952643733353e-07
1812,6.13457871168066e-08,1.787029502153814e-07
1813,7.476928232108548e-08,1.4666282766029326e-07
1814,1.541871768040437e-07,2.1082737244881855e-07
1815,9.170560133497929e-08,3.560335026797645e-07
1816,2.410307988753857e-07,1.8540830559743426e-07
1817,3.3005717270384594e-07,2.8802156926133193e-07
1818,2.873003861481038e-07,1.6212801035031532e-07
1819,3.1363681074481065e-07,1.6458169627142638e-07
1820,4.2719332071783356e-08,2.622492294435119e-07
1821,3.944595405869222e-08,1.8046524097314887e-07
1822,3.709477880420309e-08,1.4336630727029842e-07
1823,9.882686669016039e-08,1.6009952408246875e-07
1824,6.315834522041541e-08,1.5747480386352208e-07
1825,1.2415675021415495e-07,1.4000654569024107e-07
1826,5.901349608983253e-08,1.1274219757773096e-07
1827,1.0415518819639757e-07,1.244331908623053e-07
1828,9.997808075867809e-08,1.6601865127086057e-07
1829,5.915491319008481e-08,1.697488791752022e-07
1830,8.453836830568662e-08,1.1480519646056564e-07
1831,6.704218602493484e-08,1.4187998065295915e-07
1832,4.329590330698352e-08,1.6371262878678294e-07
1833,5.096796640291501e-08,1.112028336081039e-07
1834,6.627516802026889e-08,1.1201437422059257e-07
1835,1.096647750387092e-07,9.907645193152348e-08
1836,8.736975087852983e-08,9.543464951633496e-08
1837,8.140732621342295e-08,1.8438410620547074e-07
1838,8.07956750392691e-08,9.78385112926361e-08
1839,6.571986876924285e-08,1.9506215576114982e-07
1840,2.802663096046487e-08,1.038259227481575e-07
1841,5.393260860131477e-08,6.227932214386556e-08
1842,1.4154439176294886e-07,8.318248623240265e-08
1843,3.780423196708682e-08,9.037573805992238e-08
1844,7.080243868973213e-08,6.256959939054951e-08
1845,7.868121487675239e-08,5.6918324276011845e-08
1846,6.732676283149885e-08,5.913046252636889e-08
1847,9.114547694366593e-08,5.3392915866368185e-08
1848,6.597081636527946e-08,5.3098462737821706e-08
1849,1.1144621780978525e-07,5.614208120618969e-08
1850,2.9192682049483665e-08,6.924775863836885e-08
1851,3.5471913850670944e-08,4.708090117766517e-08
1852,6.445440137170522e-08,6.185018008864063e-08
1853,5.912212475145395e-08,5.01642283268211e-08
1854,3.1693552504652445e-08,6.49458083978871e-08
1855,3.02495415382964e-08,4.563965916304369e-08
1856,2.1744195222161977e-08,6.730346002736809e-08
1857,3.1241656484048974e-08,7.175818694804548e-08
1858,2.4468380044329052e-08,8.025628561725284e-08
1859,3.208069188076479e-08,6.008764641407538e-08
1860,1.4463901010230984e-07,5.4926206916050546e-08
1861,3.159695793897299e-08,5.517677692523648e-08
1862,1.8975542942500923e-08,4.789065505272916e-08
1863,1.1487628293060936e-08,6.343168507116914e-08
1864,2.685047595374357e-08,6.32904075814622e-08
1865,1.3649848362717876e-08,5.0363233194961055e-08
1866,2.5301186923343266e-08,3.7465220259491616e-08
1867,1.9896527092555516e-08,7.036576477048584e-08
1868,2.2723421366777075e-08,6.4218362849644e-08
1869,1.465055732285947e-08,6.202069502414531e-08
1870,2.9243647947652107e-08,3.7271317587794783e-08
1871,2.6552942955504477e-08,4.142259157902117e-08
1872,2.4794092001734214e-08,5.624025500861052e-08
1873,2.7535620006347017e-08,1.149312859882734e-07
1874,4.421210775262807e-08,4.002988163165355e-08
1875,2.1741803024610817e-08,4.8632981530793984e-08
1876,1.753344314181504e-08,4.5345112109629326e-08
1877,3.030559980743419e-08,7.792867962042038e-08
1878,8.273551443949145e-08,9.904105335856173e-08
1879,1.649517855639715e-08,4.826366861720999e-08
1880,2.4387814878679137e-08,5.647704881539539e-08
1881,1.6734017838082593e-08,4.811030379636705e-08
1882,3.926677294430192e-08,4.059785041476971e-08
1883,1.8326083761621703e-08,4.170763850952497e-08
1884,2.1125430293977843e-08,4.423136790165927e-08
1885,1.418039830003437e-08,3.351730637479733e-08
