year,aux_ADP airs_NOUN
1800,1.5720823043352539e-07
1801,1.7620750725200196e-07
1802,2.0364345232337655e-07
1803,2.262393496987869e-07
1804,1.6808586700278738e-07
1805,1.478296409729296e-07
1806,2.4494187300660997e-07
1807,8.54086508184082e-08
1808,7.931259204951857e-08
1809,1.3102376783535874e-07
1810,1.8721014161116045e-07
1811,1.1783261077980001e-07
1812,9.601949813031752e-08
1813,1.35159851311073e-07
1814,1.384537871018665e-07
1815,4.855002422310406e-08
1816,9.270415368689555e-08
1817,1.4945985393755024e-07
1818,1.1563542035020191e-07
1819,1.8528379808202544e-07
1820,1.6257079860082513e-07
1821,1.3608853222102368e-07
1822,1.5639960793123464e-07
1823,9.388552868472289e-08
1824,1.2800091475639874e-07
1825,1.1799293964109836e-07
1826,1.2595417842042878e-07
1827,6.267745611410191e-08
1828,1.0823315454988602e-07
1829,9.51622528555518e-08
1830,1.7533884189013804e-07
1831,1.309661297188569e-07
1832,3.125422969318947e-07
1833,1.3089500561225265e-07
1834,1.1388127951761362e-07
1835,1.459675971204888e-07
1836,1.196293524241554e-07
1837,1.0715152298779174e-07
1838,1.205622943700746e-07
1839,1.3703291867894762e-07
1840,1.2038711361128662e-07
1841,8.154096420298629e-08
1842,1.3483613425790963e-07
1843,1.3290549683020458e-07
1844,1.3007890231619967e-07
1845,8.816759988761191e-08
1846,9.777017462297977e-08
1847,8.46736130100112e-08
1848,1.3757328987118456e-07
1849,9.133561951202296e-08
1850,1.1948632749891885e-07
1851,8.513259319720134e-08
1852,1.367214490510804e-07
1853,9.913406562311877e-08
1854,7.79349695889664e-08
1855,1.2895856826844465e-07
1856,9.629572161884425e-08
1857,1.0836950115056254e-07
1858,1.1598011928626306e-07
1859,1.5632971717138844e-07
1860,1.2587255593388136e-07
1861,1.6788831125325032e-07
1862,9.307051873630456e-08
1863,1.143768160183356e-07
1864,1.2466292620416652e-07
1865,1.0355057483701913e-07
1866,1.2942529759030208e-07
1867,1.1889387963037734e-07
1868,9.682153423451467e-08
1869,1.1573940161824225e-07
1870,1.0665330840708975e-07
1871,4.99195342840153e-08
1872,1.1066630678513434e-07
1873,1.4725570851581438e-07
1874,1.0216581447508588e-07
1875,1.0127102711976477e-07
1876,8.283040520140617e-08
1877,1.0576035047726862e-07
1878,1.600358487952036e-07
1879,1.4601287046112077e-07
1880,8.214843538745242e-08
1881,1.1295462259974798e-07
1882,1.2844893282348835e-07
1883,1.0742876366265364e-07
1884,1.558000528589787e-07
1885,1.0055191379532147e-07
1886,1.5423778870760074e-07
1887,1.3514874475095695e-07
1888,1.0842450848258522e-07
1889,1.2029062695928516e-07
1890,8.455158556630593e-08
1891,7.394095424828606e-08
1892,8.650546878818943e-08
1893,1.1146733691624888e-07
1894,1.102769380256774e-07
1895,1.3361324713301315e-07
1896,1.0614652418139414e-07
1897,7.982597916011969e-08
1898,1.0637707481553349e-07
1899,1.0668226124721514e-07
1900,1.1835600921550338e-07
1901,8.327221268089602e-08
1902,7.660042644630494e-08
1903,1.1880484729331897e-07
1904,7.524475620357407e-08
1905,8.463644651790503e-08
1906,1.116288048663705e-07
1907,1.1777111208477464e-07
