year,aux_ADP vivres_NOUN
1800,2.0122652699683385e-07
1801,2.1192525423430197e-07
1802,2.9315705774024536e-07
1803,1.735801902214007e-07
1804,1.5819846055364906e-07
1805,4.605461754181306e-07
1806,5.388721433519095e-07
1807,3.074711401040986e-07
1808,1.8808414381510374e-07
1809,3.3207749083885574e-07
1810,1.661489932303084e-07
1811,2.5321475050077424e-07
1812,3.280666192040371e-07
1813,2.674439656402683e-07
1814,2.4229413497778296e-07
1815,3.209696046724275e-07
1816,1.6918508549679245e-07
1817,1.6814232139950036e-07
1818,3.492905022994819e-07
1819,2.1944225636616466e-07
1820,4.046470110097289e-07
1821,4.536284734513174e-07
1822,3.458837340986065e-07
1823,5.90984654991189e-07
1824,3.8400273183469835e-07
1825,4.499581507388939e-07
1826,3.4174979646195425e-07
1827,5.134020852892718e-07
1828,4.4027046897099353e-07
1829,3.58358761332056e-07
1830,3.454592558682634e-07
1831,2.977920416924462e-07
1832,2.5030442429851973e-07
1833,2.9074908525217324e-07
1834,3.03372246435174e-07
1835,4.1370091707904066e-07
1836,4.1198197209268983e-07
1837,4.59220814263972e-07
1838,5.535766263164987e-07
1839,5.439367782855697e-07
1840,3.821813265858509e-07
1841,2.3370796498056734e-07
1842,2.1801861294079572e-07
1843,2.728992853917589e-07
1844,2.639997944697825e-07
1845,4.2632942154341436e-07
1846,2.8160150122857885e-07
1847,2.7235779498369084e-07
1848,3.5962142419521115e-07
1849,2.0613360618426668e-07
1850,3.197617104433448e-07
1851,5.340135089682008e-07
1852,3.3268887023041316e-07
1853,3.4696924444688193e-07
1854,2.410788226825389e-07
1855,2.0909331510665652e-07
1856,2.857808567569009e-07
1857,3.1192843152894056e-07
1858,2.745352105648635e-07
1859,2.3882293476162886e-07
1860,2.97974679597246e-07
1861,2.725826959704136e-07
1862,2.3132089665978128e-07
1863,3.4812507010428817e-07
1864,2.8912208449582977e-07
1865,5.634092872242036e-07
1866,2.676086978681269e-07
1867,2.499197933047981e-07
1868,2.707051010020223e-07
1869,2.353856274339705e-07
1870,2.993173495724477e-07
1871,4.152880421770533e-07
1872,3.743303125247621e-07
1873,3.76519693645605e-07
1874,4.63032222342008e-07
1875,2.3343831401234638e-07
1876,2.7690748538589105e-07
1877,3.0738536338503764e-07
1878,2.2767363816456054e-07
1879,2.6514470619076747e-07
1880,2.843106017280661e-07
1881,2.8308380706221214e-07
1882,2.3094186474281742e-07
1883,2.1928106264113012e-07
1884,3.914806256943848e-07
1885,1.8950169078379986e-07
1886,2.7040013605983404e-07
1887,3.035949873719801e-07
1888,2.3713899111044157e-07
1889,2.3682217431542085e-07
1890,3.4672703463911603e-07
1891,2.1672347827461635e-07
1892,2.3444236774139426e-07
1893,2.3032477258766448e-07
1894,2.6844557510230516e-07
1895,2.8287487907618925e-07
1896,2.3175323349278187e-07
1897,3.053197872304736e-07
1898,2.438750925648492e-07
1899,2.393441320691636e-07
1900,2.3723113429241494e-07
1901,2.3528590986643394e-07
1902,2.293102596695462e-07
1903,3.1483284601563355e-07
1904,1.7306292932062206e-07
1905,2.1623580437335477e-07
1906,1.8724831818417442e-07
1907,2.1548514439473365e-07
1908,1.601112842308794e-07
1909,2.040864899299777e-07
1910,1.9399267614517157e-07
1911,2.1015478068875382e-07
1912,2.0889778795663005e-07
1913,2.0522570309822186e-07
1914,2.3170733243205177e-07
1915,2.6860138291340263e-07
1916,1.5712070933204814e-07
1917,2.8403039209479175e-07
1918,3.078348811413889e-07
1919,2.3019620698505605e-07
1920,2.021785832084788e-07
1921,1.3933855314007815e-07
1922,1.4091857281073317e-07
1923,1.4968486539146397e-07
1924,2.0239851039605128e-07
1925,1.9576756926653616e-07
1926,1.7610898339626146e-07
1927,1.4939961090476572e-07
1928,1.451107181082989e-07
1929,1.8381670940925687e-07
1930,1.8381305721959507e-07
1931,1.916099847676378e-07
1932,1.764485375588265e-07
1933,1.7779525762762205e-07
1934,1.4258080227591563e-07
1935,1.603750092726841e-07
1936,1.733834125161593e-07
1937,2.1908545022597536e-07
1938,1.6465821772726486e-07
1939,1.514111005462837e-07
1940,2.155415472770983e-07
1941,1.3872062254449702e-07
1942,1.0012898599143227e-07
1943,1.683876433844489e-07
1944,1.6708568750800623e-07
1945,2.047793827841815e-07
1946,1.9211124424600712e-07
1947,1.8238932852909784e-07
1948,1.174163912764925e-07
1949,1.4332832165564469e-07
1950,1.510221352418739e-07
1951,2.484106573774625e-07
1952,1.0861148069807314e-07
1953,1.2389901371534506e-07
1954,9.479359874831061e-08
1955,8.91632723210023e-08
1956,1.377940321845017e-07
1957,1.0336994193949067e-07
1958,1.2904699531191e-07
1959,1.1781136777244683e-07
1960,1.245749956524378e-07
1961,1.3687873945400497e-07
1962,1.2747332789331267e-07
1963,1.1380253539527985e-07
1964,1.3080531857667665e-07
1965,1.1546011791097044e-07
1966,1.0358069602034448e-07
1967,1.1684895184771449e-07
1968,1.0644655645819512e-07
1969,1.0854801502091505e-07
1970,9.565348335627277e-08
1971,1.2178001895790658e-07
1972,1.0978514097814696e-07
1973,9.868634975873647e-08
1974,1.1026120461110622e-07
1975,7.938957224951082e-08
1976,1.0741430855887302e-07
1977,8.81517294715195e-08
1978,1.0930688176813419e-07
1979,1.217210439108385e-07
1980,8.811983320811123e-08
1981,8.159958753140018e-08
1982,9.000878264942003e-08
1983,8.967748499344452e-08
1984,7.654691103198275e-08
1985,9.865514982720924e-08
1986,8.452224165012012e-08
1987,9.96063178604345e-08
1988,8.994830835717949e-08
1989,1.1360413054717355e-07
1990,6.429408472286013e-08
1991,7.268216961620055e-08
1992,8.926109273943439e-08
1993,1.0635278613335686e-07
1994,9.653115995433836e-08
1995,1.1224473439597205e-07
1996,1.1316755177404048e-07
1997,8.151320685101382e-08
1998,9.393214384090243e-08
1999,9.551720125955399e-08
2000,8.12917804182689e-08
2001,7.623308562187958e-08
2002,8.937691831079064e-08
2003,9.542253565086867e-08
2004,8.192911593596364e-08
2005,7.791486922315016e-08
2006,1.0253545923433194e-07
2007,8.228627734752081e-08
2008,7.5356680895311e-08
2009,7.009243319089364e-08
2010,7.274640978494062e-08
2011,7.456745265699283e-08
2012,7.489355624556993e-08
2013,7.865332918299828e-08
2014,8.66178098135606e-08
2015,8.666809492297034e-08
2016,1.2428040463419165e-07
2017,5.4337203181376026e-08
2018,9.060948258365897e-08
2019,6.658078177679272e-08
