year,certaines_DET allées_NOUN,certaines_DET vallées_NOUN
1800,6.288328968651058e-09,2.5153315874604232e-08
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,1.950339223455444e-09,5.655983770225248e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,4.5486043376286034e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,2.8469550272802735e-08
1808,2.2660739951163578e-09,4.758755522971114e-08
1809,0.0,4.51806094758922e-08
1810,0.0,5.616304221689461e-08
1811,2.5070767684098882e-09,6.267692054251484e-08
1812,8.00162425207418e-09,3.200649700829672e-08
1813,0.0,6.614205716459765e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,3.9399266071882266e-08
1817,0.0,4.9819948721996354e-08
1818,8.344824387052086e-09,4.887682791832049e-08
1819,0.0,5.072014630513877e-08
1820,5.933240565525466e-09,4.9839222526770754e-08
1821,9.86148829262845e-10,3.0570614484304315e-08
1822,4.010246357211145e-09,2.3058916553964082e-08
1823,9.882686891060644e-10,1.3835761869529506e-08
1824,0.0,4.463189728909356e-08
1825,8.805443041381977e-10,2.553578504205234e-08
1826,1.145037931138404e-08,2.8185549894033102e-08
1827,1.8434546111834038e-09,6.544264152807955e-08
1828,7.337841001486822e-09,5.595103758082587e-08
1829,0.0,7.630126930280312e-08
1830,1.0436835840010872e-09,6.575206867864836e-08
1831,0.0,1.3564348932959547e-07
1832,9.470978667991403e-09,7.712082350508354e-08
1833,0.0,8.687721531064341e-08
1834,4.667265685043276e-09,6.160790522180548e-08
1835,1.5126175867408165e-09,1.3840451629221207e-07
1836,6.720750067579218e-10,9.946710333164077e-08
1837,1.3915781860163179e-09,7.097048948523366e-08
1838,6.312161904276081e-10,7.006499913586595e-08
1839,1.3982950353153e-09,9.368577025270497e-08
1840,1.9109065441114126e-09,7.38883869644269e-08
1841,1.926164561183441e-09,5.585877049796295e-08
1842,0.0,4.092041772096877e-08
1843,2.3627644285539873e-09,5.729703833612376e-08
1844,6.0374173438404455e-09,5.927646107295459e-08
1845,1.1160455892778032e-09,7.19849424513086e-08
1846,4.6836010625384006e-09,5.795956425913573e-08
1847,5.393223645455691e-10,7.766241871820512e-08
1848,1.769948809737798e-08,9.332457495681012e-08
1849,1.6758829879393033e-09,6.703531596485846e-08
1850,7.467895635215882e-09,4.6844071732721204e-08
1851,1.2898877521649865e-09,8.964719855342196e-08
1852,1.3021090872200602e-09,5.4037528229855525e-08
1853,1.7318601663873778e-08,4.120633079196523e-08
1854,5.7152309551611324e-09,6.650450501410887e-08
1855,6.368324534378189e-09,9.28714030123956e-08
1856,5.694908100650764e-09,5.0736453260924463e-08
1857,7.322263684272912e-09,6.980558187041908e-08
1858,4.893676130990343e-09,7.87881839769966e-08
1859,3.055304009791371e-09,9.675129009067973e-08
1860,5.492620580582752e-09,4.577184053999872e-08
1861,5.187560159214399e-09,5.1404005718680423e-08
1862,2.2589932147099034e-09,6.370360972063338e-08
1863,1.9978483312144135e-09,6.592899437496413e-08
1864,7.671564605793435e-09,6.233146310208326e-08
1865,9.41368871743009e-10,8.707662146889561e-08
1866,5.352174259343201e-09,7.298419585355376e-08
1867,1.261730986357179e-08,7.813026492442532e-08
1868,7.903798504571569e-09,8.891773140007331e-08
1869,1.1720446391194628e-08,9.425191738188232e-08
1870,7.454262984651905e-09,1.3417673727644797e-07
1871,9.559059321873065e-09,8.072094459521395e-08
1872,1.1489944995446422e-08,1.2397045456857825e-07
1873,4.190203295451056e-09,9.457886962493944e-08
1874,8.364453130127458e-09,1.0575058073669652e-07
1875,1.716458086775674e-09,5.89317288302027e-08
1876,9.069021977836655e-09,9.431783176694353e-08
1877,6.184816214727107e-09,1.1874846450599108e-07
1878,4.22736201599605e-09,9.481369289687791e-08
1879,3.0546627449723474e-09,1.142443832868878e-07
1880,5.134277003548959e-09,1.0268554184733603e-07
1881,1.5339516323820135e-08,1.23413383068538e-07
1882,3.9932310791357395e-09,9.983077475794744e-08
1883,8.21514056781325e-09,1.4028932993070953e-07
1884,6.601696966868076e-09,1.181703774832954e-07
1885,4.511945039809007e-09,1.1022036838781446e-07
1886,1.3552273858685737e-08,8.905780379819817e-08
1887,1.9586773869484375e-09,8.161155840014089e-08
1888,1.7119659689868172e-08,1.0969263541937835e-07
1889,1.4409814397264853e-08,1.1903759755682586e-07
1890,5.898947996740844e-09,1.0421474172517264e-07
1891,6.374220151705856e-09,9.56133003882087e-08
1892,6.8953636134239105e-09,9.590824046057378e-08
1893,3.695050043717174e-09,9.545545598399485e-08
1894,7.561847370496366e-09,1.2224986001285743e-07
1895,7.824198844375019e-09,1.0893692259372756e-07
1896,2.358811590497112e-09,1.0968474217776247e-07
1897,6.409385022720926e-09,1.375104350387346e-07
1898,4.526684027617023e-09,1.4145887039518357e-07
1899,6.633094074004475e-09,1.9291248243291648e-07
1900,1.4534948578059925e-08,1.292572173738904e-07
1901,3.353243460679778e-09,1.5257257546252845e-07
1902,9.329538919189417e-09,1.311045765284291e-07
1903,4.320176216765503e-09,1.3122535058585072e-07
1904,4.299700151477737e-09,1.1125474230766486e-07
1905,1.9610883583709438e-08,1.661764450489045e-07
1906,1.0288368990085672e-08,1.6049854956179388e-07
1907,7.199980611716228e-09,1.439996184515735e-07
1908,1.1787333775714615e-08,1.4635939127316533e-07
1909,1.3752458505322807e-08,1.4632616007759225e-07
1910,1.068830179917768e-08,1.159680698137322e-07
1911,1.59611229788581e-08,1.1492008233915385e-07
1912,8.856016364688912e-09,1.1043973113800121e-07
1913,1.6439267724877027e-08,1.0128710470347357e-07
1914,7.366418142140674e-09,1.017905013611653e-07
1915,4.712304768617059e-09,9.188994454234489e-08
1916,0.0,9.778841247864989e-08
1917,4.386569774084137e-09,8.773139237305827e-08
1918,1.4932290071101306e-08,8.499918724425015e-08
1919,1.8415696745321952e-09,9.852398008547425e-08
1920,1.817335615328375e-08,1.1055458237763105e-07
1921,1.4388220004324381e-08,1.0450391219052335e-07
1922,5.164555005876537e-09,9.443757509330908e-08
1923,8.492758496458919e-09,1.0085150803362808e-07
1924,1.804827398643738e-08,1.5985614165714424e-07
1925,6.598906754362588e-09,1.5947358011914048e-07
1926,7.802296586589819e-09,1.2149290817831115e-07
1927,1.6723837870102898e-08,9.588333504950697e-08
1928,1.1426041446327417e-08,1.3368467843832832e-07
1929,1.1140405931087116e-08,1.1363214502679853e-07
1930,5.2518016602221e-09,1.1659000165309408e-07
1931,4.5621426636444085e-09,1.6195606988844702e-07
1932,1.6439305028370654e-08,1.4904969369844423e-07
1933,4.588264879146209e-09,1.2732434440110296e-07
1934,3.5944740517379614e-09,8.746553525895706e-08
1935,7.180970484910176e-09,8.736847156853855e-08
1936,1.333718602225531e-08,1.2003467553256542e-07
1937,1.2591117926064044e-08,1.208747333336646e-07
1938,9.075650453382877e-09,1.1668692678767911e-07
1939,1.2235240376412548e-08,1.2235240287594706e-07
1940,2.5357829169792012e-09,1.3946805665909778e-07
1941,2.9515025978810172e-09,1.5052664004144845e-07
