year,vingt - trois voix
1800,6.889536940946073e-09
1801,2.614982896886886e-09
1802,4.927008578903269e-09
1803,6.4285670120511895e-09
1804,1.9028838948997873e-08
1805,0.0
1806,1.2639726598706602e-08
1807,0.0
1808,0.0
1809,2.4709592150173876e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.1825670220844131e-08
1816,0.0
1817,6.824494303003803e-09
1818,0.0
1819,1.1306090508256261e-09
1820,6.474363267727767e-09
1821,1.2960386541749358e-08
1822,1.2061239118565936e-08
1823,2.159174394833485e-09
1824,3.858766106645817e-08
1825,3.267639581139292e-08
1826,3.267600978684726e-08
1827,1.1066719984853535e-08
1828,5.813402736976059e-08
1829,2.1540635941619257e-08
1830,1.2555313233519882e-08
1831,8.557241137907567e-09
1832,7.4131363270169e-09
1833,1.267378002545172e-08
1834,7.160120496507716e-09
1835,1.6599210894696625e-09
1836,1.3218281580407165e-08
1837,3.340034715471063e-08
1838,1.995850418268219e-08
1839,1.8342188212727706e-08
1840,1.739634791775302e-08
1841,1.4741559972719642e-08
1842,6.601687196905459e-09
1843,2.1298788066559382e-08
1844,1.4959934846459078e-08
1845,1.7081133396601444e-08
1846,1.2172549301858737e-08
1847,3.769983791812592e-08
1848,2.6427048993582503e-08
1849,1.9265844031224333e-08
1850,2.377621299842758e-08
1851,1.1293709967219456e-08
1852,1.4980416906951177e-08
1853,1.6996310137074033e-08
1854,1.704955254755447e-08
1855,1.3962690559310431e-08
1856,1.0208052181326366e-08
1857,1.7654000927791458e-08
1858,1.0185877030721713e-08
1859,1.226337342785655e-08
1860,2.0573726333683595e-08
1861,9.294918612567926e-09
1862,9.90216975083058e-09
1863,1.2061748932978844e-08
1864,1.8898342446505012e-08
1865,7.739408225404532e-09
1866,2.0823295088234772e-08
1867,4.20543225798653e-08
1868,1.5688742749375706e-08
1869,6.964506304996121e-09
1870,1.5079891113600752e-08
1871,1.3997911163521337e-08
1872,8.623564973220255e-09
1873,6.560424314905333e-09
1874,1.311032871154083e-08
1875,1.886091061109596e-09
1876,7.304914451111699e-09
1877,2.042268043567219e-08
1878,9.30557231271223e-09
1879,2.419390432439883e-08
1880,2.1200948552291266e-08
1881,5.3790749632298684e-09
1882,5.862106799980893e-09
1883,1.184323572545054e-08
1884,3.637421253088746e-09
1885,7.812292146525124e-09
1886,5.689170023970291e-09
1887,5.0418367258942e-09
1888,1.6773646693835076e-08
1889,4.1484371493538674e-09
1890,4.337384673647193e-09
1891,5.621765719610039e-09
1892,1.3834376977328589e-09
