year,quelques_DET iles_NOUN,quelques_DET villes_NOUN
1800,3.458580977167003e-08,1.5783706075467308e-06
1801,6.667311325259107e-08,1.614441742958661e-06
1802,4.699464284385613e-08,1.855169529108025e-06
1803,5.460949736857401e-08,1.9600909695327573e-06
1804,9.145848367531073e-08,1.8934378758217463e-06
1805,2.2743021688143017e-08,2.5642757464083843e-06
1806,1.4408345627714425e-08,1.5532196897538597e-06
1807,8.540865792383556e-09,1.6597748881963525e-06
1808,9.064295980465431e-09,2.6173155731612496e-06
1809,2.936739762482432e-08,2.631770570360459e-06
1810,3.510190094146992e-08,1.2098455073328296e-06
1811,3.008491944456182e-08,2.1159727623398794e-06
1812,5.3344164641089264e-09,1.5949904650369717e-06
1813,2.0130190847567064e-08,1.4838826558616347e-06
1814,1.5733386149463513e-08,2.4323813505588987e-06
1815,2.4275012222574333e-08,2.1577788089643946e-06
1816,2.3176038865813098e-08,1.1657546963306231e-06
1817,5.2933695871004716e-08,1.866691256680042e-06
1818,2.3842354535119625e-08,1.9014278294093856e-06
1819,1.9666995143552413e-08,2.402478642693495e-06
1820,2.966620371580575e-08,2.0315415696359196e-06
1821,9.861488403650753e-09,2.083732368873825e-06
1822,2.3058916553964082e-08,2.326945434560912e-06
1823,4.150728605267773e-08,2.2423815408956216e-06
1824,3.705289497446529e-08,1.6370642725860307e-06
1825,2.377469621173134e-08,2.0049993594284388e-06
1826,2.113916308665864e-08,2.0320019729069827e-06
1827,4.4242909502667516e-08,1.8139593223054362e-06
1828,5.411657844067719e-08,1.9014180594467689e-06
1829,7.372931309923558e-08,2.170728279793366e-06
1830,5.114049561605327e-08,1.8013979001807456e-06
1831,1.5591206325993312e-08,1.5949803682246966e-06
1832,5.0060886991332154e-08,1.5830064512556419e-06
1833,1.0077756618098732e-07,1.3066332584799056e-06
1834,5.8807546166050884e-08,2.0311939863404405e-06
1835,4.9160071569076536e-08,1.9890921265641737e-06
1836,4.032449923974113e-08,1.9281831811213124e-06
1837,4.5226292488820263e-08,2.0066557908648974e-06
1838,6.249040485073465e-08,2.484466932628493e-06
1839,5.8728391039153394e-08,2.1596667068024544e-06
1840,6.560779208797385e-08,2.0695118223557074e-06
1841,5.585877094205216e-08,1.634029615615873e-06
1842,3.6224632182779715e-08,1.7636028317724595e-06
1843,3.7804230856863796e-08,1.7945195338597841e-06
1844,3.677335985718955e-08,2.253054404377508e-06
1845,3.9061595402678506e-08,1.6941572056339282e-06
1846,4.683601084742861e-08,2.0760060976954264e-06
1847,4.0988498817284835e-08,1.8541902591096004e-06
1848,5.390298735141741e-08,1.807761279337683e-06
1849,5.7817962639816756e-08,1.2527224839686824e-06
1850,4.412847331991543e-08,1.744093076183617e-06
1851,3.1602249261908355e-08,1.6787889407510193e-06
1852,4.036538281404489e-08,1.6836270262388098e-06
1853,4.001194309211087e-08,1.4738727927010586e-06
1854,3.325225317318825e-08,1.4953122615679604e-06
1855,4.8823821430232783e-08,1.3760888464275922e-06
1856,2.6403664143970218e-08,1.215604015669669e-06
1857,2.3431243612037633e-08,1.4341873963985563e-06
1858,1.517039577292323e-08,1.440208805547627e-06
1859,1.7822606501738392e-08,1.4288638894299766e-06
1860,2.1970483377042882e-08,1.4152652738630422e-06
1861,2.1693433105429705e-08,1.273310175520237e-06
1862,2.25899317307654e-08,1.2799455504364232e-06
1863,1.8480097063733325e-08,1.3170815265084457e-06
1864,2.0617330287464597e-08,1.2907407267448434e-06
1865,1.8827377157304426e-08,1.2553154178363002e-06
1866,2.6760870741604492e-08,1.1677471007942586e-06
1867,1.1161466417775046e-08,1.231643537380478e-06
1868,1.8771521115290568e-08,1.18952171490605e-06
1869,1.416220518635214e-08,1.0016097533593893e-06
1870,1.204150290590178e-08,1.24830238235063e-06
1871,1.5931766128574054e-08,1.2543610097281999e-06
1872,1.6932549695702903e-08,1.1127104571073687e-06
1873,2.8134221785602875e-08,1.1882219368430924e-06
1874,1.3144140331711185e-08,1.0999255373178585e-06
1875,1.2015206996007777e-08,1.1305737643851899e-06
1876,2.2974855795609983e-08,1.097956271678413e-06
1877,2.5976226503132693e-08,1.0186391961042318e-06
1878,2.1136810302024855e-08,1.2428444051693077e-06
1879,3.8488748299592146e-08,1.1033440898700064e-06
1880,2.1820677487127682e-08,1.0756310686588222e-06
1881,2.789002989667111e-08,9.378022909345418e-07
1882,1.9966155617723302e-08,1.006294247929418e-06
1883,1.5166413291911596e-08,1.0919817547971888e-06
1884,2.5086449362277108e-08,1.1546367701953386e-06
1885,1.4180398244523218e-08,1.0789993751814109e-06
1886,2.7104548327994138e-08,1.0770831337936215e-06
1887,1.8280988667296327e-08,8.931568729053652e-07
1888,1.5851536305788727e-08,9.599690358186308e-07
1889,1.691586909435827e-08,1.152785159774794e-06
1890,2.3595791043273806e-08,9.097488344878002e-07
1891,2.740914517573856e-08,9.529458964152582e-07
1892,2.19397926493059e-08,9.095611517295765e-07
1893,2.7712874106633478e-08,8.929703838589376e-07
1894,1.2603078136663726e-08,8.576395060799769e-07
1895,9.027921521465032e-09,7.469100609114321e-07
1896,1.2973463803245266e-08,7.418462395492043e-07
1897,1.631479740193953e-08,7.027016799554531e-07
1898,1.2448381103702388e-08,6.62027503040008e-07
1899,1.6029977345510815e-08,7.572782436682246e-07
1900,1.609226463195057e-08,7.724286987809137e-07
1901,1.5089595462036698e-08,7.70128199434339e-07
1902,9.329539363278627e-09,6.270432351129784e-07
1903,1.674068261792172e-08,7.365900458466967e-07
1904,1.7198800605910947e-08,7.519100506669929e-07
1905,2.270733934217617e-08,7.431493074250284e-07
1906,2.1605575717398295e-08,6.157588749999832e-07
1907,8.742833679242779e-09,7.421122845130412e-07
1908,2.9468334439286537e-09,7.759994886669119e-07
1909,7.70137675853988e-09,6.881730634233918e-07
1910,9.085056262847502e-09,6.974116892877191e-07
1911,1.2236860857939291e-08,8.150813357588049e-07
1912,7.814131675054625e-09,7.715152605669573e-07
1913,1.1666577537372547e-08,7.222672060436253e-07
1914,1.2054139020278853e-08,6.716833915731968e-07
1915,1.5314990053916233e-08,6.255584743541931e-07
1916,5.493731025651982e-09,6.515565278419899e-07
1917,1.425635154372884e-08,5.351615293136547e-07
1918,1.72295644418341e-08,5.995888265886151e-07
1919,7.366278753639932e-09,6.169258277566314e-07
1920,9.086678076641874e-09,6.322813543846451e-07
1921,9.844571879913389e-09,5.452378175618833e-07
1922,8.853522970309058e-09,4.589075999206216e-07
1923,3.1847844361720945e-09,5.159350848771282e-07
1924,1.5469949210533684e-08,5.066408474974082e-07
1925,7.698724546756353e-09,5.664061859533831e-07
1926,4.458455493683289e-09,5.840576804416742e-07
1927,8.919379901328739e-09,4.950255956259753e-07
1928,1.599645738092903e-08,5.335960970853648e-07
1929,6.684243825105796e-09,5.336254638166338e-07
1930,7.352522701786768e-09,5.230794783983583e-07
1931,6.843213995466613e-09,5.189437430885846e-07
1932,6.575722188983946e-09,5.293456268873342e-07
1933,4.588264879146209e-09,4.943855387296026e-07
1934,5.990790086229936e-09,5.427656049050711e-07
1935,1.0771455727365264e-08,4.464169922613337e-07
1936,1.333718602225531e-08,5.274251080322756e-07
1937,7.554670999887492e-09,4.6209402881913775e-07
1938,1.8151300351654243e-08,4.887885722837382e-07
1939,6.117620188206274e-09,4.848213848163141e-07
1940,5.0715658339584024e-09,5.756227494657651e-07
1941,0.0,4.574828942338627e-07
1942,1.2136847082899749e-08,5.036791517198935e-07
1943,5.806470415592457e-09,6.358085080648834e-07
1944,6.4263723231761105e-09,4.72338378187942e-07
1945,8.714016175304096e-09,4.4441481961143836e-07
1946,1.6705325123211878e-08,5.164729657280986e-07
1947,1.0728784083369192e-08,4.89947797888135e-07
1948,9.784698828951832e-09,4.4574740698521964e-07
1949,1.2762110923603132e-08,4.437287817182778e-07
1950,4.2541445921528975e-09,4.445581183176728e-07
1951,8.529121409139861e-09,4.5204343024352056e-07
1952,7.381362521208246e-09,4.355003930811563e-07
1953,1.1851209791302608e-08,4.0294113645700236e-07
1954,4.886268278880834e-09,4.925358254581624e-07
1955,1.2201290200408721e-08,4.3079939260337596e-07
1956,2.703553869665143e-08,3.6890429555569426e-07
1957,1.4136059989233729e-08,4.011107055390539e-07
1958,8.272243445794913e-09,4.93025723358187e-07
1959,1.0851046838844525e-08,3.735860492071197e-07
1960,4.844583401109048e-09,4.228629206792789e-07
1961,1.04222386276831e-08,3.995191431016565e-07
1962,1.331810839388936e-08,4.3505819924405387e-07
1963,1.2285501060915749e-08,4.3063913857110947e-07
1964,4.8671746077921796e-09,4.994938009872385e-07
1965,1.1491291085352628e-08,5.253161869944734e-07
1966,1.4401594583546284e-08,4.879924837553062e-07
1967,7.395503098805989e-09,5.438160020077021e-07
1968,1.2126822879210408e-08,5.852315076992909e-07
1969,5.450109141769133e-09,6.576465239049867e-07
1970,9.197450273612517e-09,5.352915923850787e-07
1971,9.249115584530898e-09,5.446701401012888e-07
1972,3.5911026929902334e-09,5.725243603649233e-07
1973,4.961883459664307e-09,4.7303289107958335e-07
1974,1.2376257685353664e-08,5.304914196813115e-07
1975,3.998036124386317e-09,5.220292713659092e-07
1976,5.713526762818333e-09,4.1537341743946854e-07
1977,1.2928920267718524e-08,5.535928284672309e-07
1978,1.1881182926387623e-08,5.132671141439005e-07
1979,9.363157360553487e-09,4.781062106218315e-07
1980,9.096240982664483e-09,4.872174201864254e-07
1981,6.3255494731073725e-09,4.3140248884299126e-07
1982,8.069752754913395e-09,4.2645539721775094e-07
1983,5.052252727288931e-09,4.76806365057314e-07
1984,9.278413815039244e-09,4.0303108583827907e-07
1985,9.02333718855175e-09,4.854555477606937e-07
1986,5.395036861699509e-09,3.89641549247699e-07
1987,8.555143538035992e-09,4.925318517479127e-07
1988,4.7972429917386705e-09,4.779253526265848e-07
1989,2.7440609784434855e-09,4.7362493660330074e-07
1990,2.7243255429354463e-09,4.7239803180332274e-07
1991,1.7584395606284886e-09,4.0092420761084213e-07
1992,4.95894991736634e-09,4.3418360462510464e-07
1993,3.323524566667402e-09,4.4922973430061575e-07
1994,3.164956019485743e-09,5.00063048747279e-07
1995,4.880205572987961e-09,4.283736050325615e-07
1996,1.0142375161947825e-08,4.478659363371662e-07
1997,3.835915585170824e-09,4.698996534102662e-07
1998,2.8608774238492174e-09,4.6346214865877755e-07
1999,3.1991407856146736e-09,4.76671976556986e-07
2000,3.0926219363180962e-09,4.5770805634504086e-07
2001,8.762423564512289e-10,3.96937785751561e-07
2002,1.752488598683044e-09,4.1227293756662675e-07
2003,1.2500768753476166e-09,4.3377666969490747e-07
2004,1.7619165015858584e-09,4.5677686344447466e-07
2005,1.8014998381943315e-09,4.2740582273381733e-07
2006,4.1178899179428186e-10,4.031414135852174e-07
2007,1.9972397624634652e-09,4.0184464822345944e-07
2008,2.1287198115338413e-09,3.8189234352614676e-07
2009,9.53638501499654e-10,3.5332307568580745e-07
2010,4.723793023408973e-10,3.297207644692435e-07
2011,0.0,2.8373871430176223e-07
2012,1.3617010852229328e-09,2.941274352963319e-07
2013,1.9523875849358774e-09,2.571573292087237e-07
2014,0.0,2.8020861542188413e-07
2015,6.649726186358507e-10,3.3315127367927744e-07
2016,8.285360175719347e-10,3.3493568096787385e-07
2017,2.0124890642847504e-09,2.3068156451699906e-07
2018,7.744400121190154e-10,2.4730450576271323e-07
2019,5.1019755087367e-10,2.4693560796151814e-07
