year,aux_ADP yeux_NOUN,aux_ADP vieux_NOUN
1800,3.5525915563994204e-05,3.144164484325529e-09
1801,3.640590210807204e-05,2.3811825400343878e-08
1802,3.013923094385973e-05,1.7902721083373763e-08
1803,3.072759488986776e-05,1.950339267864365e-08
1804,3.60321719199419e-05,9.887403784603066e-09
1805,3.384161607300484e-05,3.1271654599152043e-08
1806,3.091166399826761e-05,1.729001475325731e-08
1807,2.8720083264488494e-05,3.4163460504998966e-08
1808,3.115625190730498e-05,2.2660739507074368e-08
1809,3.07928455072215e-05,2.484933525614963e-08
1810,3.9059055211509985e-05,0.0
1811,2.7114034764963435e-05,5.0141535368197765e-09
1812,2.7826983568957075e-05,1.3336040716183106e-08
1813,3.295887449894508e-05,8.627224934443234e-09
1814,3.4383739489385334e-05,3.1466771410748606e-09
1815,3.430598565046239e-05,2.697223555614414e-09
1816,3.066421697894839e-05,1.1588019432906549e-08
1817,3.429013736422348e-05,1.2454987263765815e-08
1818,3.4840833279758954e-05,1.6689648552059566e-08
1819,3.736832661616063e-05,1.6561680249438382e-08
1820,3.428701131724665e-05,2.4919610375206958e-08
1821,3.6753767972186324e-05,3.944595206029078e-09
1822,3.3558745712980453e-05,3.408709403629473e-08
1823,3.2219534261912486e-05,2.0753641694071234e-08
1824,3.3167395031341584e-05,3.3684450784221553e-09
1825,3.443544648007446e-05,2.0252519661312363e-08
1826,3.087462789608253e-05,3.5231937367541377e-09
1827,2.995337223410388e-05,2.027800155568471e-08
1828,3.177927248998458e-05,2.3847982533187206e-08
1829,3.303587550362863e-05,1.8003669499666586e-08
1830,3.366296937201696e-05,8.349468672008697e-09
1831,3.0487044341498404e-05,0.0
1832,3.404005167340074e-05,1.2176972430388844e-08
1833,3.230326478842471e-05,2.3167256557599103e-08
1834,3.1475105288336636e-05,3.54712175187899e-08
1835,3.2047827744463575e-05,1.9664028627630614e-08
1836,3.0221868428270682e-05,2.9571300741437767e-08
1837,2.9352557874062768e-05,4.5922079472404675e-08
1838,2.8857941060778103e-05,1.8936486601006663e-08
1839,3.083310468809941e-05,3.0762490554892e-08
1840,3.2254192888103717e-05,1.783512793007702e-08
1841,3.1049772587721236e-05,8.346713098461578e-09
1842,3.257868797845731e-05,2.6162232824589182e-08
1843,3.359850995821034e-05,2.362764500718484e-08
1844,3.509111695620959e-05,1.7014540221182983e-08
1845,3.355725880282989e-05,2.1204865974233655e-08
1846,3.277408450230723e-05,1.5807153808111707e-08
1847,3.189930146163533e-05,3.343798660182529e-08
1848,2.969813203890226e-05,1.769948759777762e-08
1849,3.090998552579549e-05,3.2679717820727205e-08
1850,3.0018224606465083e-05,1.2220192857625989e-08
1851,3.083154251726228e-05,1.805842897439902e-08
1852,3.1054000487529265e-05,8.463709066930392e-09
1853,3.189130984537769e-05,2.6276499642818862e-08
1854,3.408355723877321e-05,1.8184825201217336e-08
1855,3.365500174368208e-05,1.6451505047143655e-08
1856,3.329295111598185e-05,2.070875670945327e-08
1857,3.0984402314970794e-05,3.5146865196011845e-08
1858,3.1430612693839066e-05,3.9638776427874944e-08
1859,3.4402213714201935e-05,2.291478007343528e-08
1860,3.416867741634633e-05,1.8766454251695208e-08
1861,3.418696246626496e-05,3.631292028183353e-08
1862,3.222227701371594e-05,3.2077702855071166e-08
1863,3.261437313994975e-05,1.598278714931567e-08
1864,3.349500900640123e-05,8.151037400594419e-09
1865,3.231248490465077e-05,2.4946274379544775e-08
1866,3.251591886055394e-05,2.2868380078477912e-08
1867,2.998940465204214e-05,4.610171089325377e-08
1868,2.976718781155796e-05,3.853101737671949e-08
1869,3.214967148323922e-05,4.9811895275198026e-08
1870,2.900625997881434e-05,2.695002887520559e-08
1871,2.6847150365938433e-05,4.0360473185785395e-08
1872,2.9111286039551487e-05,4.5959778094406545e-08
1873,2.6478492372916662e-05,5.447263973223926e-08
1874,2.5575509198461077e-05,5.018671467293956e-08
1875,2.7142352791997837e-05,9.783811127928033e-08
1876,2.5868478019219765e-05,4.7763514476883984e-08
1877,2.692497741918487e-05,3.710889684427343e-08
1878,2.6181865450780606e-05,3.140326099160262e-08
1879,2.7359391879144823e-05,3.1768492170236584e-08
1880,2.5916546860571543e-05,6.289489218325173e-08
1881,2.607787621400348e-05,5.996356400306269e-08
1882,2.627812250466377e-05,2.861815540100565e-08
1883,2.46334145685978e-05,6.572112509761752e-08
1884,2.525479249015916e-05,5.149323634157099e-08
1885,2.283366404753906e-05,5.4787902992181614e-08
1886,2.4327623350473004e-05,3.87207825247593e-08
1887,2.3269739472198125e-05,8.095866760315928e-08
1888,2.353192382997804e-05,3.5507442541771184e-08
1889,2.4507335410817177e-05,7.016953307292795e-08
1890,2.3258240844370448e-05,7.013193564775477e-08
1891,2.3143518092183513e-05,7.2028688236081e-08
1892,2.3080663027030823e-05,1.1659433396538077e-07
