year,ses_DET ânes_NOUN,ses_DET anes_NOUN,ses_DET vannes_NOUN
1800,1.2576657937302116e-08,0.0,3.144164484325529e-09
1801,1.1905912922216544e-08,0.0,0.0
1802,1.9021641151084623e-07,0.0,0.0
1803,5.655983770225248e-08,0.0,9.751696339321825e-09
1804,9.145848167690929e-08,2.4718509461507665e-09,0.0
1805,1.4214388555089386e-08,0.0,0.0
1806,2.305335300434308e-08,0.0,2.0171682990621775e-08
1807,2.2775640928784924e-08,0.0,0.0
1808,1.3596443970698147e-08,0.0,4.5321479902327155e-09
1809,4.292158095609011e-08,0.0,1.129515236897305e-08
1810,7.722418615685456e-08,2.3401267590372754e-09,1.6380887757350138e-08
1811,1.2786091252436904e-07,0.0,2.5070767684098882e-09
1812,3.7340913472405646e-08,0.0,1.3336041604361526e-08
1813,6.901780125190271e-08,0.0,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09,1.5733386149463513e-08
1815,5.1247248222807684e-08,0.0,2.697223555614414e-09
1816,2.0858434979231788e-08,0.0,2.3176038865813098e-09
1817,1.2454987263765815e-08,0.0,0.0
1818,2.741870774869426e-08,1.1921177378582115e-09,2.1458118837358597e-08
1819,6.521161566297451e-08,1.035105001712111e-09,1.5526575580793178e-08
1820,7.594547923872597e-08,1.1866481131050932e-09,7.119888678630559e-09
1821,7.691961201317099e-08,0.0,2.9584463767662328e-09
1822,3.0076847679083585e-08,0.0,1.0025615893027862e-09
1823,3.557767380701904e-08,0.0,9.882686891060644e-10
1824,4.6316120716483056e-08,1.6842225392110777e-09,1.0947446504872005e-08
1825,2.0252519661312363e-08,0.0,6.163809906922779e-09
1826,6.34174881497529e-08,0.0,8.807984341885344e-10
1827,2.7651818612639545e-09,0.0,7.373818444733615e-09
1828,2.8434133270138773e-08,0.0,1.8344602503717056e-09
1829,1.628903412154159e-08,8.57317605795771e-10,2.571952872898464e-09
1830,2.0873670791843324e-08,0.0,1.0436835840010872e-09
1831,3.4300654760954785e-08,0.0,3.1182412207897414e-09
1832,3.788391467196561e-08,0.0,3.788391467196561e-08
1833,1.7375443306377747e-08,0.0,2.4325620628928846e-08
1834,2.7070139019258477e-08,0.0,2.5203233278148218e-08
1835,2.4958190181223472e-08,7.563087933704082e-10,3.554651328840919e-08
1836,1.9490174807401672e-08,0.0,3.1587525484155776e-08
1837,2.7831564608504777e-08,0.0,9.74104708006962e-09
1838,5.680945847075236e-08,0.0,1.2624323808552163e-09
1839,3.2859933440931854e-08,0.0,3.4957374772659477e-09
1840,5.477932418784803e-08,6.369688665408546e-10,2.229391071750797e-08
1841,2.118781061710706e-08,6.420548537278137e-10,7.0626033910059505e-09
1842,6.64118249282808e-08,2.0124795163667386e-09,1.7441490030023488e-08
1843,9.451057714215949e-09,0.0,1.1813821920725331e-08
1844,4.061535463506516e-08,5.488561272137815e-10,1.866110821424627e-08
1845,2.5669049108500985e-08,0.0,3.4039391749729475e-08
