year,deux_DET iles_NOUN,deux_DET villes_NOUN
1800,3.45858084394024e-08,8.61501090021477e-07
1801,1.904946067554647e-08,9.786660655208834e-07
1802,1.5664880947952042e-08,1.609007000524798e-06
1803,5.851017448321727e-09,1.4217972506003207e-06
1804,3.707776485839531e-08,1.616590552089292e-06
1805,1.421438877713399e-08,1.267923448011743e-06
1806,2.305335300434308e-08,1.6079713667238593e-06
1807,1.4234775580490577e-08,9.024847997807228e-07
1808,2.7192888385485503e-08,1.3641764944338775e-06
1809,6.7770917766551975e-09,1.2402077373963039e-06
1810,5.616304044053777e-08,6.80976869560368e-07
1811,1.2535384286138651e-08,1.4892036190872204e-06
1812,1.0668832484128643e-08,1.0455455949909265e-06
1813,2.0130191291656274e-08,1.1186635191506866e-06
1814,1.5733386149463513e-08,1.5859252968652982e-06
1815,2.697223555614414e-09,1.9015425625212856e-06
1816,1.3905623319487859e-08,7.068691942890837e-07
1817,7.784366928831332e-09,8.531666253475123e-07
1818,8.34482416500748e-09,1.1182063879289217e-06
1819,2.070209959015301e-08,1.1903707886062875e-06
1820,1.5426425470366212e-08,8.87612785049896e-07
1821,1.1833786284221048e-08,7.76099156496457e-07
1822,1.0025615893027862e-08,9.013028972049142e-07
1823,3.557767380701904e-08,9.299608478841037e-07
1824,2.189489389792243e-08,8.867431695591677e-07
1825,1.937197424695114e-08,9.192882295394611e-07
1826,3.082794441944259e-08,1.1512035946736887e-06
1827,2.3964910667029216e-08,8.802495514714792e-07
1828,1.7427372100975447e-08,8.328449538907989e-07
1829,4.115124341286247e-08,8.333127290427456e-07
1830,2.5048406682159907e-08,8.203353054625495e-07
1831,7.795603274018958e-09,9.853642275459151e-07
1832,2.841293600397421e-08,7.468543294919527e-07
1833,7.529358647673234e-08,1.0564269103952029e-06
1834,3.360431177767964e-08,1.006262380087719e-06
1835,4.235329242874286e-08,9.953024218134487e-07
1836,2.4194700021240578e-08,9.89966538966769e-07
1837,2.991893077730623e-08,8.14769055779152e-07
1838,2.335499993399992e-08,1.199310705857215e-06
1839,1.3283802724473048e-08,1.0319417285131749e-06
1840,4.1402977490889725e-08,1.3554697986251085e-06
1841,2.1829865026745665e-08,8.423759645381779e-07
1842,1.9453968658211807e-08,8.257874135608745e-07
1843,4.0757687003178944e-08,8.665438464561248e-07
1844,2.0307677539577185e-08,9.023194529333978e-07
1845,2.4553003186156275e-08,8.035528082928067e-07
1846,3.21997570829069e-08,8.933968906887912e-07
1847,2.7505441480002446e-08,9.346456373293677e-07
1848,2.976732055293141e-08,1.0499014848619481e-06
1849,3.351766042491988e-08,7.474437850873983e-07
1850,2.4440385715251978e-08,8.567712725948695e-07
1851,1.7413484432182713e-08,8.532607544964321e-07
1852,2.9948508117882966e-08,8.353029983254601e-07
1853,2.7470886676539408e-08,1.1782621101019686e-06
1854,2.805658755322682e-08,8.084454066192848e-07
1855,3.449509122788186e-08,7.896722671318912e-07
1856,2.1744194667050465e-08,8.128187083400462e-07
1857,2.001418675234845e-08,6.82923143813241e-07
1858,1.761723378290725e-08,8.461165599271681e-07
1859,1.78226069458276e-08,7.86231574068097e-07
1860,1.1442959996221802e-08,7.154138472742488e-07
1861,1.1318312787000906e-08,7.696452826166933e-07
1862,1.6264750907213354e-08,9.067598618628381e-07
1863,2.0477945228414285e-08,7.756646169809756e-07
1864,4.794727948009836e-09,7.23044980333043e-07
1865,1.4591218067128153e-08,7.733345128713154e-07
1866,3.649209645573137e-08,7.463850053568422e-07
1867,1.4073153309368536e-08,7.012312863707848e-07
1868,9.38576083520104e-09,6.026646346413145e-07
1869,8.30198221279943e-09,5.625814161192011e-07
1870,5.160643912205387e-09,6.519613648947598e-07
1871,1.4869647735338276e-08,6.022207426070736e-07
1872,1.3908880824864411e-08,6.271091024245834e-07
1873,1.3169209722718733e-08,5.638816489295095e-07
1874,8.961913544602851e-09,5.753548606435288e-07
1875,8.01013810836082e-09,6.213578558345034e-07
1876,1.2092029821886285e-08,7.484966602078202e-07
1877,9.27722387800145e-09,7.465072791035254e-07
1878,1.992899334446463e-08,7.959519017219918e-07
1879,1.527331294770562e-08,6.640836467397548e-07
1880,7.059630657835214e-09,6.879931362391289e-07
1881,1.743126931685879e-08,7.167737727797885e-07
1882,1.0648616211028639e-08,6.442412576745937e-07
1883,1.1374810038322636e-08,7.715913081796089e-07
1884,2.8387296957532726e-08,6.68091736599763e-07
1885,1.0313017162477678e-08,6.606776459250341e-07
1886,2.452316305578961e-08,6.195325141788999e-07
1887,1.893388101859017e-08,6.019668639112297e-07
1888,2.409433608185907e-08,6.695689087621304e-07
1889,2.1927978266500503e-08,6.258871714237557e-07
1890,1.4419650584684973e-08,5.892393168949184e-07
1891,1.2748439637277897e-08,4.889026747889602e-07
1892,2.0059238936553925e-08,5.415994888124942e-07
1893,3.3871290439080326e-08,6.281584923328865e-07
1894,1.8274463942091757e-08,5.469736379382084e-07
1895,1.865770427045277e-08,4.947301235347368e-07
1896,7.666137447071009e-09,5.083239074110679e-07
1897,1.0488084623005989e-08,5.646085483590468e-07
1898,2.150174893689183e-08,5.205686370857165e-07
1899,8.844125432005967e-09,4.394424966136512e-07
1900,2.1283317330755835e-08,4.5369804624328935e-07
1901,1.6207343189744705e-08,4.806315416772122e-07
1902,9.820567470342212e-09,3.90367578262385e-07
1903,1.944079364157858e-08,5.060006422752394e-07
1904,1.9886113200584532e-08,5.154265529938584e-07
1905,1.23858218126216e-08,4.7633805166924503e-07
1906,1.9547901686234326e-08,4.820100762970014e-07
1907,9.257117905558943e-09,4.3148456541075575e-07
1908,5.893666887857307e-09,4.012604755132543e-07
1909,3.850688656825696e-09,4.2797652710646616e-07
1910,8.550640973048473e-09,3.895885960503165e-07
1911,1.6493159393782264e-08,4.229697463387083e-07
1912,5.2094213387476884e-09,4.089395737594259e-07
1913,5.833288574397244e-09,3.9136063989531067e-07
1914,8.036092680185902e-09,4.5203021059592174e-07
1915,1.1780761699498044e-08,4.288197335000632e-07
1916,1.3184954461564757e-08,3.3072260308131263e-07
1917,8.773139770212879e-09,4.583965278470714e-07
1918,6.89182577673364e-09,3.698613113556348e-07
1919,6.445493860862683e-09,3.9777904881077575e-07
1920,9.086678076641874e-09,4.16472742514884e-07
1921,3.0290989716519334e-09,3.88481938173868e-07
1922,8.115729144275718e-09,3.4897635892150447e-07
1923,3.1847844361720945e-09,4.978879797334912e-07
1924,5.156649773851996e-09,4.2929108090561385e-07
1925,1.5397449537601915e-08,3.772374945754109e-07
1926,7.802296808634424e-09,3.7228101490427434e-07
1927,4.4596899506643695e-09,3.8687809933435346e-07
1928,5.713020723163709e-09,3.542072839479715e-07
1929,1.0026365737658693e-08,4.05510789391883e-07
1930,1.2604324250986565e-08,4.1384197402294376e-07
1931,7.983749661377715e-09,3.889226611875074e-07
1932,9.863582839386709e-09,3.8029590498922516e-07
1933,1.8353059516584835e-08,4.003261055984808e-07
1934,2.3963160344919743e-08,3.989866321774116e-07
