year,auriez_VERB eu_VERB,auriez_VERB vu_VERB
1800,2.263798393187244e-07,2.04370692813427e-07
1801,2.881230898310605e-07,2.5478652787569445e-07
1802,1.8350289110458107e-07,1.2531904758361634e-07
1803,1.9503391968100914e-07,1.4822578009443532e-07
1804,2.4718508484511403e-07,1.8044511307380162e-07
1805,2.6723051860244595e-07,1.9900143399809167e-07
1806,3.4580028795971884e-07,1.8442682403474464e-07
1807,1.3095993267597805e-07,1.7935816742919997e-07
1808,2.1074488643080258e-07,1.744876954035135e-07
1809,1.5361408145508904e-07,1.2424668227595248e-07
1810,3.205973655440175e-07,3.5803938658318657e-07
1811,1.8301660986708157e-07,1.3788921648938413e-07
1812,2.453831484672264e-07,4.1608447531871207e-07
1813,3.0482860324809735e-07,2.0705340375570813e-07
1814,1.4160046646338742e-07,1.1013369771717407e-07
1815,1.5643897199879575e-07,1.2407228666688752e-07
1816,1.668674798338543e-07,1.715026911597306e-07
1817,2.319741412293297e-07,3.176021721174038e-07
1818,2.2769448548842774e-07,2.622658996642713e-07
1819,2.3703904616922955e-07,2.2668800170322356e-07
1820,1.578242034838695e-07,2.1596996191419748e-07
1821,4.2404400346640614e-07,4.339054839874734e-07
1822,2.456275751683279e-07,3.0076847679083585e-07
1823,2.9153926561775734e-07,1.5812298670425662e-07
1824,2.0800148092803283e-07,2.3831748308111855e-07
1825,2.025251859549826e-07,3.495760836358386e-07
1826,1.788020824733394e-07,1.4268934478423034e-07
1827,2.1568419583672949e-07,2.1384073534136405e-07
1828,1.7610818758839741e-07,1.8894940012614825e-07
1829,1.8003669310928672e-07,2.726270054154156e-07
1830,2.1812986972236104e-07,1.5550885734683106e-07
1831,2.4945930476860667e-07,2.3698633810909087e-07
1832,3.3824923661995854e-07,2.665403826540569e-07
1833,2.4557292022109323e-07,2.2703912350152677e-07
1834,1.7455572276503517e-07,2.202949360707862e-07
1835,2.4504404905201227e-07,2.2689263801112247e-07
1836,1.6465837404666672e-07,1.8952515290493466e-07
1837,1.982998867333663e-07,2.8457773737500247e-07
1838,1.590664737705083e-07,2.158759428994017e-07
1839,1.4891841715325427e-07,1.7688432762952289e-07
1840,1.2994165388136025e-07,1.4968767914069758e-07
1841,1.3483152372373297e-07,1.971108360976359e-07
1842,1.6234001520842867e-07,2.1533530514261656e-07
1843,1.4176586660141766e-07,1.4058448982723348e-07
1844,1.6026598359530908e-07,2.0801647337975737e-07
1845,1.3838965173817996e-07,1.4117976832039858e-07
1846,1.7153688247617538e-07,1.3816622868034756e-07
1847,1.1703295399456692e-07,1.822909609927592e-07
1848,2.534244742946612e-07,2.550335409523541e-07
1849,2.1535096550451271e-07,2.2456832482475875e-07
1850,1.9212858148875966e-07,1.2763312895458512e-07
1851,1.3543821353323438e-07,1.4511236656744586e-07
1852,1.5495098182327638e-07,1.718783977366911e-07
1853,1.606449728797088e-07,2.0662884026023676e-07
1854,1.0858938992441836e-07,1.5742863013201713e-07
1855,1.6557643789383292e-07,1.5283978882507654e-07
1856,1.2114622904846328e-07,1.4806761328145512e-07
1857,1.9965372644037416e-07,1.7475802849276079e-07
1858,1.928108304127818e-07,1.7323613121789094e-07
1859,2.0215928486777557e-07,1.675325052019616e-07
1860,1.7942561214567831e-07,1.9361488057256793e-07
1861,1.7449065126129426e-07,1.60814366267914e-07
1862,2.231885218861862e-07,2.362906883490723e-07
1863,1.7281388409173815e-07,1.7381280770223384e-07
1864,1.9946068618992285e-07,1.539107614689783e-07
1865,2.2592853099467902e-07,2.216923746800603e-07
1866,1.921917061054046e-07,1.741889406048358e-07
1867,1.4073152954097168e-07,1.5771637151829054e-07
1868,1.33870585727891e-07,1.407864118618818e-07
1869,1.9534076045601978e-07,1.562726197334996e-07
1870,1.7718210187922523e-07,1.7488848413904634e-07
1871,1.317025919433945e-07,1.890569620854876e-07
1872,1.8323437700473733e-07,1.3848406865690777e-07
1873,1.652137200380821e-07,1.652137200380821e-07
1874,1.577296870891587e-07,1.5533983344084845e-07
1875,1.556255426748976e-07,1.6649643441724038e-07
1876,2.515142227821343e-07,2.4425898459412565e-07
1877,1.465801346967055e-07,1.5400192410197633e-07
1878,1.3889903982544638e-07,1.2923649705953721e-07
1879,1.6800645141756831e-07,2.2971063629029231e-07
1880,1.906100379756026e-07,1.9125181438539585e-07
1881,1.520006662758533e-07,1.7640444127664523e-07
