year,ces_DET oies_NOUN,ces_DET voies_NOUN
1800,1.6978488659447066e-07,2.9240728594004395e-07
1801,1.2620267497709392e-07,3.2622200230036924e-07
1802,8.727576528144709e-08,4.5428154749060923e-07
1803,7.411289004721766e-08,3.3740870009069113e-07
1804,1.1617699158250616e-07,3.831369088658221e-07
1805,2.2743021688143017e-08,3.3261668885842255e-07
1806,2.305335300434308e-08,7.175356131483568e-07
1807,6.547996900252429e-08,7.288205363664702e-07
1808,1.3823051503436545e-07,4.1242547332842605e-07
1809,3.6144488291256494e-08,5.105409002226224e-07
1810,1.6380887757350138e-08,5.85031694200211e-07
1811,5.515568934910675e-08,6.91953189857486e-07
1812,2.6672082320544632e-09,6.64134823580298e-07
1813,2.8757416448144113e-09,4.4573994983920784e-07
1814,0.0,3.146677123311292e-07
1815,1.8880564667256294e-08,3.452446284413213e-07
1816,1.622322720606917e-08,5.029200629280695e-07
1817,4.203558356952186e-08,4.919720044682663e-07
1818,2.2650237241350624e-07,4.6015745169825095e-07
1819,3.1053151161586356e-09,7.069767065104315e-07
1820,1.1866481131050932e-08,4.794058270363166e-07
1821,1.9722976807301507e-08,5.650632708409375e-07
1822,4.0102463572111446e-08,6.015369251599623e-07
1823,1.2847493069401139e-08,6.611517768817521e-07
1824,4.210556348027694e-09,4.816876426616545e-07
1825,6.516027784009282e-08,5.653094419244553e-07
1826,2.906634755106552e-08,6.535524548212379e-07
1827,1.474763688946723e-08,9.724222920226566e-07
1828,1.3024667566696735e-07,7.337841267940348e-07
1829,6.858540846366168e-09,7.87017540915258e-07
1830,6.992679768558219e-08,6.637827603128699e-07
1831,4.365537531469954e-08,9.27676762074725e-07
1832,1.3529969367098715e-09,6.534975156569089e-07
1833,8.108540172635514e-09,7.622027773379614e-07
1834,4.387229601832132e-08,8.653110370460126e-07
1835,6.882410019670715e-08,8.553852453019317e-07
1836,2.9571300075303952e-08,7.123995295899022e-07
1837,2.435261814426326e-08,8.057237508296566e-07
1838,5.680945602826171e-08,7.732398508153437e-07
1839,5.523265411699896e-08,1.1151403427334117e-06
1840,1.9109066218270243e-08,1.0650119079969045e-06
1841,2.6966304744746594e-08,1.3040134412278803e-06
1842,9.391571076378114e-09,1.2987201429837114e-06
1843,1.063243981747064e-08,1.2587627047366823e-06
1844,1.756339607084101e-08,1.2832256004458031e-06
1845,2.2320911785556063e-08,1.8604479592454481e-06
1846,2.3418005756781213e-08,1.4056657846595044e-06
1847,4.314578827546711e-08,1.3472272470949065e-06
1848,4.1835152453373325e-08,1.2059787337648231e-06
1849,1.256912218750017e-08,1.2971334655276223e-06
1850,2.4440385715251978e-08,1.2505330175827112e-06
1851,7.094382636907426e-09,1.117042835119264e-06
1852,3.776116352938175e-08,1.182966094859239e-06
1853,3.5234398509942366e-08,1.3848909929947695e-06
1854,4.78001130344019e-08,1.546749324177199e-06
1855,4.2455496895854594e-08,1.465245333065468e-06
