year,leurs_DET airs_NOUN
1800,1.886498623981936e-07
1801,1.381085894536227e-07
1802,7.832440473976021e-08
1803,1.8918290400904425e-07
1804,1.9033252973699177e-07
1805,1.421438877713399e-07
1806,2.564685619432794e-07
1807,1.5942949005420815e-07
1808,1.4049658503267892e-07
1809,1.0391540516963005e-07
1810,1.0296557917399696e-07
1811,1.0780430415024966e-07
1812,2.667208214290895e-07
1813,2.0705339420779012e-07
1814,1.5104050810066383e-07
1815,1.537417375629957e-07
1816,1.0429217844887262e-07
1817,1.588010940523077e-07
1818,5.364529886975333e-08
1819,8.591371281063687e-08
1820,2.5038275097699625e-07
1821,1.4200543052567127e-07
1822,8.72228582693424e-08
1823,1.353928098524193e-07
1824,1.5494847005470547e-07
1825,1.6025906202088436e-07
1826,1.5149733556540923e-07
1827,9.770309539192112e-08
1828,9.997808092521154e-08
1829,1.1830983304150777e-07
1830,1.7012042263786498e-07
1831,9.510636012066698e-08
1832,1.5694764599061273e-07
1833,2.2588075054841283e-07
1834,1.7455573164681937e-07
1835,1.406734426723233e-07
1836,1.0148332352244438e-07
1837,1.0158520957759265e-07
1838,9.405121303984743e-08
1839,9.088917574118227e-08
1840,8.981260979368244e-08
1841,9.502411835171642e-08
1842,1.09344717280635e-07
1843,9.74640315121178e-08
1844,1.1416207801318023e-07
1845,4.185171054160719e-08
1846,9.133021894314197e-08
1847,6.417936226910115e-08
1848,7.964769821455775e-08
1849,8.128032291665477e-08
1850,4.8880770542325536e-08
1851,4.6435958633850305e-08
1852,1.6211258824228025e-07
1853,9.73424918448984e-08
1854,9.248282384355377e-08
1855,1.1356845419641104e-07
1856,1.1027413204800496e-07
1857,1.0007093553809909e-07
1858,1.04235298392652e-07
1859,1.2883198241553373e-07
1860,9.566314140840859e-08
1861,7.969978632615948e-08
1862,7.861296413835817e-08
1863,7.841554694465458e-08
1864,1.0212770273909655e-07
1865,1.0119715088130476e-07
1866,9.244664234131506e-08
1867,9.268870115874961e-08
1868,1.0620729096189052e-07
1869,1.8215526154108375e-07
1870,9.518521082441112e-08
1871,6.266494922968491e-08
1872,9.494322972258828e-08
1873,7.72194583831265e-08
1874,1.0276327522262818e-07
1875,7.895707676564001e-08
1876,8.94810217033637e-08
1877,7.792867950939808e-08
1878,1.0266450534146543e-07
1879,1.1118971743329098e-07
1880,8.086486347202992e-08
1881,1.0737661404469634e-07
1882,1.118104702158007e-07
1883,1.1438003311159406e-07
1884,1.181703774832954e-07
1885,8.572695131547903e-08
1886,9.873799999837729e-08
1887,9.989254978748363e-08
1888,7.735549889531512e-08
1889,8.833842990441099e-08
1890,8.061895417910137e-08
1891,8.732681422429778e-08
1892,1.0029619978979554e-07
1893,9.9766346517427e-08
1894,9.830401559440816e-08
1895,9.328852534906673e-08
1896,1.0083919566028499e-07
1897,9.905413378419325e-08
1898,9.73237049839426e-08
1899,8.954677177541726e-08
1900,5.5544270072260815e-08
1901,6.482937253693422e-08
1902,7.46363142400952e-08
1903,9.342380824506336e-08
1904,7.954445280233813e-08
1905,5.728442398211797e-08
1906,1.0751345680404256e-07
1907,7.611408170404843e-08
1908,8.74227243929937e-08
1909,9.131632561221181e-08
1910,1.1115833142838483e-07
1911,8.086969005560718e-08
1912,8.439262089154909e-08
1913,1.198475674257793e-07
1914,1.0112083170810138e-07
1915,6.832842192050492e-08
1916,9.998590799753515e-08
1917,6.68951898319392e-08
1918,8.155327257952649e-08
1919,1.2798909510003398e-07
1920,1.0979736009275598e-07
1921,8.405749696294151e-08
1922,1.2690049133734504e-07
1923,9.554353530560888e-08
1924,1.0055467192238154e-07
1925,8.908524051776112e-08
1926,1.0811754602713108e-07
1927,1.0703256236865855e-07
1928,9.940655920637198e-08
1929,1.2254447256943024e-07
1930,9.348207452575252e-08
1931,1.1633463614657558e-07
1932,8.110057425625428e-08
1933,5.7353312543639845e-08
1934,7.308763727564838e-08
1935,8.138433482685059e-08
1936,8.123559069872499e-08
1937,6.547381470323188e-08
1938,7.649476430060531e-08
