year,mêmes_ADJ îles_NOUN,mêmes_ADJ iles_NOUN,mêmes_ADJ villes_NOUN
1800,5.973912209356058e-08,3.144164484325529e-09,1.603523855919775e-07
1801,1.904946067554647e-08,2.3811825400343878e-08,1.3334621939975477e-07
1802,6.713520406265161e-09,0.0,2.416867346255458e-07
1803,5.851017448321727e-09,0.0,1.4627543976075685e-07
1804,1.9774807569206132e-08,0.0,1.8044511307380162e-07
1805,0.0,2.842877711017877e-09,1.9615856672317022e-07
1806,2.881669125542885e-09,0.0,1.440834580535011e-07
1807,1.4234775136401367e-08,0.0,1.822051274302794e-07
1808,1.1330369531492579e-08,0.0,2.22075257738652e-07
1809,1.129515236897305e-08,0.0,2.620475356707175e-07
1810,0.0,2.3401267590372754e-09,2.1529166360778618e-07
1811,0.0,0.0,2.1811567307850055e-07
1812,0.0,0.0,1.1735716043403954e-07
1813,0.0,0.0,9.489947672136623e-08
1814,0.0,0.0,1.888006266881348e-07
1815,1.8880564667256294e-08,8.091670444798638e-09,1.9689731800554e-07
1816,9.270415546325239e-09,2.3176038865813098e-09,1.4137383175238938e-07
1817,0.0,0.0,1.4634609613040084e-07
1818,5.960588467246453e-09,1.1921177378582115e-09,2.1577331210664852e-07
1819,1.449147024601416e-08,4.140420006848444e-09,2.1012631634675927e-07
1820,0.0,0.0,1.76810573293551e-07
1821,1.1833785507064931e-08,9.86148829262845e-10,1.6074226039108908e-07
1822,5.012807946513931e-09,0.0,8.421517350143404e-08
1823,2.3718449426723964e-08,0.0,9.882686669016039e-08
1824,5.052667617633233e-09,1.6842225392110777e-09,1.0189546628680546e-07
1825,3.522177216552791e-09,8.805443041381977e-10,1.426481759381204e-07
1826,4.403992281964975e-09,8.807984341885344e-10,1.3916614705067332e-07
1827,1.1982455028203276e-08,0.0,1.0046827725318508e-07
1828,4.1275356466030644e-08,0.0,6.512333783348367e-08
1829,1.2002446148073886e-08,0.0,1.6631960875201912e-07
1830,1.0436835395921662e-08,2.0873671680021744e-09,1.6594569274275273e-07
1831,7.795603274018958e-09,0.0,1.9021271668862028e-07
1832,0.0,0.0,3.788391467196561e-08
1833,5.791814139399776e-09,1.1583628500844156e-09,1.1120283716081758e-07
1834,1.213489042584115e-08,0.0,1.4655213931291655e-07
1835,1.739510224751939e-08,0.0,9.529490796467144e-08
1836,2.016225053580456e-08,6.720750067579218e-10,1.8280439917361946e-07
1837,6.957890930081589e-10,0.0,1.7742621594152297e-07
1838,5.680945491803868e-09,0.0,1.249808008196851e-07
1839,2.0974426639952526e-09,0.0,1.6010477565941983e-07
1840,6.369688665408546e-10,1.2739377330817092e-09,1.5414646270528465e-07
1841,4.494383976094696e-09,6.420548537278137e-10,1.1364370777755539e-07
1842,6.708265054555795e-09,6.708265054555795e-10,1.784398477866489e-07
1843,5.31621990873532e-09,1.1813822142769936e-09,1.3585895430878736e-07
1844,5.488561272137815e-10,0.0,1.8386680267212796e-07
1845,8.928364714222425e-09,1.6740683839167048e-09,1.5792045360285556e-07
1846,2.3418005312692003e-09,4.0981511517657054e-09,1.9554033769964008e-07
1847,3.235934187273415e-09,1.0786447290911383e-09,1.5478552484182728e-07
1848,1.528592186161859e-08,2.413566457803995e-09,1.3676877586021874e-07
1849,8.379414939696517e-10,1.6758829879393033e-09,1.0222886004385145e-07
1850,4.073397619208663e-09,1.3577992064028876e-09,1.1337623107010586e-07
1851,2.579775504329973e-09,0.0,1.0835056940550203e-07
1852,1.3672145193766028e-08,2.6042181744401205e-09,1.4713832285906392e-07
1853,5.971931837933653e-10,1.7915795513800958e-09,1.194386385350299e-07
1854,1.0391328908454511e-09,5.195664454227256e-10,1.4340034226734133e-07
1855,1.0613874223963649e-08,2.653468555990912e-09,1.8415072133848298e-07
1856,1.5531567143511893e-09,2.0708756931497874e-09,1.2994745191008406e-07
