year,devez_VERB ôter_VERB,devez_VERB voter_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,1.5664880947952042e-08
1803,2.5354410126965377e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,2.3732962262101864e-09
1821,9.86148829262845e-10,0.0
1822,2.2056354964661296e-08,0.0
1823,0.0,1.9765373782121287e-09
1824,0.0,0.0
1825,8.805443041381977e-10,0.0
1826,1.145037931138404e-08,9.688783109140786e-09
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,3.1310507520032616e-09
1831,0.0,0.0
1832,0.0,5.411987746839486e-09
1833,0.0,5.791814139399776e-09
1834,9.334530925997342e-10,0.0
1835,0.0,0.0
1836,2.016224964762614e-09,0.0
1837,7.653680356156656e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,9.088918062616358e-09,0.0
1840,1.2739377330817092e-09,0.0
1841,0.0,0.0
1842,4.695785538189057e-09,6.708265054555795e-10
1843,0.0,1.7720733769266417e-09
1844,4.9397050894128824e-09,2.7442805805577564e-09
1845,1.1160455892778032e-09,0.0
1846,1.1709002656346001e-09,1.1709002656346001e-09
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,0.0,2.815827571112095e-08
1849,0.0,3.9383248662261394e-08
1850,0.0,2.7155984128057753e-09
1851,0.0,5.159551008659946e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,5.971931837933653e-10,1.1943863675867306e-08
1854,2.5978321716024766e-09,5.195664454227256e-10
