year,les_DET ânes_NOUN,les_DET anes_NOUN,les_DET vannes_NOUN
1800,5.628054466910726e-07,3.772997336781714e-08,1.6664071900152067e-07
1801,5.476720019714776e-07,3.881327697019543e-07,1.0000966632617292e-07
1802,1.2061958614140167e-06,4.2518962573012686e-08,1.3427040812530322e-07
1803,1.515413543984323e-06,5.851017803593095e-08,8.191425027170851e-08
1804,8.058234186592017e-07,3.9549615138412264e-08,6.179627121127851e-08
1805,8.016914918584916e-07,3.127165526528586e-08,1.9331569056646458e-07
1806,3.5156362798716145e-07,1.4408345627714425e-08,4.034336775760039e-08
1807,4.5835978568220526e-07,3.701041695336471e-08,6.263301344233696e-08
1808,7.976580462809579e-07,1.8128591960930862e-08,1.540930298915555e-07
1809,8.652086975757811e-07,4.066254910561895e-08,2.4171626833435766e-07
1810,6.903374156763675e-07,8.190443789857227e-08,1.9189039335287816e-07
1811,6.944602546354872e-07,2.0056614591368316e-08,1.2284675676710322e-07
1812,6.107906926899886e-07,1.600324894823757e-08,3.387354574613255e-07
1813,5.348879525968186e-07,2.5881674803329702e-08,6.901780125190271e-08
1814,7.457624633389059e-07,4.720015800430133e-08,5.978686656860077e-08
1815,9.683032473617459e-07,2.6972236000233352e-08,3.776112933451259e-08
1816,1.0823210061516875e-06,1.1588019432906549e-08,1.8772591658944293e-07
1817,5.791569179791622e-07,1.1676550237815775e-07,5.1376822796100896e-08
1818,5.364530082374586e-07,3.814776805555198e-08,1.3470930682046856e-07
1819,5.869045232032022e-07,2.380741526142316e-08,2.5463583597229444e-07
1820,9.243988898788302e-07,1.6613073583471305e-08,9.018525481963025e-08
1821,7.05096425690499e-07,4.6348993421041484e-08,1.5088077187641602e-07
1822,5.975267214353153e-07,1.303330066093622e-08,1.4035862250239006e-07
1823,7.540490116753062e-07,4.941343445530322e-08,2.1050123422128308e-07
1824,5.574776551497962e-07,3.2000228245010476e-08,1.6000114300140922e-07
1825,8.594112159698852e-07,4.931048125378368e-08,3.1083213158922263e-07
1826,6.44744453381918e-07,3.963592953848405e-08,1.9113326477082637e-07
1827,4.3597701449016313e-07,2.3043182473259094e-08,2.313535567566305e-07
1828,5.503380862137419e-07,2.384798358789908e-08,2.0087339080987476e-07
1829,7.218614257453737e-07,3.3435386848079673e-08,1.6289033943905906e-07
1830,6.825690661571571e-07,2.0873671680021744e-08,4.696576150209353e-08
1831,6.267664929282546e-07,3.741889398334308e-08,3.3053357739731837e-07
1832,7.414423279783477e-07,8.388580985396743e-08,4.207820545332197e-07
1833,9.521742541096501e-07,5.21263281427764e-08,1.413202721511908e-07
1834,6.795538354253949e-07,1.3068343074351674e-08,1.2694962148174227e-07
1835,7.835359383534524e-07,4.310960122211327e-08,1.6109377298789695e-07
1836,5.168256933529847e-07,1.8818100411266414e-08,2.641254788215974e-07
1837,5.761133436976706e-07,3.2006298833486824e-08,2.4074302018561866e-07
1838,5.258030952859372e-07,2.5879864251621143e-08,1.3697391132438952e-07
1839,5.201657629072542e-07,1.9576130605436504e-08,1.8038006288634278e-07
1840,5.758198469152376e-07,1.7198159119047318e-08,2.675269143992409e-07
1841,6.953453919322783e-07,5.1364387410046675e-08,1.7592302903324253e-07
1842,6.164895722804431e-07,4.8299510169158566e-08,2.4485167937626784e-07
1843,4.7373426426133847e-07,4.252976004703868e-08,1.8547700619819807e-07
1844,5.208644573428955e-07,3.348022453719679e-08,2.052721921330658e-07
1845,5.3514386166853e-07,3.3481368011401e-08,2.600386252993303e-07
1846,7.160055162103163e-07,1.5807153364022497e-08,2.663798213120572e-07
1847,5.166708305637258e-07,1.5101026207275936e-08,2.3136929350187074e-07
1848,6.363770523876155e-07,2.0917576670775873e-08,1.303325918300402e-07
1849,4.5081253574608127e-07,1.6758829879393033e-08,1.6088476684217312e-07
1850,4.860921194449475e-07,1.425689166723032e-08,1.7990840106563155e-07
1851,5.804495160077749e-07,2.9022474423712197e-08,2.5733260855531626e-07
1852,4.589934512466698e-07,5.2084364599025434e-08,4.1407069417687126e-07
1853,5.846521489161205e-07,5.971931771320271e-08,3.5353837013474276e-07
1854,4.2604447614280616e-07,2.078265820548708e-08,1.6574169059424548e-07
1855,6.161354235700855e-07,6.580602018857462e-08,2.175844215912548e-07
1856,6.507726695303973e-07,3.624032363092056e-08,2.780150492043276e-07
1857,4.803404820563628e-07,2.9777205812209218e-08,1.5474383774360945e-07
1858,4.981762202760365e-07,3.474510074097381e-08,2.241303587169341e-07
1859,5.02088298048875e-07,3.411756188675952e-08,2.734497055456586e-07
1860,5.918298882079398e-07,1.6020143878137105e-08,1.5928599772507823e-07
1861,5.762907662187899e-07,1.933545185073271e-08,2.3249700653593663e-07
1862,5.810130119243695e-07,3.433669640284798e-08,1.3418419975153029e-07
1863,4.535115820658575e-07,1.248655229213469e-08,2.1426923169087786e-07
1864,4.171413294784543e-07,1.5343129544653777e-08,2.689842375502849e-07
1865,5.25283837760071e-07,2.6829012789164608e-08,2.777038137224963e-07
1866,4.865612837079425e-07,2.9680239710394574e-08,1.9121858763071486e-07
1867,5.828226505855127e-07,2.91168689159349e-08,1.8100987375646582e-07
1868,6.461355255282797e-07,3.9518993077969355e-08,2.647772578967533e-07
1869,5.953009960535383e-07,1.0987917931082336e-07,2.0120099364362432e-07
1870,4.856739366232432e-07,3.039045770591997e-08,2.3337578269888581e-07
1871,5.183134668129696e-07,1.6993883855676017e-08,3.398776797780556e-07
1872,3.9247231597983046e-07,2.4189357183956872e-08,2.0137640355244457e-07
1873,4.866621665655657e-07,2.8732821011345777e-08,3.699350692443204e-07
1874,5.43091942972751e-07,4.7199411712384176e-08,2.64077723244327e-07
1875,4.668766067084107e-07,2.174180319114427e-08,2.7062823093615407e-07
1876,4.7521677259965145e-07,2.0556449431552437e-08,5.592563496747971e-07
1877,5.492116592620278e-07,3.5871933867781536e-08,1.9049232768963975e-07
1878,4.631981020963849e-07,4.891661775641154e-08,4.867505509764669e-07
1879,5.834405669702392e-07,1.8327976136767177e-08,1.4845660345486067e-07
1880,5.403826577321524e-07,2.952209343654033e-08,2.220574764066896e-07
1881,5.717456090792439e-07,5.6477312215807984e-08,2.1335873334749067e-07
1882,6.542243369267453e-07,3.993231190158042e-08,2.3293847561944858e-07
1883,7.033424509472752e-07,2.9068959961353613e-08,3.677855247019579e-07
1884,5.367179554127688e-07,4.35711999813293e-08,1.7758564396785914e-07
1885,5.491681562830308e-07,2.964992451559567e-08,2.900536113514818e-07
1886,5.44672360547338e-07,4.775563211545375e-08,2.3297004680955524e-07
1887,5.223139751819872e-07,2.8727268785999627e-08,3.192644193461547e-07
1888,5.20564462647144e-07,2.028996748393297e-08,3.011791847029599e-07
1889,4.592345348441995e-07,7.831420772985709e-08,4.805359807846799e-07
1890,4.3586670273043637e-07,3.4738248055887766e-08,3.932631784664409e-07
