year,quelques_DET ânes_NOUN,quelques_DET anes_NOUN,quelques_DET vannes_NOUN
1800,0.0,0.0,0.0
1801,3.809892135109294e-08,2.3811825844433088e-09,2.1430643926123594e-08
1802,1.1189200677108602e-08,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,0.0,0.0
1804,4.943701892301533e-09,0.0,0.0
1805,1.9900143755080535e-08,0.0,2.842877755426798e-08
1806,0.0,2.881669125542885e-09,0.0
1807,1.4234775136401367e-08,5.693910232196231e-09,0.0
1808,1.3596443970698147e-08,0.0,0.0
1809,2.4849335034105025e-08,0.0,9.036122072814123e-09
1810,0.0,0.0,9.360507036149102e-09
1811,1.0028307073639553e-08,2.5070767684098882e-09,0.0
1812,4.000812481308458e-08,0.0,0.0
1813,1.4378708002027452e-08,0.0,0.0
1814,4.090680150170556e-08,0.0,0.0
1815,4.045835311217161e-08,0.0,2.697223555614414e-09
1816,0.0,0.0,0.0
1817,4.670620334934483e-09,0.0,0.0
1818,7.152706427149269e-09,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,1.035105001712111e-09,0.0
1820,2.7292905713238724e-08,0.0,1.1866481131050932e-09
1821,2.7612166775270452e-08,0.0,0.0
1822,1.0025615893027862e-08,1.0025615893027862e-09,7.017931125119503e-09
1823,2.7671523739059012e-08,9.882686891060644e-10,9.882686891060644e-10
1824,5.052667617633233e-09,0.0,2.5263338088166165e-09
1825,1.0566531649658373e-08,8.805443041381977e-10,0.0
1826,3.963592831723872e-08,0.0,0.0
1827,1.9356273639470345e-08,9.217273055917019e-10,3.6869092223668076e-09
1828,1.0089530988466322e-08,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,0.0,3.429270423183084e-09
1830,1.1480518979922749e-08,0.0,1.0436835840010872e-09
1831,1.870944643656003e-08,0.0,0.0
1832,1.352996914505411e-08,0.0,2.0294953273491956e-08
1833,2.3167256557599103e-08,0.0,0.0
1834,2.0535967593104942e-08,6.534171426153534e-09,1.8669061851994684e-09
1835,2.0420337421001022e-08,0.0,7.563087933704082e-10
1836,8.064899859050456e-09,0.0,2.688300027031687e-09
1837,1.1828414692161004e-08,1.3915781860163179e-09,0.0
1838,1.64116205070286e-08,6.312161904276081e-10,1.8936485712828244e-09
1839,4.194885327990505e-09,2.0974426639952526e-09,0.0
1840,9.554533164646273e-09,6.369688665408546e-10,0.0
1841,1.926164472365599e-08,0.0,1.926164561183441e-09
1842,1.2745703603656011e-08,0.0,1.341653010911159e-09
1843,7.088293174639659e-09,5.906911071384968e-10,0.0
1844,2.140538946093784e-08,0.0,1.097712254427563e-09
1845,1.5066614622583074e-08,0.0,1.1160455892778032e-09
1846,6.439951683034906e-09,0.0,5.269050973311096e-09
1847,1.4561703842730367e-08,0.0,5.9325460100012606e-09
1848,1.6894966203828687e-08,8.045221711050488e-10,1.6090443422100975e-09
1849,1.759677115131808e-08,0.0,1.6758829879393033e-09
1850,1.1541293254424545e-08,6.788996032014438e-10,6.788996032014438e-10
1851,5.159551008659946e-09,6.449438760824933e-10,2.579775504329973e-09
1852,5.859490670445666e-09,0.0,6.510545436100301e-10
1853,1.4929829594834132e-08,0.0,1.7915795513800958e-09
1854,7.793496792363186e-09,0.0,5.195664454227256e-10
1855,1.1675261646360013e-08,0.0,0.0
1856,1.4496130074093116e-08,0.0,5.177189232874468e-10
1857,2.9289055625270066e-09,0.0,1.4644527812635033e-09
1858,1.468102794888182e-08,0.0,0.0
1859,3.462677899968014e-08,0.0,3.055304009791371e-09
1860,9.612086321331148e-09,4.577183909670879e-10,0.0
1861,1.3204698667834691e-08,4.715963730639317e-10,4.715963730639317e-10
1862,1.0843167280727428e-08,0.0,6.776979422085105e-09
1863,6.493007020935693e-09,0.0,0.0
1864,3.548098703731739e-08,4.794727948009836e-10,0.0
1865,2.91824358011894e-08,4.706844358715045e-10,0.0
1866,1.4596838404656864e-08,0.0,0.0
1867,9.7056229719783e-09,0.0,0.0
1868,1.778354707937524e-08,0.0,0.0
1869,2.6371003158942585e-08,0.0,0.0
1870,3.555110117403615e-08,5.734048791339319e-10,2.2936195165357276e-09
1871,5.310588635509816e-09,0.0,5.3105884134652115e-09
1872,1.2094678814023041e-08,0.0,1.2094678591978436e-09
1873,7.781805422268917e-09,0.0,5.986004469882289e-10
1874,8.364453130127458e-09,0.0,5.974609140757536e-10
1875,6.865832347102696e-09,5.721527140956084e-10,0.0
1876,5.441413319928756e-09,6.04601479992084e-10,2.418405919968336e-09
1877,1.1751150275074451e-08,6.184815992682502e-10,0.0
1878,1.1474268646338714e-08,0.0,3.6234530931267273e-09
