year,premières_ADJ oies_NOUN,premières_ADJ voix_NOUN
1800,3.144164484325529e-09,4.087413785214267e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,6.713520406265161e-08
1803,0.0,1.1897068930011301e-07
1804,2.4718509461507665e-09,3.114532205472642e-07
1805,0.0,1.9900143755080535e-08
1806,0.0,4.610670600868616e-08
1807,0.0,2.562259648897225e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,3.388545710691915e-08
1810,0.0,2.3401267590372754e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,7.20146218213813e-08
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466772298927026e-08
1815,0.0,5.394447111228828e-09
1816,0.0,1.1124498655590287e-07
1817,0.0,1.479029805295795e-07
1818,4.768470951432846e-09,1.0729059418679299e-08
1819,0.0,8.384350280721264e-08
1820,1.1866481131050932e-09,1.1747816586193949e-07
1821,0.0,1.7750679148775816e-08
1822,1.0025615893027862e-09,1.303330066093622e-08
1823,0.0,2.075364236020505e-08
1824,0.0,6.652678763430231e-08
1825,8.805443041381977e-10,6.956300069305144e-08
1826,0.0,7.134467239211517e-08
1827,0.0,5.899054755786892e-08
1828,5.503380862137419e-09,7.337841001486822e-09
1829,0.0,1.0287811491593857e-08
1830,2.0873671680021744e-09,4.174734158368665e-08
1831,1.5591206103948707e-09,6.392394169552063e-08
1832,0.0,4.19429042608499e-08
1833,0.0,1.2741991461950875e-08
1834,9.334530925997342e-10,2.42697808516823e-08
1835,2.2689263801112247e-09,2.8739734148075513e-08
1836,6.720750067579218e-10,2.6210924986003192e-08
1837,0.0,1.461157062010443e-08
1838,6.312161904276081e-10,1.4517972601879592e-08
1839,2.0974426639952526e-09,3.8453112694014635e-08
1840,0.0,4.395085184683012e-08
1841,1.2841097074556274e-09,3.274479709602929e-08
1842,0.0,2.0124795163667386e-09
1843,0.0,2.5990408047960045e-08
1844,5.488561272137815e-10,1.4819115712327857e-08
1845,0.0,1.2834524554250493e-08
1846,5.854501328173001e-10,2.0490753982471688e-08
1847,5.3932236454556914e-09,7.280851832547341e-08
1848,0.0,1.126331028444838e-08
1849,8.379414939696517e-10,8.379414939696517e-10
1850,6.788996032014438e-10,1.0862393651223101e-08
1851,0.0,2.4507867735223954e-08
1852,0.0,3.971432604998881e-08
1853,5.971931837933653e-10,2.5679307569248522e-08
1854,1.558699391779328e-09,2.286092382064453e-08
1855,0.0,1.5920811335945473e-08
1856,0.0,2.7439103433835044e-08
1857,0.0,9.274867096564776e-09
1858,0.0,7.829881631948865e-09
1859,0.0,6.161529597648041e-08
1860,0.0,2.6089947979812678e-08
1861,0.0,2.452301117727984e-08
1862,0.0,1.1746764477793548e-08
1863,0.0,2.8968800691586694e-08
1864,0.0,4.554991406280351e-08
1865,0.0,3.3418594114209554e-08
1866,0.0,3.0166798836717135e-08
1867,4.85281148598915e-10,1.8925964795357686e-08
1868,0.0,3.655506863875502e-08
1869,3.906815315701806e-09,1.7580669364747337e-08
1870,8.601073631098188e-09,1.0321287824410774e-08
1871,3.18635318130589e-09,1.805600113868877e-08
1872,0.0,1.3908880269752899e-08
1873,0.0,1.3169209722718733e-08
1874,5.974609140757536e-10,1.0754296120296658e-08
1875,0.0,1.3159512590732447e-08
1876,0.0,1.934724735974669e-08
1877,4.329371083855449e-09,2.535774612510977e-08
1878,6.039088673581716e-10,1.69094480639842e-08
1879,6.10932526790009e-10,2.565916623620268e-08
1880,1.2835692508872398e-09,4.1074216028391675e-08
1881,0.0,4.3229546664580454e-08
1882,0.0,3.5939081044489285e-08
1883,3.791603475633565e-09,2.211768546089843e-08
1884,3.300848483434038e-09,2.1125431182156262e-08
1885,0.0,4.511945039809007e-09
1886,6.453463874400711e-10,2.5168509054651622e-08
1887,3.9173548849191775e-09,2.1545451256432813e-08
