year,ses_DET ivres_ADJ,ses_DET vivres_NOUN
1800,0.0,2.483890000348765e-07
1801,0.0,2.2383116515811707e-07
1802,0.0,1.5217312920867698e-07
1803,0.0,2.632957887271914e-07
1804,0.0,2.0763548391755648e-07
1805,0.0,4.548604408682877e-07
1806,0.0,1.2391176706927354e-07
1807,0.0,4.6974759015938616e-07
1808,0.0,2.7646103717415826e-07
1809,0.0,6.551188269643404e-07
1810,0.0,1.4274773407763064e-07
1811,0.0,4.838658425043718e-07
1812,0.0,1.8670457180292033e-07
1813,0.0,3.6521919355436694e-07
1814,0.0,5.695485842949211e-07
1815,0.0,1.9420010133330834e-07
1816,0.0,1.6918508549679245e-07
1817,0.0,3.487396501578033e-07
1818,0.0,3.969752193633269e-07
1819,0.0,4.3370899582839684e-07
1820,0.0,4.912723241545791e-07
1821,0.0,3.471243745778452e-07
1822,0.0,4.1706560693910433e-07
1823,0.0,6.285388649551749e-07
1824,0.0,2.913704975071596e-07
1825,0.0,4.323472406753126e-07
1826,0.0,5.47856645383149e-07
1827,0.0,2.700660957088985e-07
1828,0.0,2.815896493757464e-07
1829,0.0,3.1206360517899157e-07
1830,0.0,2.744887908079363e-07
1831,0.0,3.102649941411073e-07
1832,0.0,2.1647950632086577e-07
1833,0.0,2.872739781611955e-07
1834,0.0,2.025593204280085e-07
1835,0.0,2.972293486891431e-07
1836,0.0,3.494789950764243e-07
1837,0.0,3.8685873859911624e-07
1838,0.0,4.816179473010607e-07
1839,0.0,3.7334476132855343e-07
1840,0.0,4.1466673383894204e-07
1841,0.0,3.3322646686428925e-07
1842,6.708265054555795e-10,3.206550789336404e-07
1843,0.0,1.9374668897009784e-07
1844,0.0,2.3161728723852804e-07
1845,0.0,2.773373172226812e-07
1846,0.0,3.2902296642767226e-07
1847,0.0,3.230541096854722e-07
1848,0.0,2.550335418405325e-07
1849,0.0,2.4300303103075294e-07
1850,0.0,3.8018379200366326e-07
1851,0.0,2.3862924081186065e-07
1852,0.0,1.523467700881298e-07
1853,0.0,2.3290534634234916e-07
1854,0.0,2.431571033412183e-07
1855,1.0613874223963649e-09,1.9901014880474577e-07
1856,1.0354378465748937e-09,3.686158720483945e-07
1857,0.0,3.1680994538874074e-07
1858,0.0,2.4125822717380174e-07
1859,0.0,2.1896344981620075e-07
1860,0.0,2.819545311671945e-07
1861,9.431927461278633e-10,1.8911014221245637e-07
1862,0.0,2.2770650875969523e-07
1863,0.0,1.992853759791302e-07
1864,0.0,2.3733903586897753e-07
1865,0.0,2.2969400959027553e-07
1866,0.0,2.807458692188902e-07
1867,0.0,2.4700810108413407e-07
1868,0.0,1.7931742490873148e-07
1869,0.0,2.7591882800770406e-07
1870,0.0,2.6548647102941914e-07
1871,1.0621177271019633e-09,4.1635013658947173e-07
1872,0.0,2.9934328349412453e-07
