year,leurs_DET airs_NOUN,leurs_DET verres_NOUN
1800,1.886498623981936e-07,1.1633408547595536e-07
1801,1.381085894536227e-07,1.2382149350287364e-07
1802,7.832440473976021e-08,5.147032311469957e-08
1803,1.8918290400904425e-07,5.460949736857401e-08
1804,1.9033252973699177e-07,2.2246657849223084e-08
1805,1.421438877713399e-07,2.2743021688143017e-08
1806,2.564685619432794e-07,2.0171682990621775e-08
1807,1.5942949005420815e-07,8.256169792275614e-08
1808,1.4049658503267892e-07,1.1330369975581789e-08
1809,1.0391540516963005e-07,7.00299480627109e-08
1810,1.0296557917399696e-07,8.190443345768017e-08
1811,1.0780430415024966e-07,1.2535384286138651e-08
1812,2.667208214290895e-07,8.001624962616916e-08
1813,2.0705339420779012e-07,7.764502640839055e-08
1814,1.5104050810066383e-07,5.97868634599763e-08
1815,1.537417375629957e-07,1.4834729711310501e-07
1816,1.0429217844887262e-07,6.257530493769536e-08
1817,1.588010940523077e-07,7.784366928831332e-09
1818,5.364529886975333e-08,1.3113295338484932e-08
1819,8.591371281063687e-08,5.796588098405664e-08
1820,2.5038275097699625e-07,2.8479554714522237e-08
1821,1.4200543052567127e-07,2.8598316381689415e-08
1822,8.72228582693424e-08,1.4035862250239006e-08
1823,1.353928098524193e-07,5.040170203418626e-08
1824,1.5494847005470547e-07,5.726356633317664e-08
1825,1.6025906202088436e-07,6.868245772118087e-08
1826,1.5149733556540923e-07,3.170874407487645e-08
1827,9.770309539192112e-08,4.239945700090786e-08
1828,9.997808092521154e-08,6.695780047083488e-08
1829,1.1830983304150777e-07,5.572564276690173e-08
1830,1.7012042263786498e-07,8.349468472168553e-08
1831,9.510636012066698e-08,5.6128342862393765e-08
1832,1.5694764599061273e-07,8.117981487032466e-08
1833,2.2588075054841283e-07,1.3900354645102198e-07
1834,1.7455573164681937e-07,1.316168851683841e-07
1835,1.406734426723233e-07,1.104210838320796e-07
1836,1.0148332352244438e-07,1.1089237572647903e-07
1837,1.0158520957759265e-07,1.0784730619661786e-07
1838,9.405121303984743e-08,5.4284593486997323e-08
1839,9.088917574118227e-08,9.158832814382123e-08
1840,8.981260979368244e-08,7.134051571711097e-08
1841,9.502411835171642e-08,1.0016055451700367e-07
1842,1.09344717280635e-07,6.842430222420148e-08
1843,9.74640315121178e-08,1.1991029952307386e-07
1844,1.1416207801318023e-07,1.1032008129241433e-07
1845,4.185171054160719e-08,1.0881444856281064e-07
1846,9.133021894314197e-08,7.903577015078156e-08
1847,6.417936226910115e-08,1.0247124659912288e-07
1848,7.964769821455775e-08,6.516629724728773e-08
1849,8.128032291665477e-08,5.865590324560799e-08
1850,4.8880770542325536e-08,7.739455831767827e-08
1851,4.6435958633850305e-08,7.803821078233852e-08
1852,1.6211258824228025e-07,7.617337871579366e-08
1853,9.73424918448984e-08,1.0450880694179432e-07
1854,9.248282384355377e-08,8.105236393163295e-08
1855,1.1356845419641104e-07,1.432873091289366e-07
1856,1.1027413204800496e-07,1.019906287202943e-07
1857,1.0007093553809909e-07,1.0983395259955842e-07
1858,1.04235298392652e-07,8.514996419073384e-08
1859,1.2883198241553373e-07,1.2730433174290567e-07
1860,9.566314140840859e-08,1.3136518361989147e-07
1861,7.969978632615948e-08,9.337608020132393e-08
1862,7.861296413835817e-08,8.358274786179898e-08
1863,7.841554694465458e-08,1.0039188058641457e-07
1864,1.0212770273909655e-07,8.486668434670719e-08
1865,1.0119715088130476e-07,1.1155221102399082e-07
1866,9.244664234131506e-08,1.3234467610701017e-07
1867,9.268870115874961e-08,1.1161466240139362e-07
1868,1.0620729096189052e-07,9.583356008757704e-08
1869,1.8215526154108375e-07,7.862465878361036e-08
1870,9.518521082441112e-08,7.396922940827722e-08
1871,6.266494922968491e-08,1.1789506615400569e-07
1872,9.494322972258828e-08,7.559174264315516e-08
1873,7.72194583831265e-08,9.09872683863e-08
1874,1.0276327522262818e-07,9.200898282157866e-08
1875,7.895707676564001e-08,9.154443603165419e-08
1876,8.94810217033637e-08,9.613163598487517e-08
1877,7.792867950939808e-08,1.6822698967189353e-07
1878,1.0266450534146543e-07,7.246906091884497e-08
1879,1.1118971743329098e-07,9.774920783911512e-08
1880,8.086486347202992e-08,1.1295409763079078e-07
1881,1.0737661404469634e-07,9.900960634690037e-08
1882,1.118104702158007e-07,1.4442186424545866e-07
1883,1.1438003311159406e-07,1.1627583368367667e-07
1884,1.181703774832954e-07,1.062873202783976e-07
1885,8.572695131547903e-08,1.463159320369556e-07
1886,9.873799999837729e-08,9.357522706698873e-08
1887,9.989254978748363e-08,1.0185122711892092e-07
1888,7.735549889531512e-08,1.293485369924241e-07
1889,8.833842990441099e-08,1.321943869925235e-07
1890,8.061895417910137e-08,9.962667490981403e-08
1891,8.732681422429778e-08,1.2174759811411917e-07
1892,1.0029619978979554e-07,8.775917592629412e-08
1893,9.9766346517427e-08,6.712674149866871e-08
1894,9.830401559440816e-08,9.64135529191168e-08
1895,9.328852534906673e-08,9.569597003711294e-08
1896,1.0083919566028499e-07,1.1086414275496281e-07
1897,9.905413378419325e-08,1.4508517010014543e-07
1898,9.73237049839426e-08,8.26119839203443e-08
1899,8.954677177541726e-08,9.452158877820693e-08
1900,5.5544270072260815e-08,1.1576048786210436e-07
1901,6.482937253693422e-08,1.1065703042767439e-07
1902,7.46363142400952e-08,9.329539607527693e-08
1903,9.342380824506336e-08,1.0530429528365914e-07
1904,7.954445280233813e-08,1.1286712897629059e-07
1905,5.728442398211797e-08,9.39258129051268e-08
1906,1.0751345680404256e-07,8.796555217571722e-08
1907,7.611408170404843e-08,7.611408514573981e-08
1908,8.74227243929937e-08,1.0412144502147669e-07
1909,9.131632561221181e-08,9.846760917753272e-08
1910,1.1115833142838483e-07,1.3360376271975838e-07
1911,8.086969005560718e-08,1.0587544785334302e-07
1912,8.439262089154909e-08,1.0939784500507699e-07
1913,1.198475674257793e-07,1.166657765949708e-07
1914,1.0112083170810138e-07,8.638799187110635e-08
1915,6.832842192050492e-08,1.4372530188211385e-07
1916,9.998590799753515e-08,1.0547963569251806e-07
1917,6.68951898319392e-08,1.1185753123754694e-07
1918,8.155327257952649e-08,1.0452602605681705e-07
1919,1.2798909510003398e-07,9.57616208552281e-08
1920,1.0979736009275598e-07,1.5598796965221595e-07
1921,8.405749696294151e-08,1.0526118643383597e-07
1922,1.2690049133734504e-07,1.3722959424367076e-07
1923,9.554353530560888e-08,1.1677542621768566e-07
1924,1.0055467192238154e-07,7.992807127266133e-08
1925,8.908524051776112e-08,1.5617412985058365e-07
1926,1.0811754602713108e-07,8.693987663122016e-08
1927,1.0703256236865855e-07,1.995711187419147e-07
1928,9.940655920637198e-08,1.439681227566325e-07
1929,1.2254447256943024e-07,9.91496165170247e-08
1930,9.348207452575252e-08,1.0713675857587646e-07
1931,1.1633463614657558e-07,9.694552804973e-08
1932,8.110057425625428e-08,8.767628945083317e-08
1933,5.7353312543639845e-08,1.0323596288941417e-07
1934,7.308763727564838e-08,9.585264315603581e-08
1935,8.138433482685059e-08,9.574627313213568e-08
