year,des_DET oies_NOUN,des_DET voix_NOUN
1800,3.772997354545282e-07,1.191638347108892e-06
1801,4.643306181772999e-07,1.12153698239581e-06
1802,4.1400042505301826e-07,1.18381743163809e-06
1803,4.5442904728076883e-07,9.595669112627547e-07
1804,3.3617172467970136e-07,1.2013195131999055e-06
1805,4.0368864784312564e-07,7.931628775992294e-07
1806,1.9595349609602408e-07,1.6079713205385815e-06
1807,2.9893028363758845e-07,8.341578450199449e-07
1808,2.809931678449118e-07,7.13813285813103e-07
1809,5.195770000909761e-07,9.397566671509594e-07
1810,3.9314129374190543e-07,1.0975194086881856e-06
1811,3.183987451471637e-07,9.602103858696864e-07
1812,1.520308643421231e-07,9.335228980944521e-07
1813,2.0705340375570813e-07,1.1733025644389272e-06
1814,3.27254436438551e-07,1.220910775145967e-06
1815,2.751168040049379e-07,1.2245394884757843e-06
1816,2.2248996955909206e-07,1.2700468801085663e-06
1817,1.9149542329621738e-07,1.6362739927444636e-06
1818,3.31408723130977e-07,1.4114673803078404e-06
1819,2.1944226169523517e-07,1.401532159661656e-06
1820,2.385162769513727e-07,1.8298113744208422e-06
1821,2.790801291174816e-07,1.5798104584519024e-06
1822,2.1254305693219067e-07,1.2231251105276897e-06
1823,2.15442573114899e-07,1.0742480682779387e-06
1824,1.5158002586446173e-07,1.4635893492709329e-06
1825,2.4391076713925486e-07,1.43264555063638e-06
1826,2.3164998708136153e-07,1.5211389339242487e-06
1827,2.2582319425534791e-07,1.246175330038568e-06
1828,2.1830077412410276e-07,1.393272540894941e-06
1829,2.3490502504275312e-07,1.255113019738019e-06
1830,2.536151120224872e-07,1.5477827446375159e-06
1831,3.3053355763534853e-07,2.209273944231427e-06
1832,2.1783250325757564e-07,2.1864431118956418e-06
1833,3.475088590221276e-07,2.0271349612244194e-06
1834,2.623003139134994e-07,2.38123881501906e-06
1835,2.6243915129953166e-07,2.0246386895905744e-06
1836,2.473235943822871e-07,2.01017633827405e-06
1837,2.9710193816256947e-07,1.9168989808804326e-06
1838,2.1650715620324945e-07,1.9883309505530633e-06
1839,2.481973737644694e-07,2.170153933889196e-06
1840,1.9427551034567614e-07,1.8726884292163959e-06
1841,2.2471919214339664e-07,1.8401292578573702e-06
1842,2.508891068231378e-07,2.0279085504171235e-06
1843,1.8665839540688012e-07,1.9870849428116344e-06
1844,2.3820356265247256e-07,2.2069504979072008e-06
1845,2.985421990731041e-07,2.134995234825965e-06
