year,aucunes_DET villes_NOUN
1800,6.288328968651058e-09
1801,2.6193008650921e-08
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,0.0
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,0.0
1809,2.2590304959990704e-08
1810,0.0
1811,1.2535384286138651e-08
1812,1.3336041604361526e-08
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,0.0
1818,5.960588467246453e-09
1819,1.2421260464634543e-08
1820,5.102586797534059e-08
1821,7.88919063410276e-09
1822,2.7069162911175226e-08
1823,5.929612001409623e-08
1824,1.3894836570216285e-07
1825,5.811592274085342e-08
1826,2.3517317515597824e-07
1827,2.949527377893446e-08
1828,9.906085551847355e-08
1829,1.0459275046059702e-07
1830,1.878630406793036e-08
1831,1.5591206103948707e-09
1832,0.0
1833,2.3167257001688313e-09
1834,2.9870498963191494e-08
1835,4.9160071569076536e-08
1836,1.0215540413582858e-07
1837,4.313892532081809e-08
1838,8.900148174006972e-08
1839,3.635567225046543e-08
1840,4.713569623504554e-08
1841,3.338685417020315e-08
1842,5.433694694190194e-08
1843,8.269675610961258e-09
1844,2.9089374464774664e-08
1845,4.798996044996784e-08
1846,2.8101606375230404e-08
1847,4.530307862182781e-08
1848,4.263967667839097e-08
1849,3.016589289472904e-08
1850,2.104588769924476e-08
1851,2.1283148132766883e-08
1852,2.0182691296000144e-08
1853,2.0901761876856995e-08
1854,3.688921879074769e-08
1855,1.539011762474729e-08
1856,3.209857268871019e-08
1857,3.905207179855097e-08
1858,2.9851424443450014e-08
1859,4.4811123700583266e-08
1860,5.53839250017063e-08
1861,1.8863854478468056e-08
1862,9.487771457372673e-09
1863,2.3474717281146695e-08
1864,2.349416661218129e-08
1865,1.1296426905005319e-08
1866,2.3841502994059738e-08
1867,2.232293283555009e-08
1868,2.0253484223076157e-08
1869,1.3673853160867111e-08
1870,2.8670243956696595e-09
1871,1.805600113868877e-08
1872,1.3908880269752899e-08
1873,2.573981916498269e-08
1874,2.4495896866483235e-08
1875,1.4303817685856757e-08
1876,4.0508300713781864e-08
1877,1.2369632429454214e-08
1878,3.0799352401800206e-08
1879,1.771704283282105e-08
1880,2.631317030932223e-08
1881,2.4403776777148778e-08
1882,3.1945848633085916e-08
1883,2.9068958795619437e-08
1884,5.281357573494461e-09
1885,1.9981470700258797e-08
1886,3.1621972595985426e-08
1887,1.3057849024278312e-08
1888,1.8387781963724592e-08
1889,3.821733329800736e-08
1890,7.209825181320184e-09
1891,4.2707275382802834e-08
1892,1.0656471260972467e-08
1893,1.4164357686752282e-08
1894,2.3945849747519787e-08
1895,2.768562623600701e-08
1896,1.47425724961181e-08
1897,1.3984112534615178e-08
1898,1.810673566637888e-08
1899,9.39688327150634e-09
1900,1.661137005726232e-08
1901,1.5089595406525547e-08
1902,2.9461704187383475e-09
1903,1.8360748255119574e-08
1904,8.061937784020756e-09
1905,1.0321517862621477e-08
1906,5.144184633820714e-09
1907,1.028568674676933e-09
1908,7.858222517143076e-09
1909,1.1001967337165297e-08
1910,7.481810726517324e-09
1911,1.4897047151407605e-08
1912,1.354449502555255e-08
1913,6.363587878865928e-09
1914,1.5402511266415786e-08
1915,1.4136913861761968e-08
1916,1.9777431248257926e-08
1917,5.483212106582869e-09
1918,6.89182577673364e-09
1919,3.6831393490643904e-09
1920,8.329454459499175e-09
1921,7.572747429129834e-10
1922,6.640141769764796e-09
1923,3.1847844361720945e-09
1924,0.0
1925,1.8696901804560184e-08
1926,1.1146138456652466e-09
1927,8.919379901328739e-09
1928,9.14083297942625e-09
1929,1.1140406375176326e-09
1930,4.201441416995522e-09
1931,0.0
1932,5.4797681947604815e-09
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,2.393656828303392e-08
1936,1.2124714565686645e-09
1937,2.0145789036973838e-08
1938,2.5930428915188486e-09
1939,1.5294050470515685e-09
1940,0.0
1941,2.066051862925633e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,0.0
1945,2.178504043826024e-09
1946,9.744772988540262e-09
1947,1.1920870957027319e-09
1948,0.0
1949,0.0
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,0.0
1953,1.0773827385790469e-09
1954,0.0
1955,7.508486277174597e-09
1956,0.0
1957,8.835037701437898e-10
1958,1.6544486891589827e-09
1959,3.100299128533379e-09
1960,4.152500121534786e-09
1961,0.0
1962,5.0735651235811474e-09
1963,1.2932106496776896e-09
1964,0.0
1965,1.6416130677043839e-09
1966,7.200797291773142e-09
1967,8.874604162656397e-09
1968,4.042274071025531e-09
1969,6.358460841182634e-09
1970,5.518470125309705e-09
1971,7.193756479395574e-09
1972,5.643161493651405e-09
1973,5.513203782392395e-10
1974,3.937900283634832e-09
1975,1.7134440533084216e-09
1976,3.4281160132820787e-09
1977,7.052138428775834e-09
1978,5.940591130126904e-09
1979,1.7555920051037788e-09
1980,4.548120546843393e-09
1981,1.8976649140967083e-09
1982,6.207502289967692e-10
1983,1.89459470334441e-09
1984,2.319603453759811e-09
1985,1.2031116103372597e-09
1986,2.3977941854269602e-09
