year,plusieurs_DET îles_NOUN,plusieurs_DET iles_NOUN,plusieurs_DET villes_NOUN
1800,1.1067458807190178e-06,3.772997292372793e-08,2.584503221214618e-06
1801,9.143740875572348e-07,3.5717738544605027e-08,3.7075013779030996e-06
1802,8.839468250698701e-07,4.2518962573012686e-08,3.5939711722221546e-06
1803,8.776526363440951e-07,4.8758479920252285e-08,4.0586559180155746e-06
1804,1.2730032636909527e-06,5.6852570651244605e-08,3.0280174030394846e-06
1805,6.4249033471242e-07,4.264316544322355e-08,4.176187360371841e-06
1806,5.734521471012499e-07,2.881669125542885e-08,3.6020864513375273e-06
1807,7.459022306477436e-07,3.9857373401730456e-08,2.9864559678571823e-06
1808,1.0514582911014259e-06,3.852325791697808e-08,4.57520337704409e-06
1809,6.709320814479725e-07,3.6144488291256494e-08,3.901345621670771e-06
1810,6.224737028048821e-07,5.616304221689461e-08,2.9883418051213084e-06
1811,6.042054963018018e-07,6.267691565753353e-08,5.823939176252679e-06
1812,7.121445904090251e-07,2.1337665856435706e-08,3.2166530274935212e-06
1813,9.403675087504837e-07,2.0130191291656274e-08,3.8649967848414235e-06
1814,3.4298780970942744e-07,1.8880061958270744e-08,4.8899360933774005e-06
1815,8.81992090029371e-07,6.473336511270134e-08,4.585280265700931e-06
1816,7.578564780175157e-07,3.7081662185300956e-08,2.8158888341067723e-06
1817,6.383181148095218e-07,3.113746771532533e-08,3.840806783728112e-06
1818,5.281081403296639e-07,2.2650237685439834e-08,3.949486057308604e-06
1819,3.881643646508337e-07,1.7596785029105888e-08,5.054417897554231e-06
1820,7.689480021610962e-07,5.933240565525466e-08,4.59826128462737e-06
1821,5.650632939335765e-07,2.0709125858608957e-08,3.909093862830559e-06
1822,5.453935330024251e-07,3.8097340393505874e-08,4.304999521309583e-06
1823,4.0222534991585235e-07,2.8659791428964354e-08,4.294027561968505e-06
1824,4.909508639627802e-07,5.642145595174952e-08,4.8320345911179174e-06
1825,5.309681903042929e-07,5.547428960639422e-08,3.927227680833312e-06
1826,8.182617499130629e-07,5.7251897223054016e-08,5.767468366002504e-06
1827,5.355235632720223e-07,5.253845775099464e-08,3.5108593863242277e-06
1828,5.861100333959257e-07,4.769596506637441e-08,3.319455771588764e-06
1829,6.104101082371471e-07,8.144517060770795e-08,3.3375375494415493e-06
1830,6.147296467418073e-07,6.36646975138433e-08,3.378403732767765e-06
1831,4.2408081135647535e-07,1.8709447990872263e-08,3.002866236556656e-06
1832,5.344337807855482e-07,6.764984983309574e-08,3.0320661466021193e-06
1833,1.3135835033040166e-06,1.8881314556296047e-07,2.869264847049635e-06
1834,7.747660735191175e-07,6.627516691004587e-08,3.6890065757688717e-06
1835,5.611811175754156e-07,6.277362984974388e-08,3.651458854392331e-06
1836,5.020400131172664e-07,3.427582545567631e-08,3.835532112361761e-06
1837,3.9938294982277966e-07,6.331680624249714e-08,3.5130392461724114e-06
1838,4.172338989860691e-07,7.385229161549489e-08,4.451336394595273e-06
1839,4.152936377010974e-07,6.571986554959608e-08,3.7187657540016517e-06
1840,3.949207094677831e-07,7.452535866203647e-08,3.5778540166120365e-06
1841,4.83467292866635e-07,7.961480319451653e-08,3.1069034776010085e-06
1842,4.6823691102204634e-07,4.494537542143462e-08,3.368890588717477e-06
1843,3.5323327285397e-07,5.670634461996116e-08,3.3734368685145455e-06
1844,3.2327627152994864e-07,5.762989474522584e-08,3.640013886752058e-06
1845,3.398358714434835e-07,6.361459825576787e-08,3.3548331543897802e-06
1846,4.150841510508485e-07,5.1519611243833197e-08,3.2486627787875477e-06
1847,3.537954729182502e-07,5.3932235566378495e-08,3.185777103453802e-06
1848,3.2985408893182466e-07,4.58577624762313e-08,3.658966818420595e-06
1849,2.974692185908623e-07,4.1897074698482584e-08,2.1568614982925283e-06
1850,2.6884425086137753e-07,6.856885992334583e-08,3.0665894712456065e-06
1851,3.0183374732928314e-07,4.385618246338652e-08,2.7481057571776546e-06
1852,2.311243592068024e-07,4.882909210301989e-08,2.867244177195971e-06
1853,3.613018861869932e-07,6.808002450675588e-08,2.8951924804232476e-06
1854,3.112202895394489e-07,4.98783807589831e-08,2.726165078570375e-06
1855,2.642854752821222e-07,4.139410947345823e-08,2.4475593249917438e-06
1856,2.5627086230883833e-07,3.20985731327994e-08,2.498511477710963e-06
1857,2.10393044319801e-07,2.782460128969433e-08,2.2933330541263786e-06
1858,2.0455566129840008e-07,2.8383320527236577e-08,2.6528617667054277e-06
1859,2.3423997053129142e-07,2.291478007343528e-08,2.295551652764516e-06
1860,2.489988091269879e-07,2.1512764236675253e-08,2.516078026815194e-06
1861,1.7260427132015366e-07,2.735258886055192e-08,2.2391396612420067e-06
1862,2.5300722406029763e-07,2.3945328053720516e-08,2.5196809758654126e-06
1863,2.3175041352629933e-07,2.347471755870245e-08,2.0228214339113038e-06
1864,1.9418648466995592e-07,2.397363974004918e-08,2.0228956998380454e-06
1865,2.0757183882835761e-07,1.7415324904401785e-08,2.135495236643692e-06
1866,1.3672372256579024e-07,2.773399376820862e-08,1.8333629441258381e-06
1867,1.9023021202713153e-07,1.4073153309368536e-08,1.9983877734830457e-06
1868,1.8326932815782015e-07,1.7783546413241424e-08,1.7882343996689087e-06
1869,1.6262118052168262e-07,1.3185502134582805e-08,1.6813956591477108e-06
1870,1.605533643811441e-07,1.548193129252695e-08,2.154855508251785e-06
1871,1.1046024583905023e-07,1.5931766128574054e-08,1.5984871311047755e-06
1872,1.3062252612883185e-07,1.5723081503438152e-08,1.792431405078787e-06
1873,1.5683332232896419e-07,1.855661307947898e-08,1.586291155319941e-06
1874,1.2247948610877302e-07,1.5533983432902687e-08,1.7565350844961358e-06
