year,plusieurs_DET yeux_NOUN,plusieurs_DET vieux_ADJ
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,5.000483582762172e-08,1.6668277869058556e-08
1802,6.489736392722989e-08,3.1329761895904085e-08
1803,1.170203560718619e-07,9.751696339321825e-09
1804,4.69651695311768e-08,2.4718509461507665e-09
1805,3.980028751016107e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,1.4408345627714425e-08
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,6.798221985349073e-09
1809,8.810218732335784e-08,1.8072244145628247e-08
1810,4.212228077449254e-08,0.0
1811,9.777599307980722e-08,3.760615285841595e-08
1812,1.600324850414836e-08,2.9339290108509886e-08
1813,8.627224934443234e-09,8.627225156487839e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.4275012222574333e-08,1.3486118000116676e-08
1816,1.0892738089296472e-07,0.0
1817,4.047870982848423e-08,1.556873407970727e-09
1818,3.695564920747074e-08,1.1921177378582115e-09
1819,5.072014452878193e-08,4.864993563558073e-08
1820,1.4239777357261119e-08,2.3732962262101864e-09
1821,2.0709124859408234e-08,4.339054981983281e-08
1822,3.208197085768916e-08,1.0025615893027862e-08
1823,1.4824030003524058e-08,3.7554211518298075e-08
1824,1.6000114122505238e-08,2.105278262831689e-08
1825,1.4969253392393966e-08,7.044354433105582e-09
1826,3.082794364228647e-08,1.7615968905815294e-08
1827,1.843454577876713e-08,3.6869091668556564e-09
1828,8.255071293206129e-09,2.017906314266682e-08
1829,4.1151244023485134e-08,1.8860987438529264e-08
1830,1.3567886369969528e-08,2.0873672124110954e-08
1831,1.5591206548037917e-08,6.236482441579483e-09
1832,3.923691060947476e-08,1.3529969367098715e-08
1833,3.4750886612755494e-09,4.40177885252524e-08
1834,2.6136685704614138e-08,1.2134890203796544e-08
1835,3.7059130875150004e-08,2.7983425354705105e-08
1836,2.2178475944656384e-08,1.7473950286728268e-08
1837,4.5922079472404675e-08,2.2961040180291548e-08
1838,2.6511079775914936e-08,1.6411620729073206e-08
1839,1.8177836236255018e-08,1.6080393017148253e-08
1840,4.012903714878391e-08,1.46502836528839e-08
1841,1.926164472365599e-08,2.6966303412478965e-08
1842,4.159124245006751e-08,2.3478928135034494e-08
1843,1.6539351332944818e-08,2.2446261738195972e-08
1844,4.55550577260766e-08,7.683985669970639e-09
1845,3.6829504446167505e-08,7.812319235966925e-09
