year,meilleures_ADJ oies_NOUN,meilleures_ADJ voies_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,3.1329761895904085e-08
1803,1.5602713787643552e-08,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,1.4408345627714425e-08
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,2.0331274441787173e-08
1810,0.0,2.574139479349924e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,0.0
1813,0.0,2.8757416004054903e-08
1814,0.0,2.5173417128598885e-08
1815,0.0,0.0
1816,0.0,6.952811304472561e-08
1817,0.0,1.556873407970727e-09
1818,0.0,3.5763530803478716e-08
1819,0.0,3.622867339458935e-08
1820,0.0,1.3053129244156025e-08
1821,0.0,2.070912508145284e-08
1822,1.0025615893027862e-09,3.909990198280866e-08
1823,0.0,7.115534828017189e-08
1824,0.0,6.82110155025839e-08
1825,0.0,4.226612659863349e-08
1826,0.0,8.719904798226707e-08
1827,0.0,3.2260455640198415e-08
1828,5.503380862137419e-09,3.210305266065916e-08
1829,0.0,6.001223340490469e-08
1830,0.0,3.757260813586072e-08
1831,0.0,3.274153215215847e-08
1832,1.3529969367098715e-09,1.1635773944362882e-07
1833,0.0,4.40177885252524e-08
1834,0.0,5.600718466780563e-08
1835,0.0,2.193295500774184e-08
1836,0.0,6.38471249203576e-08
1837,0.0,4.5922078584226256e-08
1838,0.0,4.607878167917079e-08
1839,0.0,7.410963576148788e-08
1840,0.0,4.33138822586443e-08
1841,0.0,4.687000298986277e-08
1842,0.0,3.4212153110502186e-08
1843,0.0,4.548321541619771e-08
1844,0.0,5.1043620885593555e-08
1845,0.0,7.644912614068744e-08
1846,0.0,8.430481557297753e-08
1847,0.0,7.065123242000482e-08
1848,0.0,6.194820656446609e-08
1849,0.0,3.603148357456121e-08
1850,0.0,5.906426636670403e-08
1851,0.0,4.127640806927957e-08
1852,0.0,1.5625309046640723e-08
