year,trois_DET yeux_NOUN,trois_DET vieux_NOUN
1800,2.5782149615238836e-07,0.0
1801,2.762171789072454e-07,0.0
1802,4.72184268573983e-07,0.0
1803,3.0815360219094146e-07,1.950339223455444e-09
1804,3.856087573694822e-07,1.4831105676904599e-08
1805,3.212451815670647e-07,0.0
1806,1.9595350408962986e-07,0.0
1807,1.2241907221266501e-07,2.8469551160981155e-09
1808,2.4246992325061e-07,0.0
1809,4.563241589039535e-07,0.0
1810,1.2168659679900884e-07,0.0
1811,1.554387605295915e-07,0.0
1812,7.734903562095496e-08,2.6672082320544632e-09
1813,7.189354045422647e-08,2.8757416448144113e-09
1814,1.258670891957081e-07,0.0
1815,7.821948599939788e-08,0.0
1816,3.036061002603674e-07,0.0
1817,3.191590565165825e-07,0.0
1818,1.40669895287715e-07,0.0
1819,2.8775919302947983e-07,0.0
1820,9.611849804969097e-08,2.3732962262101864e-09
1821,1.3904698903388635e-07,9.86148829262845e-10
1822,8.922798144794797e-08,8.02049271442229e-09
1823,1.7097048043979157e-07,0.0
1824,1.1368501873221248e-07,1.6000115010683658e-08
1825,2.791325584006188e-07,6.163810128967384e-09
1826,1.9994124755839948e-07,0.0
1827,2.1752765011484598e-07,2.7651819167751057e-09
1828,1.5042573409118631e-07,1.2841221974646544e-08
1829,3.086343269842473e-07,0.0
1830,1.0228098834552668e-07,4.174734336004349e-09
1831,1.6058942886587602e-07,0.0
1832,1.6506562872109498e-07,6.764984572527055e-09
1833,1.01935931695607e-07,1.6217079235048004e-08
1834,1.5308630452182115e-07,3.733812370398937e-09
1835,1.1571524538567246e-07,1.8907719834260206e-08
1836,2.3522625269833952e-07,4.704525213838906e-09
1837,1.1202204319715747e-07,5.5663127440652715e-09
1838,1.098316162462254e-07,7.574594507175902e-09
1839,1.2934228710292928e-07,4.894032734625853e-09
1840,1.0573683084658114e-07,3.821813088222825e-09
1841,1.695024760550723e-07,1.2841097074556274e-09
1842,1.006239744860693e-07,4.024959032733477e-09
1843,1.3408687715710244e-07,5.906911182407271e-09
1844,9.714753379519436e-08,8.781698146442807e-09
1845,1.0769840291802169e-07,4.464182468133515e-09
1846,1.3172628143820475e-07,4.0981509297211005e-09
1847,6.364003724002032e-08,2.6966118227278457e-08
1848,1.0136979256003542e-07,0.0
1849,1.4077416565783096e-07,2.513824481908955e-09
1850,1.3849552260580822e-07,2.0366988096043315e-09
1851,1.1351012574323249e-07,4.514607354622058e-09
1852,1.7643578109627356e-07,1.7578472011337e-08
1853,6.628844650968801e-08,2.9859659189668264e-09
1854,8.93654285016865e-08,1.0391328908454511e-09
1855,1.0613874223963649e-07,3.1841622671890946e-09
1856,4.2970672353703776e-08,3.6240324075009767e-09
1857,1.2838368945722323e-07,1.4644527368545823e-08
1858,1.0766087399360913e-07,5.3830437884982985e-09
1859,5.906921174414492e-08,6.110608019582742e-09
1860,1.1351416162597161e-07,1.6020143434047895e-08
1861,1.1176834391335433e-07,9.903524222920623e-09
1862,9.532951142365853e-08,0.0
1863,1.1537574096109893e-07,4.994620828036034e-10
1864,1.5055445867773187e-07,9.589455896019672e-10
1865,1.76506665949816e-07,9.41368871743009e-10
1866,1.5229368166558288e-07,1.1677471434268227e-08
1867,1.033648846515689e-07,5.82337378318698e-09
1868,9.08936854671083e-08,7.903798504571569e-09
1869,9.474027340417024e-08,9.767038733343725e-09
1870,8.601073187008978e-08,5.734048791339319e-09
1871,9.134212231032279e-08,8.496941816815706e-09
1872,8.103434889772387e-08,1.269941218851045e-08
1873,6.644464889404844e-08,1.4366410283628284e-08
1874,1.212845596176848e-07,4.779687312606029e-09
1875,1.0527610072585958e-07,1.3159512590732447e-08
1876,4.800535764459823e-07,5.441413541973361e-09
1877,1.1380061371024652e-07,1.0514186854493346e-08
1878,1.1474268291067347e-07,3.6234530931267273e-09
1879,5.6205792020591616e-08,6.10932526790009e-10
1880,5.134277003548959e-08,1.9253538763308597e-09
1881,7.73948323762319e-08,1.3945014920579979e-08
1882,1.1047939252328831e-07,3.3276925659464496e-09
1883,9.731781713817611e-08,0.0
1884,1.0034579389639475e-07,3.9610181801208455e-09
1885,5.0920522909336796e-08,7.090199150017185e-09
1886,1.0712750331265397e-07,9.03484920211639e-09
1887,9.075205298358924e-08,5.876032105334161e-09
1888,1.0335201650057968e-07,3.804368819970705e-09
1889,1.0776034886639252e-07,1.0024218788373673e-08
1890,1.3370947726798477e-07,0.0
1891,1.121862709396737e-07,1.1473596295275001e-08
1892,1.0656471260972467e-07,1.7551834874396377e-08
1893,1.5519209761727382e-07,6.158416554491453e-10
1894,9.578339987825757e-08,8.192000855444803e-09
1895,9.930713673611535e-08,2.2268872967856623e-08
1896,1.7691087350613088e-07,3.538217441256819e-09
1897,9.497543163039524e-08,6.001514951670117e-08
