year,derniers_ADJ oeufs_NOUN,derniers_ADJ voeux_NOUN
1800,0.0,6.288328968651058e-09
1801,1.1905912700171939e-08,2.1430643926123594e-08
1802,4.475680270843441e-09,4.0281122437590966e-08
1803,1.950339223455444e-09,2.5354410126965377e-08
1804,7.4155526164076946e-09,1.2359254952798437e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,8.645007376628655e-09
1807,0.0,1.4234775136401367e-08
1808,0.0,1.3596443970698147e-08
1809,0.0,1.129515236897305e-08
1810,9.360507036149102e-09,2.3401266702194334e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,2.0130190847567064e-08
1814,0.0,2.2026740431613234e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,2.0858434979231788e-08
1817,0.0,2.9580593974287694e-08
1818,9.536941902865692e-09,1.3113295338484932e-08
1819,1.035105001712111e-09,1.1386155129855524e-08
1820,0.0,2.0173018810965004e-08
1821,0.0,1.1833785507064931e-08
1822,0.0,1.4035862250239006e-08
1823,0.0,1.087095569118901e-08
1824,0.0,1.1789557774477544e-08
1825,0.0,1.4969253392393966e-08
1826,0.0,6.1655889282974385e-09
1827,0.0,1.013900075008678e-08
1828,1.8344602503717056e-09,1.7427371545863934e-08
1829,0.0,7.715858174606183e-09
1830,0.0,4.174734336004349e-09
1831,0.0,4.677361609140007e-09
1832,0.0,6.764984572527055e-09
1833,0.0,1.1583628278799551e-08
1834,1.8669061851994684e-09,3.733812370398937e-09
1835,0.0,4.5378527602224494e-09
1836,2.688300027031687e-09,2.688300027031687e-09
1837,1.3915781860163179e-09,5.5663127440652715e-09
1838,0.0,4.418513555037862e-09
1839,0.0,4.194885327990505e-09
1840,6.369688665408546e-10,1.2739377330817092e-09
1841,0.0,2.5682194149112547e-09
1842,0.0,1.341653010911159e-09
1843,0.0,5.906911071384968e-10
1844,1.097712254427563e-09,1.097712254427563e-09
1845,0.0,2.7901139176833567e-09
1846,0.0,1.7563503984519002e-09
1847,2.1572894581822766e-09,5.3932236454556914e-09
1848,0.0,8.045221711050488e-10
1849,0.0,1.6758829879393033e-09
1850,0.0,4.752297222410107e-09
1851,6.449438760824933e-10,2.579775504329973e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,5.971931837933653e-10
1854,1.0391328908454511e-09,4.1565315633818045e-09
1855,0.0,3.714855978387277e-09
1856,1.0354378465748937e-09,2.5885946719483854e-09
1857,0.0,1.4644527812635033e-09
1858,0.0,0.0
1859,0.0,5.092173349652285e-10
1860,0.0,3.661747127736703e-09
1861,4.715963730639317e-10,0.0
1862,0.0,1.3553959066214816e-09
1863,0.0,1.4983863039219614e-09
1864,0.0,3.3563094525845827e-09
1865,0.0,3.2947911621228343e-09
1866,0.0,1.9462451650298362e-09
1867,0.0,2.426405742994575e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,9.767038289254515e-10
1870,0.0,1.1468097582678638e-09
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,1.2094678591978436e-09
1873,5.986004469882289e-10,1.1972008939764578e-09
1874,0.0,4.779687312606029e-09
1875,2.8607636259891933e-09,0.0
1876,6.04601479992084e-10,1.813804439976252e-09
1877,0.0,1.2369631985365004e-09
1878,0.0,3.0195443923020093e-09
1879,0.0,3.6655952717623563e-09
1880,0.0,1.2835692508872398e-09
1881,0.0,0.0
1882,6.655385131892899e-10,1.3310770263785798e-09
1883,6.319338941018771e-10,1.2638677882037541e-09
1884,0.0,2.6406787867472303e-09
1885,0.0,6.445635691854079e-10
1886,0.0,6.453463874400711e-10
1887,0.0,1.3057849246322917e-09
1888,0.0,3.1703073499755874e-09
1889,0.0,5.012109394186837e-09
1890,0.0,1.9663159989136147e-09
1891,0.0,2.5496880162734215e-09
1892,0.0,2.5074049503359674e-09
1893,2.463366621796581e-09,5.542574843531156e-09
1894,6.301539290376468e-10,3.150769645188234e-09
1895,6.018614495673091e-10,6.018614495673091e-10
1896,0.0,5.307326134129653e-09
1897,0.0,5.826713556089658e-10
1898,0.0,3.3950129374460403e-09
